Latitude,Longitude,PTrain_RH2
24.6,72.72,26.72
10.33,79.38,69.36
23.88,91.25,63.46
10.85,72.47,63.91
27.17,78.03,50.53
13.5,75.1,48.96
23.07,72.63,38.76
19.08,74.8,34.41
26.45,74.62,34.54
20.7,77.03,36.02
20.7,77.07,35.78
9.55,76.42,66.89
18.63,72.87,52.14
27.88,78.07,52.75
22.28,74.4,35.72
25.45,81.73,54.49
27.5,76.58,45.59
30.38,76.77,56.13
23.17,83.25,45.96
11.12,72.73,63.86
20.93,77.78,36.34
21.6,71.22,38.19
31.63,74.87,56.31
14.68,77.62,40.62
20.83,85.1,54.98
11.17,79.0,60.12
13.53,78.5,43.62
19.88,75.33,33.23
19.85,75.4,33.25
22.3,86.93,58.89
12.99,80.2,67.4
10.35,79.4,69.39
30.08,78.72,53.7
18.18,72.99,53.17
22.03,73.67,41.71
12.88,80.15,67.11
17.05,75.78,35.72
24.07,78.06,40.44
16.57,76.47,35.69
24.95,71.53,32.93
27.14,79.28,55.11
23.6,72.95,35.45
22.38,93.15,60.16
16.67,74.9,39.17
24.53,78.72,43.57
26.85,79.08,53.56
29.96,78.61,52.36
11.47,77.88,47.01
24.77,84.18,53.77
26.35,75.03,36.21
21.17,73.18,45.13
8.87,77.5,63.62
12.89,80.11,66.47
17.83,80.48,48.3
17.1,76.22,35.47
17.17,74.53,38.76
10.02,78.78,64.8
28.75,79.72,61.04
25.03,86.9,57.69
26.35,74.12,34.66
28.27,72.85,39.63
21.38,71.05,37.07
18.73,76.38,32.91
20.13,73.03,46.31
22.41,88.3,62.33
26.67,90.6,66.49
16.07,75.95,37.32
25.97,93.5,69.38
14.47,79.72,61.16
21.98,72.9,44.63
23.65,91.62,63.33
24.53,87.57,57.55
27.54,79.6,57.61
18.42,83.9,62.59
29.93,78.53,52.0
16.15,76.38,36.45
25.62,94.53,69.25
23.4,85.52,49.06
8.67,76.77,68.5
12.02,76.3,48.49
25.09,78.86,46.02
26.06,78.21,46.84
29.19,73.21,44.27
25.05,78.86,45.93
13.53,80.07,65.48
28.47,95.52,76.63
15.68,78.97,50.66
