Latitude,Longitude,PTrain_RH2
24.6,72.72,22.4
10.33,79.38,69.08
23.88,91.25,58.38
10.85,72.47,65.27
27.17,78.03,41.49
13.5,75.1,47.21
23.07,72.63,39.86
19.08,74.8,30.31
26.45,74.62,27.77
20.7,77.03,28.76
20.7,77.07,28.46
9.55,76.42,67.37
18.63,72.87,53.75
27.88,78.07,43.72
22.28,74.4,33.9
25.45,81.73,44.21
27.5,76.58,37.35
30.38,76.77,48.34
23.17,83.25,36.65
11.12,72.73,65.07
20.93,77.78,28.52
21.6,71.22,39.5
31.63,74.87,49.83
14.68,77.62,34.63
20.83,85.1,50.24
11.17,79.0,57.77
13.53,78.5,37.78
19.88,75.33,27.85
19.85,75.4,27.75
22.3,86.93,55.31
12.99,80.2,66.2
10.35,79.4,69.09
30.08,78.72,50.49
18.18,72.99,54.58
22.03,73.67,42.05
12.88,80.15,65.86
17.05,75.78,29.91
24.07,78.06,32.04
16.57,76.47,29.26
24.95,71.53,31.04
27.14,79.28,45.56
23.6,72.95,34.91
22.38,93.15,53.96
16.67,74.9,35.32
24.53,78.72,34.88
26.85,79.08,44.1
29.96,78.61,46.87
11.47,77.88,42.42
24.77,84.18,43.69
26.35,75.03,29.2
21.17,73.18,46.57
8.87,77.5,63.28
12.89,80.11,65.12
17.83,80.48,42.96
17.1,76.22,29.18
17.17,74.53,35.61
10.02,78.78,63.82
28.75,79.72,51.34
25.03,86.9,48.56
26.35,74.12,28.3
28.27,72.85,33.22
21.38,71.05,38.7
18.73,76.38,25.82
20.13,73.03,47.7
22.41,88.3,60.23
26.67,90.6,55.1
16.07,75.95,31.68
25.97,93.5,58.27
14.47,79.72,58.98
21.98,72.9,47.12
23.65,91.62,58.9
24.53,87.57,49.7
27.54,79.6,47.87
18.42,83.9,60.57
29.93,78.53,46.91
16.15,76.38,30.25
25.62,94.53,59.7
23.4,85.52,41.43
8.67,76.77,69.49
12.02,76.3,45.25
25.09,78.86,37.14
26.06,78.21,37.97
29.19,73.21,37.66
25.05,78.86,37.05
13.53,80.07,63.92
28.47,95.52,71.73
15.68,78.97,46.66
17.75,74.05,36.84
9.87,76.35,67.23
24.23,87.28,48.93
24.48,76.33,29.65
28.57,74.51,36.94
23.05,72.97,39.64
24.57,78.88,35.74
17.23,76.48,28.35
11.08,76.58,48.81
12.05,78.78,50.07
19.88,75.33,28.0
27.24,79.89,47.97
9.97,76.25,68.12
33.12,75.32,50.72
16.7,75.25,33.28
22.98,88.37,56.8
22.63,77.98,30.58
27.57,81.6,50.17
18.58,81.23,35.63
21.52,86.93,60.4
13.37,75.45,41.97
25.75,84.17,46.13
25.22,88.78,51.78
25.47,80.37,44.86
12.97,77.58,31.52
12.95,77.63,31.54
33.5,75.17,51.55
23.23,87.07,51.48
23.55,74.45,32.05
15.9,80.47,62.77
18.15,74.58,33.44
28.37,79.4,49.35
21.93,86.77,56.8
25.75,71.38,26.46
22.3,73.25,44.95
22.33,73.27,44.66
33.12,75.32,50.37
19.0,75.72,28.26
15.85,74.53,38.98
15.85,74.62,38.39
15.15,76.85,32.12
24.13,88.27,52.31
21.87,77.93,27.85
25.23,86.95,48.79
27.22,77.5,40.0
30.17,74.58,43.91
21.75,72.18,47.63
19.92,83.18,43.96
25.35,74.63,26.78
18.45,73.4,49.2
23.28,77.35,28.44
20.25,85.83,58.05
23.25,69.67,39.2
31.83,77.17,48.98
17.92,77.53,26.26
16.82,75.72,30.11
28.0,73.3,32.81
31.25,76.67,48.48
20.7,83.5,43.85
20.6,79.85,32.54
20.53,76.23,25.82
20.62,72.93,50.11
20.22,75.42,26.91
21.9,84.03,41.69
27.13,94.12,62.82
25.82,86.27,48.57
27.05,79.85,47.19
27.78,74.57,33.22
13.68,77.07,31.8
28.48,76.18,40.25
