Latitude,Longitude,PTrain_RH2
24.6,72.72,13.23
10.33,79.38,67.07
23.88,91.25,55.01
10.85,72.47,66.32
27.17,78.03,31.86
13.5,75.1,48.58
23.07,72.63,33.85
19.08,74.8,24.57
26.45,74.62,19.56
20.7,77.03,17.37
20.7,77.07,17.3
9.55,76.42,63.75
18.63,72.87,58.05
27.88,78.07,34.87
22.28,74.4,25.92
25.45,81.73,33.06
27.5,76.58,28.85
30.38,76.77,44.49
23.17,83.25,29.36
11.12,72.73,66.37
20.93,77.78,17.46
21.6,71.22,35.78
31.63,74.87,50.05
14.68,77.62,22.32
20.83,85.1,45.26
11.17,79.0,48.54
13.53,78.5,31.22
19.88,75.33,20.33
19.85,75.4,20.16
22.3,86.93,52.27
12.99,80.2,67.35
10.35,79.4,66.99
30.08,78.72,40.09
18.18,72.99,59.07
22.03,73.67,37.17
12.88,80.15,66.62
17.05,75.78,21.84
24.07,78.06,22.27
16.57,76.47,19.11
24.95,71.53,20.1
27.14,79.28,35.28
23.6,72.95,26.08
22.38,93.15,52.22
16.67,74.9,30.32
24.53,78.72,24.7
26.85,79.08,33.58
29.96,78.61,38.95
11.47,77.88,27.27
24.77,84.18,33.84
26.35,75.03,20.43
21.17,73.18,45.44
8.87,77.5,56.15
12.89,80.11,65.42
17.83,80.48,34.44
17.1,76.22,18.99
17.17,74.53,31.94
10.02,78.78,57.42
28.75,79.72,44.14
25.03,86.9,39.42
26.35,74.12,19.03
28.27,72.85,25.32
21.38,71.05,35.63
18.73,76.38,17.86
20.13,73.03,48.23
22.41,88.3,61.16
26.67,90.6,49.46
16.07,75.95,23.85
25.97,93.5,54.76
14.47,79.72,57.68
21.98,72.9,46.47
23.65,91.62,56.8
24.53,87.57,41.22
27.54,79.6,38.03
18.42,83.9,63.4
29.93,78.53,38.48
16.15,76.38,20.91
25.62,94.53,59.53
23.4,85.52,33.97
8.67,76.77,65.52
12.02,76.3,42.71
25.09,78.86,26.52
26.06,78.21,27.91
29.19,73.21,30.9
25.05,78.86,26.41
13.53,80.07,64.15
28.47,95.52,69.19
15.68,78.97,40.59
17.75,74.05,34.71
9.87,76.35,64.3
24.23,87.28,40.73
24.48,76.33,19.61
28.57,74.51,29.53
23.05,72.97,33.44
24.57,78.88,25.19
17.23,76.48,17.46
11.08,76.58,45.96
12.05,78.78,41.91
19.88,75.33,20.39
27.24,79.89,37.58
9.97,76.25,66.57
33.12,75.32,48.61
16.7,75.25,26.68
22.98,88.37,53.74
22.63,77.98,19.91
27.57,81.6,41.04
18.58,81.23,31.99
21.52,86.93,62.73
13.37,75.45,42.04
25.75,84.17,36.68
25.22,88.78,43.61
25.47,80.37,32.01
12.97,77.58,25.08
12.95,77.63,24.74
33.5,75.17,51.58
23.23,87.07,45.29
23.55,74.45,21.96
15.9,80.47,66.24
18.15,74.58,28.3
28.37,79.4,41.12
21.93,86.77,55.69
25.75,71.38,15.87
22.3,73.25,42.4
22.33,73.27,41.9
33.12,75.32,49.08
19.0,75.72,20.07
15.85,74.53,38.2
15.85,74.62,37.12
15.15,76.85,21.38
24.13,88.27,44.74
21.87,77.93,19.71
25.23,86.95,39.68
27.22,77.5,30.62
30.17,74.58,39.07
21.75,72.18,48.21
19.92,83.18,36.95
25.35,74.63,17.17
18.45,73.4,50.19
23.28,77.35,19.73
20.25,85.83,58.51
