Latitude,Longitude,PTrain_RH2
24.6,72.72,12.22
10.33,79.38,71.77
23.88,91.25,63.92
10.85,72.47,72.1
27.17,78.03,22.42
13.5,75.1,54.48
23.07,72.63,41.9
19.08,74.8,27.53
26.45,74.62,13.89
20.7,77.03,17.83
20.7,77.07,17.51
9.55,76.42,70.76
18.63,72.87,62.04
27.88,78.07,23.56
22.28,74.4,30.75
25.45,81.73,26.17
27.5,76.58,19.95
30.38,76.77,27.26
23.17,83.25,23.95
11.12,72.73,71.83
20.93,77.78,16.43
21.6,71.22,42.29
31.63,74.87,29.59
14.68,77.62,29.83
20.83,85.1,47.82
11.17,79.0,56.23
13.53,78.5,37.23
19.88,75.33,21.87
19.85,75.4,21.62
22.3,86.93,58.25
12.99,80.2,69.14
10.35,79.4,71.69
30.08,78.72,33.24
18.18,72.99,62.75
22.03,73.67,44.07
12.88,80.15,68.63
17.05,75.78,26.0
24.07,78.06,16.98
16.57,76.47,24.17
24.95,71.53,25.71
27.14,79.28,24.23
23.6,72.95,32.98
22.38,93.15,50.88
16.67,74.9,35.07
24.53,78.72,18.14
26.85,79.08,23.52
29.96,78.61,28.49
11.47,77.88,39.05
24.77,84.18,32.21
26.35,75.03,15.35
21.17,73.18,51.89
8.87,77.5,65.38
12.89,80.11,67.64
17.83,80.48,37.06
17.1,76.22,23.6
17.17,74.53,36.48
10.02,78.78,64.69
28.75,79.72,27.98
25.03,86.9,43.33
26.35,74.12,15.35
28.27,72.85,17.82
21.38,71.05,42.01
18.73,76.38,19.01
20.13,73.03,53.65
22.41,88.3,68.23
26.67,90.6,51.99
16.07,75.95,28.99
25.97,93.5,57.06
14.47,79.72,60.13
21.98,72.9,54.09
23.65,91.62,65.18
24.53,87.57,46.67
27.54,79.6,25.5
18.42,83.9,64.32
29.93,78.53,28.9
16.15,76.38,26.2
25.62,94.53,53.16
23.4,85.52,33.24
8.67,76.77,73.11
12.02,76.3,50.24
25.09,78.86,19.41
26.06,78.21,20.21
29.19,73.21,20.3
25.05,78.86,19.37
13.53,80.07,66.16
28.47,95.52,66.02
15.68,78.97,44.31
17.75,74.05,39.39
9.87,76.35,70.82
24.23,87.28,45.91
24.48,76.33,17.3
28.57,74.51,19.6
23.05,72.97,41.38
24.57,78.88,18.61
17.23,76.48,22.04
11.08,76.58,54.02
12.05,78.78,49.16
19.88,75.33,21.99
27.24,79.89,25.4
9.97,76.25,72.47
33.12,75.32,37.37
16.7,75.25,31.39
22.98,88.37,61.28
22.63,77.98,16.83
27.57,81.6,28.79
18.58,81.23,30.86
21.52,86.93,67.9
13.37,75.45,48.72
25.75,84.17,33.31
25.22,88.78,48.35
25.47,80.37,23.45
12.97,77.58,32.59
12.95,77.63,32.38
33.5,75.17,39.02
23.23,87.07,51.46
23.55,74.45,26.41
15.9,80.47,66.91
18.15,74.58,32.24
28.37,79.4,26.6
21.93,86.77,61.28
25.75,71.38,17.82
22.3,73.25,50.26
22.33,73.27,49.76
33.12,75.32,37.03
19.0,75.72,22.18
15.85,74.53,43.56
15.85,74.62,42.44
15.15,76.85,28.17
24.13,88.27,51.69
21.87,77.93,15.41
25.23,86.95,43.28
27.22,77.5,21.74
30.17,74.58,24.07
21.75,72.18,55.55
19.92,83.18,38.01
25.35,74.63,15.15
18.45,73.4,54.51
23.28,77.35,15.41
20.25,85.83,61.22
23.25,69.67,44.21
31.83,77.17,32.15
17.92,77.53,19.54
16.82,75.72,26.95
28.0,73.3,17.11
31.25,76.67,28.83
20.7,83.5,37.09
20.6,79.85,20.04
20.53,76.23,17.26
20.62,72.93,58.1
20.22,75.42,20.47
21.9,84.03,32.74
27.13,94.12,60.66
25.82,86.27,40.75
27.05,79.85,24.91
27.78,74.57,17.26
13.68,77.07,31.14
28.48,76.18,21.66
22.92,69.17,52.01
27.52,76.77,20.6
23.22,88.88,58.69
16.9,74.37,39.82
24.08,85.87,35.25
30.0,78.59,29.17
23.73,86.32,42.53
27.0,79.65,24.59
23.32,88.65,57.85
23.95,92.08,61.2
25.58,86.27,40.83
27.58,81.6,28.8
30.37,77.87,27.61
22.23,85.32,39.22
24.87,86.45,40.31
33.22,74.09,33.55
26.3,84.78,35.8
22.87,88.27,62.56
24.78,79.02,19.29
26.22,84.38,34.45
25.11,75.63,15.57
22.97,75.2,19.92
27.9,79.0,25.18
19.3,75.47,23.63
17.31,78.48,26.48
22.33,88.3,69.13
26.25,89.6,50.37
30.67,76.97,27.72
34.03,74.94,40.51
26.97,77.08,19.91
29.89,78.61,27.11
25.42,86.32,41.13
15.25,79.47,55.83
33.66,74.01,34.73
27.82,93.9,58.43
19.73,85.22,65.65
34.05,74.75,40.3
26.13,75.87,17.32
26.33,73.15,16.18
23.98,85.78,34.49
19.48,83.98,50.04
28.46,75.64,20.58
25.62,85.15,36.69
22.63,88.3,65.45
23.8,86.35,41.66
23.28,85.82,40.2
21.49,70.07,51.6
30.04,76.53,26.1
22.65,79.15,17.11
26.72,88.32,44.74
20.67,86.12,57.57
22.73,88.66,63.4
25.77,87.1,43.45
21.7,87.07,67.57
26.72,79.9,24.55
25.5,87.37,44.53
24.2,78.22,17.21
23.1,80.05,18.85
24.3,85.42,32.97
27.48,82.78,31.43
25.22,84.42,33.61
23.05,75.37,19.3
26.32,91.0,54.24
26.32,82.33,28.88
23.83,84.12,29.07
23.73,87.02,48.07
22.35,87.37,61.61
29.73,76.75,25.6
26.13,87.47,43.82
23.6,87.53,52.76
16.07,75.37,33.71
25.1,76.4,17.54
34.25,74.55,39.99
26.65,85.58,38.6
14.48,79.8,62.17
21.77,72.15,50.7
30.61,76.1,27.22
34.38,73.77,38.61
29.07,76.31,23.39
25.18,85.52,38.04
19.57,74.65,28.67
23.3,81.67,21.03
22.37,87.42,62.27
23.17,79.45,18.54
25.15,84.62,34.32
32.62,74.82,34.1
33.21,74.43,34.06
26.43,70.58,17.46
13.0,80.27,70.52
22.22,88.1,71.25
25.05,83.62,31.07
21.32,74.1,36.27
22.01,88.33,70.17
24.77,88.03,48.31
20.48,86.23,62.27
30.52,76.84,27.71
29.89,78.66,29.35
24.67,79.16,19.39
33.68,75.08,39.9
21.93,69.77,48.13
25.58,72.67,18.6
22.87,78.22,17.14
29.82,78.72,27.19
26.25,78.25,21.14
30.56,76.21,27.2
24.4,83.58,28.57
30.27,76.03,26.08
25.65,87.13,43.78
22.95,88.55,61.34
32.94,74.39,34.18
24.07,79.08,17.99
24.18,72.03,27.28
20.45,72.88,58.26
26.8,79.25,23.71
21.67,87.35,69.12
25.7,92.02,46.62
25.28,74.67,15.57
30.19,76.63,26.67
27.14,79.75,25.01
20.62,83.35,36.5
20.9,77.6,17.04
24.27,73.38,18.47
25.55,84.87,35.67
26.05,77.37,19.43
27.07,88.2,39.12
11.68,77.13,43.63
31.28,76.25,28.54
26.7,88.48,45.43
20.43,85.98,60.15
22.13,84.8,38.17
22.68,84.55,31.3
24.63,93.77,49.58
26.05,86.98,42.44
34.4,74.32,40.28
19.02,72.85,61.02
27.25,92.4,63.32
14.6,76.68,31.02
17.89,78.46,23.27
34.01,74.64,40.46
26.82,94.83,58.65
27.87,96.37,61.09
32.65,74.82,34.24
24.1,92.6,58.31
34.48,74.24,41.23
17.33,78.41,26.02
23.35,92.83,53.63
27.35,73.1,15.08
30.19,76.51,26.52
22.36,88.12,69.31
34.53,76.2,48.59
34.38,74.99,44.68
24.02,87.15,46.4
34.28,74.44,39.93
33.6,75.02,39.92
28.26,75.37,19.59
22.25,85.8,41.41
26.52,71.81,14.99
26.77,92.6,56.15
25.5,83.85,32.28
13.62,76.42,36.87
22.25,88.67,69.72
9.17,92.83,75.98
22.55,85.82,44.02
24.92,75.58,16.71
22.03,82.7,26.52
20.78,86.73,67.88
19.97,79.3,19.97
26.2,92.52,57.07
25.78,84.73,35.24
13.0,80.18,68.66
13.07,80.25,69.92
25.25,91.73,46.19
22.1,79.0,17.14
13.25,75.75,45.84
14.23,76.43,34.75
24.88,74.63,16.51
24.65,83.1,26.2
28.25,74.92,18.86
11.0,76.97,49.92
11.03,77.05,48.7
21.78,87.75,69.58
26.33,89.47,49.85
11.77,79.77,70.69
14.48,78.83,45.27
20.47,85.93,59.28
20.22,73.05,53.89
22.52,88.78,66.25
25.68,85.35,37.52
26.84,79.53,24.19
11.15,75.82,71.51
17.31,78.87,30.03
26.92,79.21,23.84
30.4,74.9,25.28
29.66,77.45,26.27
22.97,86.05,42.83
22.15,70.58,42.72
29.39,76.99,25.19
24.04,79.1,17.94
30.73,76.79,28.18
28.43,75.51,20.4
27.72,96.23,63.05
26.57,94.7,56.24
24.05,86.9,43.72
25.88,87.13,43.34
28.16,75.46,19.16
25.68,93.23,54.07
21.43,71.22,44.12
25.3,93.72,50.68
28.68,73.12,19.04
24.88,78.97,19.55
11.83,76.07,54.65
27.22,93.12,52.37
28.78,96.27,68.53
22.22,78.43,16.07
25.68,94.3,54.57
24.47,86.25,36.56
29.98,77.1,26.67
24.79,79.08,19.39
24.52,84.95,34.4
20.68,86.85,68.98
28.75,73.99,19.72
25.07,75.5,15.24
26.22,87.02,42.72
28.67,96.15,64.36
11.4,79.7,70.32
17.6,78.75,26.33
21.52,73.65,40.82
16.45,74.33,42.81
25.17,82.53,28.13
15.58,79.88,61.44
26.63,94.92,56.53
19.07,79.07,22.33
22.12,77.5,15.39
24.05,86.15,37.46
23.18,76.97,15.78
27.93,79.28,25.63
17.56,78.22,23.9
10.97,77.28,46.53
17.29,78.03,23.86
27.12,79.41,24.35
10.7,76.75,57.41
17.23,79.13,33.11
23.67,76.23,16.95
24.45,85.17,34.67
18.72,72.9,59.82
12.5,76.3,45.54
26.5,75.67,17.28
21.1,85.33,45.56
21.7,79.68,17.96
22.12,76.9,18.17
30.69,76.09,27.5
26.72,94.23,59.55
25.27,87.22,44.75
13.63,74.7,69.17
20.5,85.83,57.82
19.97,72.72,59.77
32.53,75.97,36.57
24.05,84.07,30.29
23.83,79.45,18.7
26.17,85.9,39.37
27.05,88.27,52.07
25.67,78.47,20.21
