Latitude,Longitude,PTrain_RH2
24.6,72.72,19.69
10.33,79.38,70.92
23.88,91.25,69.97
10.85,72.47,75.69
27.17,78.03,24.51
13.5,75.1,65.19
23.07,72.63,43.71
19.08,74.8,31.81
26.45,74.62,19.97
20.7,77.03,20.41
20.7,77.07,20.27
9.55,76.42,71.22
18.63,72.87,68.19
27.88,78.07,25.32
22.28,74.4,32.54
25.45,81.73,27.56
27.5,76.58,22.65
30.38,76.77,26.89
23.17,83.25,27.28
11.12,72.73,75.18
20.93,77.78,19.66
21.6,71.22,46.56
31.63,74.87,26.57
14.68,77.62,31.88
20.83,85.1,46.78
11.17,79.0,53.67
13.53,78.5,43.19
19.88,75.33,25.53
19.85,75.4,25.27
22.3,86.93,59.52
12.99,80.2,67.5
10.35,79.4,70.65
30.08,78.72,32.34
18.18,72.99,68.69
22.03,73.67,45.65
12.88,80.15,66.97
17.05,75.78,29.58
24.07,78.06,19.6
16.57,76.47,27.86
24.95,71.53,29.86
27.14,79.28,26.17
23.6,72.95,34.63
22.38,93.15,71.58
16.67,74.9,39.05
24.53,78.72,19.56
26.85,79.08,25.31
29.96,78.61,23.2
11.47,77.88,42.27
24.77,84.18,34.72
26.35,75.03,21.05
21.17,73.18,55.29
8.87,77.5,68.46
12.89,80.11,65.95
17.83,80.48,33.47
17.1,76.22,26.82
17.17,74.53,41.48
10.02,78.78,64.07
28.75,79.72,31.82
25.03,86.9,47.48
26.35,74.12,21.54
28.27,72.85,22.79
21.38,71.05,47.01
18.73,76.38,23.79
20.13,73.03,58.18
22.41,88.3,72.43
26.67,90.6,62.22
16.07,75.95,32.79
25.97,93.5,67.74
14.47,79.72,57.76
21.98,72.9,57.91
23.65,91.62,72.53
24.53,87.57,50.3
27.54,79.6,28.16
18.42,83.9,64.67
29.93,78.53,24.0
16.15,76.38,29.97
25.62,94.53,67.72
23.4,85.52,38.54
8.67,76.77,74.55
12.02,76.3,60.33
25.09,78.86,20.51
26.06,78.21,22.04
29.19,73.21,23.0
25.05,78.86,20.48
13.53,80.07,63.89
28.47,95.52,74.62
15.68,78.97,42.45
17.75,74.05,45.8
9.87,76.35,71.11
24.23,87.28,49.28
24.48,76.33,21.64
28.57,74.51,22.28
23.05,72.97,42.97
24.57,78.88,19.79
17.23,76.48,25.64
11.08,76.58,64.69
12.05,78.78,50.5
19.88,75.33,25.54
27.24,79.89,28.15
9.97,76.25,73.29
33.12,75.32,23.91
16.7,75.25,34.75
22.98,88.37,63.87
22.63,77.98,19.39
27.57,81.6,32.18
18.58,81.23,36.74
21.52,86.93,71.61
13.37,75.45,60.47
25.75,84.17,36.76
25.22,88.78,53.8
25.47,80.37,25.24
12.97,77.58,42.71
12.95,77.63,42.44
33.5,75.17,23.72
23.23,87.07,53.27
23.55,74.45,28.4
15.9,80.47,66.5
18.15,74.58,36.12
28.37,79.4,29.44
21.93,86.77,63.4
25.75,71.38,23.86
22.3,73.25,52.93
22.33,73.27,52.32
33.12,75.32,22.72
19.0,75.72,25.43
15.85,74.53,51.98
15.85,74.62,50.39
15.15,76.85,31.7
24.13,88.27,54.52
21.87,77.93,19.42
25.23,86.95,47.84
27.22,77.5,24.26
30.17,74.58,23.59
21.75,72.18,60.7
19.92,83.18,36.38
25.35,74.63,20.93
18.45,73.4,58.62
23.28,77.35,19.4
20.25,85.83,61.99
23.25,69.67,49.0
31.83,77.17,22.46
17.92,77.53,24.81
16.82,75.72,30.97
28.0,73.3,21.56
31.25,76.67,23.08
20.7,83.5,34.99
20.6,79.85,20.75
20.53,76.23,21.72
20.62,72.93,63.55
20.22,75.42,24.65
21.9,84.03,32.11
27.13,94.12,71.37
25.82,86.27,46.05
27.05,79.85,27.27
27.78,74.57,21.29
13.68,77.07,38.74
28.48,76.18,23.57
22.92,69.17,58.89
27.52,76.77,23.25
23.22,88.88,61.2
16.9,74.37,45.03
24.08,85.87,39.51
30.0,78.59,24.21
23.73,86.32,44.72
27.0,79.65,26.76
23.32,88.65,60.16
23.95,92.08,69.45
25.58,86.27,45.69
27.58,81.6,32.19
30.37,77.87,24.5
22.23,85.32,41.35
24.87,86.45,44.47
33.22,74.09,18.49
26.3,84.78,40.5
22.87,88.27,65.37
24.78,79.02,20.27
26.22,84.38,38.64
25.11,75.63,20.95
22.97,75.2,23.58
27.9,79.0,27.4
19.3,75.47,26.4
17.31,78.48,28.32
22.33,88.3,73.67
26.25,89.6,58.82
30.67,76.97,25.22
34.03,74.94,23.18
26.97,77.08,22.66
29.89,78.61,21.99
25.42,86.32,45.7
15.25,79.47,53.64
33.66,74.01,18.83
27.82,93.9,68.98
19.73,85.22,66.78
34.05,74.75,22.73
26.13,75.87,22.31
