Latitude,Longitude,PTrain_RH2
24.6,72.72,41.5
10.33,79.38,74.34
23.88,91.25,80.43
10.85,72.47,90.15
27.17,78.03,37.42
13.5,75.1,86.05
23.07,72.63,55.31
19.08,74.8,55.93
26.45,74.62,33.0
20.7,77.03,41.38
20.7,77.07,41.56
9.55,76.42,77.35
18.63,72.87,80.1
27.88,78.07,37.41
22.28,74.4,50.35
25.45,81.73,45.11
27.5,76.58,34.14
30.38,76.77,37.76
23.17,83.25,51.79
11.12,72.73,89.32
20.93,77.78,42.27
21.6,71.22,61.68
31.63,74.87,39.0
14.68,77.62,45.26
20.83,85.1,61.55
11.17,79.0,58.13
13.53,78.5,57.94
19.88,75.33,48.86
19.85,75.4,48.58
22.3,86.93,69.29
12.99,80.2,72.63
10.35,79.4,73.95
30.08,78.72,51.22
18.18,72.99,80.84
22.03,73.67,58.18
12.88,80.15,72.27
17.05,75.78,50.59
24.07,78.06,40.11
16.57,76.47,46.52
24.95,71.53,39.41
27.14,79.28,40.38
23.6,72.95,47.97
22.38,93.15,87.55
16.67,74.9,61.18
24.53,78.72,40.37
26.85,79.08,39.82
29.96,78.61,40.9
11.47,77.88,46.23
24.77,84.18,53.03
26.35,75.03,33.64
21.17,73.18,66.6
8.87,77.5,72.76
12.89,80.11,71.6
17.83,80.48,50.24
17.1,76.22,46.14
17.17,74.53,64.87
10.02,78.78,67.77
28.75,79.72,44.03
25.03,86.9,63.3
26.35,74.12,32.67
28.27,72.85,28.0
21.38,71.05,63.94
18.73,76.38,46.8
20.13,73.03,71.29
22.41,88.3,77.05
26.67,90.6,75.54
16.07,75.95,52.64
25.97,93.5,84.38
14.47,79.72,66.53
21.98,72.9,67.16
23.65,91.62,82.4
24.53,87.57,65.87
27.54,79.6,41.75
18.42,83.9,70.87
29.93,78.53,42.23
16.15,76.38,48.67
25.62,94.53,86.56
23.4,85.52,59.57
8.67,76.77,79.37
12.02,76.3,76.46
25.09,78.86,39.83
26.06,78.21,38.03
29.19,73.21,28.36
25.05,78.86,39.87
13.53,80.07,69.97
28.47,95.52,78.92
15.68,78.97,57.13
17.75,74.05,69.92
9.87,76.35,77.77
24.23,87.28,65.14
24.48,76.33,38.41
28.57,74.51,30.04
23.05,72.97,54.98
24.57,78.88,40.46
17.23,76.48,44.61
11.08,76.58,78.6
12.05,78.78,59.64
19.88,75.33,48.74
27.24,79.89,42.42
9.97,76.25,80.56
33.12,75.32,38.74
16.7,75.25,56.12
22.98,88.37,72.88
22.63,77.98,41.07
27.57,81.6,45.0
18.58,81.23,60.1
21.52,86.93,75.75
13.37,75.45,81.33
25.75,84.17,52.69
25.22,88.78,69.38
25.47,80.37,43.18
12.97,77.58,55.13
12.95,77.63,54.56
33.5,75.17,37.93
23.23,87.07,66.64
23.55,74.45,44.03
15.9,80.47,72.74
18.15,74.58,59.29
28.37,79.4,41.97
21.93,86.77,71.38
25.75,71.38,33.61
22.3,73.25,63.14
22.33,73.27,62.69
33.12,75.32,37.99
19.0,75.72,47.95
15.85,74.53,75.9
15.85,74.62,74.15
15.15,76.85,47.45
24.13,88.27,68.65
21.87,77.93,44.4
25.23,86.95,63.44
27.22,77.5,36.41
30.17,74.58,32.28
21.75,72.18,70.23
19.92,83.18,55.01
25.35,74.63,35.77
18.45,73.4,73.73
23.28,77.35,41.17
20.25,85.83,69.97
23.25,69.67,60.78
31.83,77.17,37.98
17.92,77.53,46.88
16.82,75.72,52.29
28.0,73.3,28.53
31.25,76.67,37.17
20.7,83.5,53.8
20.6,79.85,42.95
20.53,76.23,45.57
20.62,72.93,73.79
20.22,75.42,48.53
21.9,84.03,53.04
27.13,94.12,83.69
25.82,86.27,60.88
27.05,79.85,42.01
27.78,74.57,30.46
13.68,77.07,52.91
28.48,76.18,33.19
22.92,69.17,68.58
27.52,76.77,34.61
23.22,88.88,72.37
16.9,74.37,67.99
24.08,85.87,59.36
30.0,78.59,42.22
23.73,86.32,61.75
27.0,79.65,41.42
23.32,88.65,71.54
23.95,92.08,82.42
25.58,86.27,60.95
27.58,81.6,45.0
30.37,77.87,38.05
22.23,85.32,60.27
24.87,86.45,61.46
33.22,74.09,35.97
26.3,84.78,54.78
22.87,88.27,73.49
24.78,79.02,40.38
26.22,84.38,53.28
25.11,75.63,36.96
22.97,75.2,43.9
27.9,79.0,40.14
19.3,75.47,48.68
17.31,78.48,49.03
22.33,88.3,77.71
26.25,89.6,72.59
30.67,76.97,37.66
34.03,74.94,37.09
26.97,77.08,35.49
29.89,78.61,38.35
25.42,86.32,61.19
15.25,79.47,64.45
33.66,74.01,35.56
27.82,93.9,79.41
19.73,85.22,72.02
34.05,74.75,36.89
26.13,75.87,35.14
26.33,73.15,31.97
23.98,85.78,59.24
19.48,83.98,64.14
28.46,75.64,31.94
25.62,85.15,56.62
22.63,88.3,75.23
23.8,86.35,61.81
23.28,85.82,60.29
21.49,70.07,70.82
30.04,76.53,36.39
22.65,79.15,44.87
26.72,88.32,66.31
20.67,86.12,69.18
22.73,88.66,74.56
25.77,87.1,63.88
21.7,87.07,75.3
26.72,79.9,42.08
25.5,87.37,64.89
24.2,78.22,40.15
23.1,80.05,44.01
24.3,85.42,57.58
27.48,82.78,47.24
25.22,84.42,53.82
23.05,75.37,43.08
26.32,91.0,77.59
26.32,82.33,46.43
23.83,84.12,53.11
23.73,87.02,65.06
22.35,87.37,71.61
29.73,76.75,36.24
26.13,87.47,64.79
23.6,87.53,67.63
16.07,75.37,60.11
25.1,76.4,37.38
34.25,74.55,36.49
26.65,85.58,57.58
14.48,79.8,67.42
21.77,72.15,65.89
30.61,76.1,37.07
34.38,73.77,34.84
29.07,76.31,34.03
25.18,85.52,58.14
19.57,74.65,54.51
23.3,81.67,46.85
22.37,87.42,72.07
23.17,79.45,43.28
25.15,84.62,54.58
32.62,74.82,44.14
33.21,74.43,35.46
26.43,70.58,31.33
13.0,80.27,73.95
22.22,88.1,79.0
25.05,83.62,51.1
21.32,74.1,54.84
22.01,88.33,78.47
24.77,88.03,67.31
20.48,86.23,71.02
30.52,76.84,38.26
29.89,78.66,43.29
24.67,79.16,40.71
33.68,75.08,37.67
21.93,69.77,67.63
25.58,72.67,34.46
22.87,78.22,41.04
29.82,78.72,38.76
26.25,78.25,38.16
30.56,76.21,37.17
24.4,83.58,50.88
30.27,76.03,35.74
25.65,87.13,64.07
22.95,88.55,73.15
32.94,74.39,42.49
24.07,79.08,41.69
24.18,72.03,42.7
20.45,72.88,74.33
26.8,79.25,40.26
21.67,87.35,76.74
25.7,92.02,80.31
25.28,74.67,36.0
30.19,76.63,37.1
27.14,79.75,41.87
20.62,83.35,53.15
20.9,77.6,41.46
24.27,73.38,40.57
25.55,84.87,55.54
26.05,77.37,37.02
27.07,88.2,64.73
11.68,77.13,68.29
31.28,76.25,36.92
26.7,88.48,66.94
20.43,85.98,68.83
22.13,84.8,56.79
22.68,84.55,55.88
24.63,93.77,85.48
26.05,86.98,63.17
34.4,74.32,36.23
19.02,72.85,78.81
27.25,92.4,86.1
14.6,76.68,51.83
17.89,78.46,46.42
34.01,74.64,38.08
26.82,94.83,83.29
27.87,96.37,75.85
32.65,74.82,44.25
24.1,92.6,83.11
34.48,74.24,37.64
17.33,78.41,48.52
23.35,92.83,84.98
27.35,73.1,29.02
30.19,76.51,36.8
22.36,88.12,77.6
34.53,76.2,48.08
34.38,74.99,44.22
24.02,87.15,64.99
34.28,74.44,36.38
33.6,75.02,39.08
28.26,75.37,31.42
22.25,85.8,63.72
26.52,71.81,30.32
26.77,92.6,81.38
25.5,83.85,51.76
13.62,76.42,60.33
22.25,88.67,78.59
9.17,92.83,78.34
22.55,85.82,62.12
24.92,75.58,37.34
22.03,82.7,48.73
20.78,86.73,75.19
19.97,79.3,41.96
26.2,92.52,82.34
25.78,84.73,54.89
13.0,80.18,72.43
13.07,80.25,73.57
25.25,91.73,80.83
22.1,79.0,46.88
13.25,75.75,78.27
14.23,76.43,59.09
24.88,74.63,37.28
24.65,83.1,49.2
28.25,74.92,30.59
11.0,76.97,65.33
11.03,77.05,63.24
21.78,87.75,77.6
26.33,89.47,72.01
11.77,79.77,74.05
14.48,78.83,52.93
20.47,85.93,68.05
20.22,73.05,70.89
22.52,88.78,76.42
25.68,85.35,57.41
26.84,79.53,41.04
11.15,75.82,81.1
17.31,78.87,48.68
26.92,79.21,40.18
30.4,74.9,33.87
29.66,77.45,37.78
22.97,86.05,62.14
22.15,70.58,62.36
29.39,76.99,36.3
24.04,79.1,41.84
30.73,76.79,38.55
28.43,75.51,31.75
27.72,96.23,79.79
26.57,94.7,83.35
24.05,86.9,63.88
25.88,87.13,63.9
28.16,75.46,31.47
25.68,93.23,83.6
21.43,71.22,64.34
25.3,93.72,85.95
28.68,73.12,28.19
24.88,78.97,40.19
11.83,76.07,84.0
27.22,93.12,79.75
28.78,96.27,77.88
22.22,78.43,46.11
25.68,94.3,87.08
24.47,86.25,60.75
29.98,77.1,37.68
24.79,79.08,40.47
24.52,84.95,55.78
20.68,86.85,76.04
28.75,73.99,29.34
25.07,75.5,37.03
26.22,87.02,63.25
28.67,96.15,74.41
11.4,79.7,72.77
17.6,78.75,48.39
21.52,73.65,59.92
16.45,74.33,71.1
25.17,82.53,47.5
15.58,79.88,68.46
26.63,94.92,83.06
19.07,79.07,41.38
22.12,77.5,42.65
24.05,86.15,60.7
23.18,76.97,40.92
27.93,79.28,41.03
17.56,78.22,46.65
10.97,77.28,57.41
17.29,78.03,48.58
27.12,79.41,40.7
10.7,76.75,65.05
17.23,79.13,49.66
23.67,76.23,40.07
24.45,85.17,56.55
18.72,72.9,79.48
12.5,76.3,71.85
26.5,75.67,34.24
21.1,85.33,60.85
21.7,79.68,44.18
22.12,76.9,40.85
30.69,76.09,37.39
26.72,94.23,84.36
25.27,87.22,64.51
13.63,74.7,83.36
20.5,85.83,67.08
19.97,72.72,76.55
32.53,75.97,43.26
24.05,84.07,52.73
23.83,79.45,42.3
26.17,85.9,59.23
27.05,88.27,77.77
25.67,78.47,38.79
24.2,72.2,42.44
30.32,78.03,37.54
24.92,84.18,52.99
16.38,73.35,84.1
23.78,86.43,62.22
22.6,75.3,44.83
12.13,78.03,50.7
32.27,76.38,37.33
26.67,77.83,37.27
26.02,89.98,74.13
26.15,89.92,73.81
22.18,88.2,79.29
27.48,95.02,82.73
21.83,87.78,77.57
20.72,70.92,76.43
22.83,74.27,48.93
17.72,83.3,75.38
24.27,87.25,64.95
23.83,73.67,43.77
21.18,81.28,45.6
23.48,87.32,67.11
22.37,69.08,71.82
26.12,92.87,83.32
29.9,78.55,38.67
32.86,74.9,43.2
17.91,78.01,45.19
24.48,71.73,41.89
30.27,80.52,70.31
32.58,74.93,43.85
26.91,79.6,41.24
26.1,90.78,76.94
24.93,92.77,83.36
24.03,84.07,52.7
20.42,72.85,74.75
26.31,79.3,40.34
30.22,74.17,32.0
34.17,74.9,37.18
32.65,74.9,43.69
24.73,79.21,40.74
26.63,92.8,82.75
34.33,74.38,36.31
24.02,85.55,58.73
28.45,72.5,27.64
25.33,88.32,67.89
30.75,76.15,37.74
27.9,96.3,79.12
28.02,96.23,75.39
25.75,75.38,35.34
18.25,77.1,45.62
25.74,79.16,40.13
23.13,78.68,41.55
27.98,79.42,41.61
26.17,85.0,55.76
29.73,78.47,40.07
23.43,73.75,47.84
20.03,75.03,49.79
33.13,75.98,44.82
29.86,78.64,40.3
26.92,71.37,29.12
30.66,76.83,38.78
24.6,92.83,83.43
33.27,74.55,35.82
17.65,77.47,46.16
30.58,76.82,38.52
25.98,87.13,63.85
24.42,85.98,59.71
28.93,76.17,33.66
33.53,74.22,35.65
29.93,78.74,38.51
24.37,92.17,82.03
26.7,77.9,37.36
29.91,78.7,38.47
25.6,75.61,35.95
21.48,85.82,67.15
33.58,74.09,34.47
26.47,92.47,82.03
19.3,75.67,47.14
22.98,71.47,54.13
22.57,70.42,66.72
23.57,76.78,40.24
32.74,74.81,44.83
24.15,78.23,40.23
28.39,75.63,31.85
28.35,75.64,31.88
16.22,73.83,76.15
27.13,94.77,83.91
26.17,93.57,83.26
17.94,78.68,47.37
20.17,84.85,65.74
27.1,79.95,42.63
26.35,89.9,73.47
27.27,93.07,79.36
32.56,74.92,43.68
24.53,84.92,55.7
12.17,76.6,69.5
15.68,74.97,68.59
34.27,74.47,36.4
34.45,74.41,37.12
34.39,73.79,34.77
21.07,83.2,51.45
18.02,78.9,47.25
34.37,73.98,59.59
23.75,86.17,60.77
16.05,73.92,77.4
23.42,91.67,83.5
29.08,74.68,30.89
28.87,75.45,32.1
25.32,86.02,60.08
25.55,84.15,52.77
23.98,86.02,60.17
22.97,74.12,49.11
24.76,79.05,40.46
23.13,84.85,57.35
20.0,76.3,44.36
27.5,95.75,82.02
16.73,76.92,43.58
21.7,74.03,55.99
26.28,79.29,40.35
25.93,90.77,76.83
27.79,79.31,41.1
29.28,78.12,39.33
25.97,85.12,56.39
28.19,74.69,30.2
26.13,89.47,72.13
10.03,76.3,79.56
11.22,76.15,74.0
13.07,80.26,74.01
17.58,78.54,48.92
13.25,80.33,74.16
13.13,80.25,73.25
8.18,77.63,77.58
26.75,82.08,45.6
25.93,80.83,43.38
30.92,74.67,35.46
26.3,87.27,63.96
22.37,88.78,77.72
16.28,78.68,56.35
30.72,76.77,38.57
26.35,79.23,40.17
25.77,75.63,35.55
24.18,92.02,81.9
11.18,75.85,81.15
17.84,78.12,45.64
15.42,75.63,61.71
27.33,88.62,74.39
16.53,80.8,64.0
24.75,84.95,55.75
25.4,83.55,50.75
22.77,83.97,54.15
27.13,81.97,45.37
21.47,80.2,44.08
19.27,84.88,74.37
26.75,83.37,49.21
17.35,76.85,44.22
34.05,74.4,50.36
24.65,77.32,39.1
28.42,77.0,34.91
26.1,91.58,79.59
26.23,78.25,38.08
15.42,75.62,61.96
27.23,79.28,40.41
33.89,74.29,41.53
24.05,76.45,39.27
25.58,76.3,36.63
15.73,75.98,55.61
16.27,76.83,45.15
23.52,74.0,46.11
20.1,84.57,63.72
9.92,77.53,59.4
34.16,74.57,36.54
30.65,78.85,59.19
27.85,78.47,38.47
14.55,78.73,51.95
29.9,78.68,41.04
26.01,79.38,40.53
32.79,74.77,45.08
29.97,78.53,38.41
26.7,94.12,84.4
17.61,78.47,48.4
27.72,79.65,42.05
22.77,87.8,72.99
23.28,84.55,56.16
20.88,73.72,61.03
28.3,75.71,32.0
22.9,88.16,73.18
20.13,78.32,42.33
29.85,77.05,37.17
25.22,87.17,64.3
23.95,87.1,64.92
22.7,70.65,63.69
27.22,73.47,29.79
30.72,75.98,37.16
32.98,74.41,40.89
28.36,74.9,30.56
27.7,79.57,41.82
20.67,79.13,42.63
22.25,88.5,77.8
33.26,74.14,34.44
27.32,84.32,51.6
23.27,87.97,70.55
31.52,76.02,39.87
27.98,72.25,27.76
24.9,72.83,37.04
20.72,70.99,76.56
34.08,74.57,36.78
14.97,78.25,48.86
34.1,74.58,36.66
21.92,85.37,62.49
22.02,69.92,65.73
22.26,88.97,79.11
22.86,88.04,73.21
16.75,77.3,44.27
25.73,75.54,35.54
19.92,77.05,43.49
25.93,85.33,57.25
18.17,73.3,76.66
21.33,69.9,75.56
16.72,75.43,55.49
17.21,78.9,48.92
14.83,76.63,52.66
25.96,75.59,35.16
12.84,80.06,70.88
25.6,85.2,56.85
18.98,84.02,69.87
20.37,83.37,54.05
17.63,80.93,52.17
22.55,72.22,63.94
20.28,84.7,63.92
14.98,74.92,75.13
15.17,77.38,45.76
16.28,76.62,46.33
24.67,84.77,55.15
30.64,76.81,38.71
30.1,79.97,57.87
28.07,94.57,76.78
24.67,75.6,38.05
18.02,79.57,46.19
27.38,80.17,43.44
17.82,73.1,81.56
13.0,76.15,71.68
28.08,96.5,75.9
23.98,85.37,58.38
29.17,75.73,32.77
14.28,74.45,83.69
22.77,77.77,40.67
10.58,92.55,78.14
17.45,78.47,48.52
9.5,76.63,73.52
15.8,76.98,43.45
15.02,75.95,58.29
30.03,77.89,39.52
28.18,75.39,31.4
34.28,74.2,42.14
13.0,75.7,79.99
33.39,74.23,35.05
27.65,79.95,43.02
15.43,75.8,59.29
26.86,79.06,39.91
31.03,78.73,64.36
22.57,75.82,43.43
34.53,75.13,48.18
24.6,87.08,63.9
17.55,75.9,47.72
22.62,86.13,63.68
23.67,84.95,56.72
26.39,79.48,40.99
26.53,75.87,34.36
13.95,76.62,55.85
29.93,78.52,38.4
26.0,92.87,83.4
14.03,75.68,69.13
13.54,77.3,51.12
27.57,93.85,82.15
12.82,77.03,57.82
13.23,77.12,55.78
16.47,76.53,45.92
34.3,74.25,38.29
28.78,95.88,72.54
24.53,84.02,52.47
30.17,76.54,36.82
27.68,76.45,33.38
25.05,84.63,54.67
27.6,78.05,37.32
26.27,91.37,78.95
23.83,73.03,45.09
24.77,93.9,85.62
22.72,75.8,43.1
17.69,78.87,48.19
27.16,79.27,40.33
29.84,78.75,47.43
24.68,74.13,38.08
27.68,74.07,29.86
11.57,75.6,81.71
11.77,79.38,66.53
27.24,79.44,40.9
34.65,76.02,50.94
30.1,77.75,39.55
20.13,85.15,67.47
24.28,85.17,56.77
27.33,82.7,47.02
23.2,79.95,43.79
19.08,82.03,55.28
26.82,75.8,33.68
26.9,70.92,28.91
21.05,75.57,44.43
25.35,72.62,35.25
26.53,88.72,68.53
32.67,74.83,42.72
22.82,86.18,63.11
22.82,86.18,63.13
22.88,84.13,55.95
25.08,73.08,36.18
18.2,75.2,52.55
24.53,76.17,38.29
25.45,78.58,39.1
21.92,84.08,53.22
26.3,73.02,31.88
30.55,79.57,48.47
33.19,74.15,35.88
14.53,76.35,57.5
22.23,85.65,62.85
25.48,84.42,53.75
25.05,84.08,52.69
26.2,73.94,32.89
28.88,74.07,29.52
26.72,89.88,72.01
21.73,75.15,46.49
22.47,70.07,69.22
26.1,92.73,83.1
26.38,79.19,40.1
24.92,86.22,60.76
17.61,78.88,48.53
25.55,82.32,46.67
23.63,75.13,41.6
28.05,94.18,78.82
30.64,76.05,37.11
30.8,75.82,37.24
29.28,77.42,36.97
33.98,74.27,51.56
28.06,75.28,31.23
25.1,78.8,39.73
33.78,74.07,34.52
26.21,73.07,32.36
33.34,74.21,34.7
32.6,74.87,44.06
24.43,85.52,57.82
23.1,74.15,48.07
22.17,86.63,68.9
30.03,77.83,39.8
17.74,78.47,47.96
28.33,75.68,31.96
16.33,74.78,66.01
16.43,74.68,65.94
25.38,74.3,35.5
29.8,78.65,38.44
22.52,85.63,62.08
26.13,87.62,65.3
20.78,85.72,64.15
20.82,75.97,43.48
21.85,87.92,78.45
10.95,78.08,50.6
24.32,92.0,81.67
16.95,82.23,73.18
27.07,88.47,67.91
18.33,84.13,74.15
11.73,78.97,59.8
32.4,78.25,53.81
20.27,81.48,47.73
22.67,76.73,40.95
11.83,75.33,82.78
26.43,80.37,43.21
8.08,77.5,79.73
31.33,75.33,38.68
10.92,79.83,73.87
10.07,78.8,68.51
29.7,77.03,36.67
14.78,74.13,83.64
33.0,74.9,36.15
21.62,85.58,64.25
21.32,70.32,70.17
24.98,79.92,41.95
17.25,80.15,51.76
21.83,76.37,41.9
21.82,75.62,43.87
27.9,80.8,44.89
22.08,82.15,48.2
9.95,76.27,80.49
10.23,77.47,82.64
12.95,78.3,59.83
16.7,74.23,71.88
22.53,88.33,75.98
22.65,88.45,75.02
7.22,93.73,80.78
10.75,79.35,64.27
25.15,75.85,37.0
25.18,75.9,36.96
17.55,80.63,52.52
9.53,76.6,74.11
11.25,75.78,81.13
23.4,88.52,71.08
10.4,78.67,63.64
33.58,75.5,39.43
34.42,74.3,36.53
15.83,78.07,47.57
26.85,79.5,40.96
25.22,82.72,47.99
13.24,76.86,56.92
19.28,74.37,59.86
17.87,78.76,47.76
17.22,78.03,48.56
13.55,76.01,67.87
22.5,73.75,55.56
21.53,73.43,62.75
32.68,74.76,44.64
31.91,75.45,41.86
29.92,77.07,37.4
13.02,80.12,71.16
27.57,79.35,40.95
27.51,79.51,41.46
30.02,79.07,45.98
13.35,77.98,55.56
34.3,73.95,46.15
34.12,74.81,36.97
28.62,72.97,28.02
22.17,85.62,62.82
27.78,79.32,40.49
21.85,72.13,69.78
17.5,74.75,61.71
26.7,89.45,70.34
28.19,75.7,31.93
20.03,77.83,42.63
25.25,94.47,87.37
26.89,79.65,41.37
17.92,82.97,67.61
22.44,88.1,76.83
11.7,75.53,81.86
30.04,73.95,31.08
9.82,77.15,83.06
21.95,85.32,62.13
21.23,78.9,43.31
22.05,78.3,45.95
26.8,75.64,33.55
19.25,73.15,74.83
19.5,83.32,58.8
33.23,74.39,36.09
32.96,74.41,40.85
24.6,84.82,55.32
29.79,78.71,38.23
19.9,86.12,75.56
29.87,78.72,42.86
20.27,85.18,66.3
21.42,79.27,45.09
17.07,78.49,51.37
25.4,79.5,40.94
12.85,74.9,82.49
28.93,74.89,31.18
23.1,71.4,54.68
23.43,85.32,58.92
12.42,78.38,54.65
11.83,75.67,79.72
23.48,70.47,57.61
22.42,71.87,62.18
25.13,75.58,36.88
24.54,75.71,38.3
25.7,81.35,44.35
