Latitude,Longitude,PTrain_RH2
24.6,72.72,66.95
10.33,79.38,74.1
23.88,91.25,85.18
10.85,72.47,89.41
27.17,78.03,61.16
13.5,75.1,88.71
23.07,72.63,70.89
19.08,74.8,70.46
26.45,74.62,56.08
20.7,77.03,62.88
20.7,77.07,62.93
9.55,76.42,77.01
18.63,72.87,86.1
27.88,78.07,60.82
22.28,74.4,69.47
25.45,81.73,70.02
27.5,76.58,56.91
30.38,76.77,59.22
23.17,83.25,74.96
11.12,72.73,88.71
20.93,77.78,63.89
21.6,71.22,75.91
31.63,74.87,57.92
14.68,77.62,53.86
20.83,85.1,76.35
11.17,79.0,62.3
13.53,78.5,63.3
19.88,75.33,66.1
19.85,75.4,65.81
22.3,86.93,79.3
12.99,80.2,74.2
10.35,79.4,73.77
30.08,78.72,82.64
18.18,72.99,86.34
22.03,73.67,73.18
12.88,80.15,73.95
17.05,75.78,61.82
24.07,78.06,65.77
16.57,76.47,57.21
24.95,71.53,58.24
27.14,79.28,65.16
23.6,72.95,66.5
22.38,93.15,92.59
16.67,74.9,70.81
24.53,78.72,66.91
26.85,79.08,64.68
29.96,78.61,72.52
11.47,77.88,50.56
24.77,84.18,74.03
26.35,75.03,56.35
21.17,73.18,78.15
8.87,77.5,73.38
12.89,80.11,73.61
17.83,80.48,66.16
17.1,76.22,58.28
17.17,74.53,74.77
10.02,78.78,69.3
28.75,79.72,67.31
25.03,86.9,77.58
26.35,74.12,54.37
28.27,72.85,45.53
21.38,71.05,77.83
18.73,76.38,61.29
20.13,73.03,81.34
22.41,88.3,81.7
26.67,90.6,80.52
16.07,75.95,61.75
25.97,93.5,87.23
14.47,79.72,71.9
21.98,72.9,78.0
23.65,91.62,86.32
24.53,87.57,79.05
27.54,79.6,66.14
18.42,83.9,77.37
29.93,78.53,74.2
16.15,76.38,58.24
25.62,94.53,91.43
23.4,85.52,78.07
8.67,76.77,78.26
12.02,76.3,79.01
25.09,78.86,66.4
26.06,78.21,63.35
29.19,73.21,45.36
25.05,78.86,66.44
13.53,80.07,72.91
28.47,95.52,84.01
15.68,78.97,67.28
17.75,74.05,79.93
9.87,76.35,77.49
24.23,87.28,78.93
24.48,76.33,62.26
28.57,74.51,49.84
23.05,72.97,70.85
24.57,78.88,67.09
17.23,76.48,57.1
11.08,76.58,80.55
12.05,78.78,64.54
19.88,75.33,66.04
27.24,79.89,67.17
9.97,76.25,79.83
33.12,75.32,64.72
16.7,75.25,66.39
22.98,88.37,80.89
22.63,77.98,65.67
27.57,81.6,68.2
18.58,81.23,73.51
21.52,86.93,80.87
13.37,75.45,84.5
25.75,84.17,72.53
25.22,88.78,80.44
25.47,80.37,69.32
12.97,77.58,56.77
12.95,77.63,56.22
33.5,75.17,62.36
23.23,87.07,79.08
23.55,74.45,64.9
15.9,80.47,76.59
18.15,74.58,71.76
28.37,79.4,65.72
21.93,86.77,79.82
25.75,71.38,53.43
22.3,73.25,75.69
22.33,73.27,75.44
33.12,75.32,64.02
19.0,75.72,63.8
15.85,74.53,82.3
15.85,74.62,80.75
15.15,76.85,55.59
24.13,88.27,80.17
21.87,77.93,66.68
25.23,86.95,77.42
27.22,77.5,59.52
30.17,74.58,51.39
21.75,72.18,80.13
19.92,83.18,72.6
25.35,74.63,58.8
18.45,73.4,82.27
23.28,77.35,65.55
20.25,85.83,78.63
23.25,69.67,74.32
31.83,77.17,65.91
17.92,77.53,59.33
16.82,75.72,62.66
28.0,73.3,47.74
31.25,76.67,62.02
20.7,83.5,72.91
20.6,79.85,65.93
20.53,76.23,64.45
20.62,72.93,82.42
20.22,75.42,66.3
21.9,84.03,74.21
27.13,94.12,82.93
25.82,86.27,75.44
27.05,79.85,67.1
27.78,74.57,51.53
13.68,77.07,56.46
28.48,76.18,54.63
22.92,69.17,79.0
27.52,76.77,57.25
23.22,88.88,81.44
16.9,74.37,77.03
24.08,85.87,77.64
30.0,78.59,74.08
23.73,86.32,77.84
27.0,79.65,66.44
23.32,88.65,81.01
23.95,92.08,87.38
25.58,86.27,75.87
27.58,81.6,68.2
30.37,77.87,63.75
22.23,85.32,77.47
24.87,86.45,77.27
33.22,74.09,58.69
26.3,84.78,72.25
22.87,88.27,80.91
24.78,79.02,67.07
26.22,84.38,71.88
25.11,75.63,60.6
22.97,75.2,66.0
27.9,79.0,64.03
19.3,75.47,65.22
17.31,78.48,62.44
22.33,88.3,81.88
26.25,89.6,79.9
30.67,76.97,61.01
34.03,74.94,60.26
26.97,77.08,59.02
29.89,78.61,68.45
25.42,86.32,76.19
15.25,79.47,71.59
33.66,74.01,57.41
27.82,93.9,79.91
19.73,85.22,78.54
34.05,74.75,60.21
26.13,75.87,57.94
26.33,73.15,52.42
23.98,85.78,77.7
19.48,83.98,76.49
28.46,75.64,53.17
25.62,85.15,74.15
22.63,88.3,81.28
23.8,86.35,77.99
23.28,85.82,77.48
21.49,70.07,81.39
30.04,76.53,57.42
22.65,79.15,69.42
26.72,88.32,76.76
20.67,86.12,79.2
22.73,88.66,81.56
25.77,87.1,76.83
21.7,87.07,80.67
26.72,79.9,67.36
25.5,87.37,77.69
24.2,78.22,66.04
23.1,80.05,69.93
24.3,85.42,76.9
27.48,82.78,68.3
25.22,84.42,73.77
23.05,75.37,65.45
26.32,91.0,82.04
26.32,82.33,69.4
23.83,84.12,75.08
23.73,87.02,78.68
22.35,87.37,79.95
29.73,76.75,57.49
26.13,87.47,76.76
23.6,87.53,79.31
16.07,75.37,68.55
25.1,76.4,61.09
34.25,74.55,59.92
26.65,85.58,72.56
14.48,79.8,72.28
21.77,72.15,77.76
30.61,76.1,57.57
34.38,73.77,58.12
29.07,76.31,55.05
25.18,85.52,75.37
19.57,74.65,70.3
23.3,81.67,72.34
22.37,87.42,80.06
23.17,79.45,69.09
25.15,84.62,74.16
32.62,74.82,62.62
33.21,74.43,59.8
26.43,70.58,49.58
13.0,80.27,75.02
22.22,88.1,82.05
25.05,83.62,72.83
21.32,74.1,71.84
22.01,88.33,82.19
24.77,88.03,79.48
20.48,86.23,79.19
30.52,76.84,59.92
29.89,78.66,75.34
24.67,79.16,67.49
33.68,75.08,61.31
21.93,69.77,79.45
25.58,72.67,54.83
22.87,78.22,66.08
29.82,78.72,69.22
26.25,78.25,62.97
30.56,76.21,57.78
24.4,83.58,73.74
30.27,76.03,56.27
25.65,87.13,77.07
22.95,88.55,81.14
32.94,74.39,60.16
24.07,79.08,68.33
24.18,72.03,62.14
20.45,72.88,82.8
26.8,79.25,65.24
21.67,87.35,81.22
25.7,92.02,87.43
25.28,74.67,58.95
30.19,76.63,58.17
27.14,79.75,66.72
20.62,83.35,72.5
20.9,77.6,63.47
24.27,73.38,63.07
25.55,84.87,73.87
26.05,77.37,61.14
27.07,88.2,79.74
11.68,77.13,70.56
31.28,76.25,60.67
26.7,88.48,77.01
20.43,85.98,78.25
22.13,84.8,75.71
22.68,84.55,76.12
24.63,93.77,91.67
26.05,86.98,76.14
34.4,74.32,59.32
19.02,72.85,85.42
27.25,92.4,90.73
14.6,76.68,58.28
17.89,78.46,61.37
34.01,74.64,61.54
26.82,94.83,85.0
27.87,96.37,80.23
32.65,74.82,62.74
24.1,92.6,88.67
34.48,74.24,60.41
17.33,78.41,62.01
23.35,92.83,91.09
27.35,73.1,49.27
30.19,76.51,57.73
22.36,88.12,81.69
34.53,76.2,63.09
34.38,74.99,63.67
24.02,87.15,78.85
34.28,74.44,59.81
33.6,75.02,62.9
28.26,75.37,52.67
22.25,85.8,79.15
26.52,71.81,49.92
26.77,92.6,83.28
25.5,83.85,72.49
13.62,76.42,64.63
22.25,88.67,82.41
9.17,92.83,78.24
22.55,85.82,77.87
24.92,75.58,60.66
22.03,82.7,72.2
20.78,86.73,80.51
19.97,79.3,63.86
26.2,92.52,84.94
25.78,84.73,73.25
13.0,80.18,74.15
13.07,80.25,74.87
25.25,91.73,88.35
22.1,79.0,69.74
13.25,75.75,81.53
14.23,76.43,64.17
24.88,74.63,60.21
24.65,83.1,73.18
28.25,74.92,51.54
11.0,76.97,68.13
11.03,77.05,66.19
21.78,87.75,81.72
26.33,89.47,79.5
11.77,79.77,74.56
14.48,78.83,62.25
20.47,85.93,77.97
20.22,73.05,80.98
22.52,88.78,82.02
25.68,85.35,74.33
26.84,79.53,66.11
11.15,75.82,80.87
17.31,78.87,63.2
26.92,79.21,65.04
30.4,74.9,52.97
29.66,77.45,59.98
22.97,86.05,78.11
22.15,70.58,76.4
29.39,76.99,57.74
24.04,79.1,68.48
30.73,76.79,60.43
28.43,75.51,52.77
27.72,96.23,79.77
26.57,94.7,86.59
24.05,86.9,78.68
25.88,87.13,76.68
28.16,75.46,53.25
25.68,93.23,88.02
