Latitude,Longitude,PTrain_RH2
24.6,72.72,75.61
10.33,79.38,75.81
23.88,91.25,84.64
10.85,72.47,87.62
27.17,78.03,67.09
13.5,75.1,86.06
23.07,72.63,72.13
19.08,74.8,74.45
26.45,74.62,65.57
20.7,77.03,70.29
20.7,77.07,70.33
9.55,76.42,77.59
18.63,72.87,85.37
27.88,78.07,66.12
22.28,74.4,73.94
25.45,81.73,75.33
27.5,76.58,63.66
30.38,76.77,62.52
23.17,83.25,79.6
11.12,72.73,87.14
20.93,77.78,71.23
21.6,71.22,77.03
31.63,74.87,59.81
14.68,77.62,56.9
20.83,85.1,79.04
11.17,79.0,64.5
13.53,78.5,63.82
19.88,75.33,71.89
19.85,75.4,71.66
22.3,86.93,80.7
12.99,80.2,76.36
10.35,79.4,75.54
30.08,78.72,85.64
18.18,72.99,85.7
22.03,73.67,74.86
12.88,80.15,76.08
17.05,75.78,65.84
24.07,78.06,73.83
16.57,76.47,61.45
24.95,71.53,62.45
27.14,79.28,70.83
23.6,72.95,69.77
22.38,93.15,93.57
16.67,74.9,72.99
24.53,78.72,74.61
26.85,79.08,70.57
29.96,78.61,78.23
11.47,77.88,52.26
24.77,84.18,77.62
26.35,75.03,65.18
21.17,73.18,78.46
8.87,77.5,73.64
12.89,80.11,75.7
17.83,80.48,70.05
17.1,76.22,63.03
17.17,74.53,76.46
10.02,78.78,70.81
28.75,79.72,72.13
25.03,86.9,79.15
26.35,74.12,62.95
28.27,72.85,51.8
21.38,71.05,78.75
18.73,76.38,66.91
20.13,73.03,81.5
22.41,88.3,82.16
26.67,90.6,80.3
16.07,75.95,64.82
25.97,93.5,85.85
14.47,79.72,74.24
21.98,72.9,77.33
23.65,91.62,85.96
24.53,87.57,80.44
27.54,79.6,71.48
18.42,83.9,79.59
29.93,78.53,79.52
16.15,76.38,61.86
25.62,94.53,89.69
23.4,85.52,82.0
8.67,76.77,78.72
12.02,76.3,77.17
25.09,78.86,73.84
26.06,78.21,70.48
29.19,73.21,49.82
25.05,78.86,73.89
13.53,80.07,75.22
28.47,95.52,79.75
15.68,78.97,69.98
17.75,74.05,80.81
9.87,76.35,78.06
24.23,87.28,80.75
24.48,76.33,70.39
28.57,74.51,55.72
23.05,72.97,72.34
24.57,78.88,74.68
17.23,76.48,62.14
11.08,76.58,78.4
12.05,78.78,65.59
