Latitude,Longitude,PTrain_RH2
24.6,72.72,58.79
10.33,79.38,76.32
23.88,91.25,83.59
10.85,72.47,82.65
27.17,78.03,57.19
13.5,75.1,79.62
23.07,72.63,62.86
19.08,74.8,64.33
26.45,74.62,46.43
20.7,77.03,59.54
20.7,77.07,59.53
9.55,76.42,76.67
18.63,72.87,79.44
27.88,78.07,56.99
22.28,74.4,62.5
25.45,81.73,70.6
27.5,76.58,49.95
30.38,76.77,54.39
23.17,83.25,72.63
11.12,72.73,82.35
20.93,77.78,61.07
21.6,71.22,66.71
31.63,74.87,53.59
14.68,77.62,55.88
20.83,85.1,76.35
11.17,79.0,66.47
13.53,78.5,62.64
19.88,75.33,60.46
19.85,75.4,60.27
22.3,86.93,78.41
12.99,80.2,76.32
10.35,79.4,76.13
30.08,78.72,65.95
18.18,72.99,79.85
22.03,73.67,66.19
12.88,80.15,76.06
17.05,75.78,58.45
24.07,78.06,60.43
16.57,76.47,55.97
24.95,71.53,47.59
27.14,79.28,63.85
23.6,72.95,58.03
22.38,93.15,95.52
16.67,74.9,65.24
24.53,78.72,62.24
26.85,79.08,62.89
29.96,78.61,58.76
11.47,77.88,55.32
24.77,84.18,73.25
26.35,75.03,47.34
21.17,73.18,71.33
8.87,77.5,73.6
12.89,80.11,75.67
17.83,80.48,67.12
17.1,76.22,56.44
17.17,74.53,68.16
10.02,78.78,71.9
28.75,79.72,67.78
25.03,86.9,76.63
26.35,74.12,44.93
28.27,72.85,36.15
21.38,71.05,68.49
18.73,76.38,57.71
20.13,73.03,74.42
22.41,88.3,80.52
26.67,90.6,82.11
16.07,75.95,58.85
25.97,93.5,89.69
14.47,79.72,73.37
21.98,72.9,71.13
23.65,91.62,84.67
24.53,87.57,77.87
27.54,79.6,65.9
18.42,83.9,78.26
29.93,78.53,59.42
16.15,76.38,56.65
25.62,94.53,92.14
23.4,85.52,76.96
8.67,76.77,78.02
12.02,76.3,72.6
25.09,78.86,62.37
26.06,78.21,58.66
29.19,73.21,36.89
25.05,78.86,62.42
13.53,80.07,75.05
28.47,95.52,81.03
15.68,78.97,67.65
17.75,74.05,72.37
9.87,76.35,76.95
24.23,87.28,77.63
24.48,76.33,55.1
28.57,74.51,41.46
23.05,72.97,63.1
24.57,78.88,62.91
17.23,76.48,55.86
11.08,76.58,74.29
12.05,78.78,65.93
19.88,75.33,60.42
27.24,79.89,67.54
9.97,76.25,78.62
33.12,75.32,54.15
16.7,75.25,61.88
22.98,88.37,79.64
22.63,77.98,61.55
27.57,81.6,69.6
18.58,81.23,73.16
21.52,86.93,80.18
13.37,75.45,75.84
25.75,84.17,72.78
25.22,88.78,80.29
25.47,80.37,70.49
12.97,77.58,56.4
12.95,77.63,56.09
33.5,75.17,54.49
23.23,87.07,77.89
23.55,74.45,57.18
15.9,80.47,77.5
18.15,74.58,65.55
28.37,79.4,65.06
21.93,86.77,79.05
25.75,71.38,42.42
22.3,73.25,68.84
22.33,73.27,68.58
33.12,75.32,54.04
19.0,75.72,59.26
15.85,74.53,74.21
15.85,74.62,72.97
15.15,76.85,55.71
24.13,88.27,79.0
21.87,77.93,61.75
25.23,86.95,76.65
27.22,77.5,54.64
30.17,74.58,44.37
21.75,72.18,72.77
19.92,83.18,72.76
25.35,74.63,49.94
18.45,73.4,75.74
23.28,77.35,59.41
20.25,85.83,78.8
23.25,69.67,64.38
31.83,77.17,56.22
17.92,77.53,57.73
16.82,75.72,59.03
28.0,73.3,38.32
31.25,76.67,54.7
20.7,83.5,72.83
20.6,79.85,65.63
20.53,76.23,59.26
20.62,72.93,75.72
20.22,75.42,60.54
21.9,84.03,73.64
27.13,94.12,89.47
25.82,86.27,75.32
27.05,79.85,67.11
27.78,74.57,42.39
13.68,77.07,55.91
28.48,76.18,47.86
22.92,69.17,69.15
27.52,76.77,50.84
23.22,88.88,80.25
16.9,74.37,70.1
24.08,85.87,76.23
30.0,78.59,59.52
23.73,86.32,76.57
27.0,79.65,66.03
23.32,88.65,79.79
23.95,92.08,86.08
25.58,86.27,75.48
27.58,81.6,69.59
30.37,77.87,57.15
22.23,85.32,76.75
24.87,86.45,76.07
33.22,74.09,51.31
26.3,84.78,72.74
22.87,88.27,79.67
24.78,79.02,63.41
26.22,84.38,72.39
25.11,75.63,52.42
22.97,75.2,59.08
27.9,79.0,62.4
19.3,75.47,60.19
17.31,78.48,61.6
22.33,88.3,80.72
26.25,89.6,80.83
30.67,76.97,55.11
34.03,74.94,53.55
26.97,77.08,52.69
29.89,78.61,57.62
25.42,86.32,75.65
15.25,79.47,72.42
33.66,74.01,49.23
27.82,93.9,85.07
19.73,85.22,78.91
34.05,74.75,52.93
26.13,75.87,50.06
26.33,73.15,42.56
23.98,85.78,76.28
19.48,83.98,76.73
28.46,75.64,45.52
25.62,85.15,73.98
22.63,88.3,80.07
23.8,86.35,76.7
23.28,85.82,76.29
21.49,70.07,71.69
30.04,76.53,52.23
22.65,79.15,65.21
26.72,88.32,78.02
20.67,86.12,79.15
22.73,88.66,80.37
25.77,87.1,76.72
21.7,87.07,79.91
26.72,79.9,67.58
25.5,87.37,77.31
24.2,78.22,60.81
23.1,80.05,67.5
24.3,85.42,75.28
27.48,82.78,69.88
25.22,84.42,73.43
23.05,75.37,58.49
26.32,91.0,83.49
26.32,82.33,70.34
23.83,84.12,73.39
23.73,87.02,77.37
22.35,87.37,78.98
29.73,76.75,52.41
26.13,87.47,77.12
23.6,87.53,77.99
16.07,75.37,63.62
25.1,76.4,53.91
34.25,74.55,50.55
26.65,85.58,73.35
14.48,79.8,73.97
21.77,72.15,69.98
30.61,76.1,52.43
34.38,73.77,47.63
29.07,76.31,48.99
25.18,85.52,74.75
19.57,74.65,64.05
23.3,81.67,69.76
22.37,87.42,79.06
23.17,79.45,67.12
25.15,84.62,73.76
32.62,74.82,61.39
33.21,74.43,51.48
26.43,70.58,37.97
13.0,80.27,77.05
22.22,88.1,80.91
25.05,83.62,72.6
21.32,74.1,64.98
22.01,88.33,81.14
24.77,88.03,78.61
20.48,86.23,79.23
30.52,76.84,55.2
29.89,78.66,60.36
24.67,79.16,64.12
33.68,75.08,54.78
21.93,69.77,69.34
25.58,72.67,44.74
22.87,78.22,62.23
29.82,78.72,58.02
26.25,78.25,58.98
30.56,76.21,52.71
24.4,83.58,72.42
30.27,76.03,50.64
25.65,87.13,76.84
22.95,88.55,79.92
32.94,74.39,57.44
24.07,79.08,63.98
24.18,72.03,52.27
20.45,72.88,76.04
26.8,79.25,63.87
21.67,87.35,80.43
25.7,92.02,87.7
25.28,74.67,50.17
30.19,76.63,53.26
27.14,79.75,66.68
20.62,83.35,72.48
20.9,77.6,60.82
24.27,73.38,54.78
25.55,84.87,73.73
26.05,77.37,55.38
27.07,88.2,76.86
11.68,77.13,66.36
31.28,76.25,53.71
26.7,88.48,78.51
20.43,85.98,78.42
22.13,84.8,74.99
22.68,84.55,74.94
24.63,93.77,92.5
26.05,86.98,76.24
34.4,74.32,49.84
19.02,72.85,78.71
27.25,92.4,88.44
14.6,76.68,57.26
17.89,78.46,60.6
34.01,74.64,52.16
26.82,94.83,90.31
27.87,96.37,84.52
32.65,74.82,61.61
24.1,92.6,87.8
34.48,74.24,49.57
17.33,78.41,61.21
23.35,92.83,91.17
27.35,73.1,39.15
30.19,76.51,52.69
22.36,88.12,80.52
34.53,76.2,54.76
34.38,74.99,53.73
24.02,87.15,77.54
34.28,74.44,50.13
33.6,75.02,54.19
28.26,75.37,44.52
22.25,85.8,78.71
26.52,71.81,39.02
26.77,92.6,86.18
25.5,83.85,72.62
13.62,76.42,61.52
22.25,88.67,81.23
9.17,92.83,82.33
22.55,85.82,76.98
24.92,75.58,52.66
22.03,82.7,71.36
20.78,86.73,80.23
19.97,79.3,64.07
26.2,92.52,86.97
25.78,84.73,73.32
13.0,80.18,76.19
13.07,80.25,76.86
25.25,91.73,89.77
22.1,79.0,65.33
13.25,75.75,73.54
14.23,76.43,61.05
24.88,74.63,51.68
24.65,83.1,71.29
28.25,74.92,42.9
11.0,76.97,66.47
11.03,77.05,65.15
21.78,87.75,80.83
26.33,89.47,80.54
11.77,79.77,76.58
14.48,78.83,64.73
20.47,85.93,78.15
20.22,73.05,74.13
22.52,88.78,80.82
25.68,85.35,74.19
26.84,79.53,65.43
11.15,75.82,78.99
17.31,78.87,63.04
26.92,79.21,63.6
30.4,74.9,46.67
29.66,77.45,55.62
22.97,86.05,77.08
22.15,70.58,66.83
29.39,76.99,52.92
24.04,79.1,64.06
30.73,76.79,55.61
28.43,75.51,45.05
27.72,96.23,90.55
26.57,94.7,89.9
24.05,86.9,77.37
25.88,87.13,76.69
28.16,75.46,44.84
25.68,93.23,89.17
21.43,71.22,68.71
25.3,93.72,92.18
28.68,73.12,36.67
24.88,78.97,63.24
11.83,76.07,77.67
27.22,93.12,84.72
28.78,96.27,79.64
22.22,78.43,63.55
25.68,94.3,92.12
24.47,86.25,76.47
29.98,77.1,54.8
24.79,79.08,63.64
24.52,84.95,74.3
20.68,86.85,80.52
28.75,73.99,39.86
25.07,75.5,52.42
26.22,87.02,76.2
28.67,96.15,78.78
11.4,79.7,75.78
17.6,78.75,62.13
21.52,73.65,68.28
16.45,74.33,71.81
25.17,82.53,71.56
15.58,79.88,75.03
26.63,94.92,89.83
19.07,79.07,62.6
22.12,77.5,60.45
24.05,86.15,76.61
23.18,76.97,58.67
27.93,79.28,64.04
17.56,78.22,60.01
10.97,77.28,61.86
17.29,78.03,59.77
27.12,79.41,64.53
10.7,76.75,68.37
17.23,79.13,64.31
23.67,76.23,56.77
24.45,85.17,74.63
18.72,72.9,79.15
12.5,76.3,69.11
26.5,75.67,48.59
21.1,85.33,76.49
21.7,79.68,66.22
22.12,76.9,59.32
30.69,76.09,52.81
26.72,94.23,90.39
25.27,87.22,77.11
13.63,74.7,80.55
20.5,85.83,77.89
19.97,72.72,77.3
32.53,75.97,56.45
24.05,84.07,73.24
23.83,79.45,65.87
26.17,85.9,74.42
27.05,88.27,86.31
25.67,78.47,60.38
24.2,72.2,52.49
30.32,78.03,56.72
24.92,84.18,73.18
16.38,73.35,81.37
23.78,86.43,77.07
22.6,75.3,59.94
12.13,78.03,57.81
32.27,76.38,54.71
26.67,77.83,56.68
26.02,89.98,81.61
26.15,89.92,81.42
22.18,88.2,81.1
27.48,95.02,90.36
21.83,87.78,80.75
20.72,70.92,76.13
22.83,74.27,61.55
17.72,83.3,80.47
24.27,87.25,77.63
23.83,73.67,56.45
21.18,81.28,68.44
23.48,87.32,77.86
22.37,69.08,71.45
26.12,92.87,87.97
29.9,78.55,57.48
32.86,74.9,61.59
17.91,78.01,59.01
24.48,71.73,50.72
30.27,80.52,84.27
32.58,74.93,61.17
26.91,79.6,65.77
26.1,90.78,83.13
24.93,92.77,87.84
24.03,84.07,73.29
20.42,72.85,76.24
26.31,79.3,64.37
30.22,74.17,43.41
34.17,74.9,53.51
32.65,74.9,61.24
24.73,79.21,64.27
26.63,92.8,87.28
34.33,74.38,49.96
24.02,85.55,76.3
28.45,72.5,34.76
25.33,88.32,79.3
30.75,76.15,53.36
27.9,96.3,90.09
28.02,96.23,83.77
25.75,75.38,49.81
18.25,77.1,56.88
25.74,79.16,63.99
23.13,78.68,63.6
27.98,79.42,64.99
26.17,85.0,73.2
29.73,78.47,60.43
23.43,73.75,58.86
20.03,75.03,61.28
33.13,75.98,57.03
29.86,78.64,58.48
26.92,71.37,36.38
30.66,76.83,55.83
24.6,92.83,87.91
33.27,74.55,52.27
17.65,77.47,57.29
30.58,76.82,55.46
25.98,87.13,76.63
24.42,85.98,76.0
28.93,76.17,48.27
33.53,74.22,49.98
29.93,78.74,58.63
24.37,92.17,85.78
26.7,77.9,56.96
29.91,78.7,58.05
25.6,75.61,50.71
21.48,85.82,80.78
33.58,74.09,47.16
26.47,92.47,86.6
19.3,75.67,59.45
22.98,71.47,61.02
22.57,70.42,69.03
23.57,76.78,57.79
32.74,74.81,62.47
24.15,78.23,60.9
28.39,75.63,45.45
28.35,75.64,45.5
16.22,73.83,76.37
27.13,94.77,90.96
26.17,93.57,88.95
17.94,78.68,61.39
20.17,84.85,77.75
27.1,79.95,68.06
26.35,89.9,81.18
27.27,93.07,84.4
32.56,74.92,60.92
24.53,84.92,74.29
12.17,76.6,67.7
15.68,74.97,69.1
34.27,74.47,50.24
34.45,74.41,50.09
34.39,73.79,47.96
21.07,83.2,72.03
18.02,78.9,61.96
34.37,73.98,62.61
23.75,86.17,76.58
16.05,73.92,76.92
23.42,91.67,84.77
29.08,74.68,42.49
28.87,75.45,45.15
25.32,86.02,75.29
25.55,84.15,72.93
23.98,86.02,76.27
22.97,74.12,61.23
24.76,79.05,63.52
23.13,84.85,75.88
20.0,76.3,58.45
27.5,95.75,91.56
16.73,76.92,55.08
21.7,74.03,68.85
26.28,79.29,64.39
25.93,90.77,83.17
27.79,79.31,64.31
29.28,78.12,58.79
25.97,85.12,73.62
28.19,74.69,42.17
26.13,89.47,80.72
10.03,76.3,78.05
11.22,76.15,74.46
13.07,80.26,77.09
17.58,78.54,61.54
13.25,80.33,77.25
13.13,80.25,76.7
8.18,77.63,77.3
26.75,82.08,69.77
25.93,80.83,69.8
30.92,74.67,48.49
26.3,87.27,76.56
22.37,88.78,81.13
16.28,78.68,65.56
30.72,76.77,55.57
26.35,79.23,63.96
25.77,75.63,50.33
24.18,92.02,85.29
11.18,75.85,78.92
17.84,78.12,59.41
15.42,75.63,64.23
27.33,88.62,83.22
16.53,80.8,73.62
24.75,84.95,74.26
25.4,83.55,72.32
22.77,83.97,74.1
27.13,81.97,69.57
21.47,80.2,66.94
19.27,84.88,79.77
26.75,83.37,70.84
17.35,76.85,55.53
34.05,74.4,56.56
24.65,77.32,57.42
28.42,77.0,51.53
26.1,91.58,84.8
26.23,78.25,58.85
15.42,75.62,64.36
27.23,79.28,63.82
33.89,74.29,51.26
24.05,76.45,56.3
25.58,76.3,52.64
15.73,75.98,60.24
16.27,76.83,55.13
23.52,74.0,57.87
20.1,84.57,76.46
9.92,77.53,63.09
34.16,74.57,50.48
30.65,78.85,70.97
27.85,78.47,59.22
14.55,78.73,64.06
29.9,78.68,58.99
26.01,79.38,64.93
32.79,74.77,62.83
29.97,78.53,57.39
26.7,94.12,90.23
17.61,78.47,61.14
27.72,79.65,66.21
22.77,87.8,79.09
23.28,84.55,75.2
20.88,73.72,69.07
28.3,75.71,45.77
22.9,88.16,79.47
20.13,78.32,62.33
29.85,77.05,54.12
25.22,87.17,77.03
23.95,87.1,77.54
22.7,70.65,67.19
27.22,73.47,40.53
30.72,75.98,52.4
32.98,74.41,56.25
28.36,74.9,42.78
27.7,79.57,65.79
20.67,79.13,64.51
22.25,88.5,80.97
33.26,74.14,49.59
27.32,84.32,70.29
23.27,87.97,78.8
31.52,76.02,56.47
27.98,72.25,34.82
24.9,72.83,48.93
20.72,70.99,76.19
34.08,74.57,52.33
14.97,78.25,61.17
34.1,74.58,52.39
21.92,85.37,78.66
22.02,69.92,68.68
22.26,88.97,81.59
22.86,88.04,79.38
16.75,77.3,56.12
25.73,75.54,50.22
19.92,77.05,58.75
25.93,85.33,73.94
18.17,73.3,77.45
21.33,69.9,74.82
16.72,75.43,61.0
17.21,78.9,63.37
14.83,76.63,57.73
25.96,75.59,49.71
12.84,80.06,75.22
25.6,85.2,74.08
18.98,84.02,79.77
20.37,83.37,72.67
17.63,80.93,68.73
22.55,72.22,68.31
20.28,84.7,77.18
14.98,74.92,73.69
15.17,77.38,55.4
16.28,76.62,55.63
24.67,84.77,74.05
30.64,76.81,55.68
30.1,79.97,71.92
28.07,94.57,82.22
24.67,75.6,53.76
18.02,79.57,63.74
27.38,80.17,69.14
17.82,73.1,80.25
13.0,76.15,68.6
28.08,96.5,81.58
23.98,85.37,76.24
29.17,75.73,46.48
14.28,74.45,80.81
22.77,77.77,60.9
10.58,92.55,81.91
17.45,78.47,61.31
9.5,76.63,74.0
15.8,76.98,54.92
15.02,75.95,62.27
30.03,77.89,38.47
28.18,75.39,44.6
34.28,74.2,51.16
13.0,75.7,74.63
33.39,74.23,49.64
27.65,79.95,68.01
15.43,75.8,62.66
26.86,79.06,62.96
31.03,78.73,75.11
22.57,75.82,59.14
34.53,75.13,54.97
24.6,87.08,77.26
17.55,75.9,57.92
22.62,86.13,77.44
23.67,84.95,75.2
26.39,79.48,65.62
26.53,75.87,49.13
13.95,76.62,59.11
29.93,78.52,57.32
26.0,92.87,88.07
14.03,75.68,68.81
13.54,77.3,54.41
27.57,93.85,85.15
12.82,77.03,59.34
13.23,77.12,57.26
16.47,76.53,55.8
34.3,74.25,49.67
28.78,95.88,78.39
24.53,84.02,73.09
30.17,76.54,52.76
27.68,76.45,48.95
25.05,84.63,73.84
27.6,78.05,56.96
26.27,91.37,84.29
23.83,73.03,56.4
24.77,93.9,92.54
22.72,75.8,58.91
17.69,78.87,62.39
27.16,79.27,63.74
29.84,78.75,63.39
24.68,74.13,52.41
27.68,74.07,41.07
11.57,75.6,79.36
11.77,79.38,72.02
27.24,79.44,64.76
34.65,76.02,55.69
30.1,77.75,58.31
20.13,85.15,77.86
24.28,85.17,74.91
27.33,82.7,69.84
23.2,79.95,67.42
19.08,82.03,71.38
26.82,75.8,48.3
26.9,70.92,35.83
21.05,75.57,59.62
25.35,72.62,45.83
26.53,88.72,79.08
32.67,74.83,60.3
22.82,86.18,76.9
22.82,86.18,76.97
22.88,84.13,75.24
25.08,73.08,48.3
18.2,75.2,61.18
24.53,76.17,54.68
25.45,78.58,61.01
21.92,84.08,73.75
26.3,73.02,42.38
30.55,79.57,64.74
33.19,74.15,51.3
14.53,76.35,60.5
22.23,85.65,78.33
25.48,84.42,73.33
25.05,84.08,73.1
26.2,73.94,45.01
28.88,74.07,40.15
26.72,89.88,80.3
21.73,75.15,60.43
22.47,70.07,70.48
26.1,92.73,87.65
26.38,79.19,63.77
24.92,86.22,75.71
17.61,78.88,62.59
25.55,82.32,70.98
23.63,75.13,56.87
28.05,94.18,84.91
30.64,76.05,52.4
30.8,75.82,52.23
29.28,77.42,54.65
33.98,74.27,57.36
28.06,75.28,44.3
25.1,78.8,62.11
33.78,74.07,48.29
26.21,73.07,42.83
33.34,74.21,50.13
32.6,74.87,61.33
24.43,85.52,75.38
23.1,74.15,60.37
22.17,86.63,78.82
30.03,77.83,58.71
17.74,78.47,60.97
28.33,75.68,45.66
16.33,74.78,67.96
16.43,74.68,68.01
25.38,74.3,49.59
29.8,78.65,57.69
22.52,85.63,78.31
26.13,87.62,77.43
20.78,85.72,77.09
20.82,75.97,59.08
21.85,87.92,81.03
10.95,78.08,59.55
24.32,92.0,85.35
16.95,82.23,78.42
27.07,88.47,79.06
18.33,84.13,79.44
11.73,78.97,67.33
32.4,78.25,64.43
20.27,81.48,68.2
22.67,76.73,58.64
11.83,75.33,79.84
26.43,80.37,69.85
8.08,77.5,78.41
31.33,75.33,53.52
10.92,79.83,76.32
10.07,78.8,72.2
29.7,77.03,53.52
14.78,74.13,80.92
33.0,74.9,53.74
21.62,85.58,78.97
21.32,70.32,71.58
24.98,79.92,67.79
17.25,80.15,67.44
21.83,76.37,58.84
21.82,75.62,59.2
27.9,80.8,70.35
22.08,82.15,70.32
9.95,76.27,78.59
10.23,77.47,86.27
12.95,78.3,62.25
16.7,74.23,72.54
22.53,88.33,80.28
22.65,88.45,80.17
7.22,93.73,84.43
10.75,79.35,70.58
25.15,75.85,52.46
25.18,75.9,52.5
17.55,80.63,68.42
9.53,76.6,74.28
11.25,75.78,78.99
23.4,88.52,79.58
10.4,78.67,69.01
