Latitude,Longitude,PTrain_RH2
24.6,72.72,35.16
10.33,79.38,78.78
23.88,91.25,79.24
10.85,72.47,76.28
27.17,78.03,44.9
13.5,75.1,67.34
23.07,72.63,51.5
19.08,74.8,51.46
26.45,74.62,31.22
20.7,77.03,48.31
20.7,77.07,48.06
9.55,76.42,77.59
18.63,72.87,65.91
27.88,78.07,45.42
22.28,74.4,49.04
25.45,81.73,56.63
27.5,76.58,38.06
30.38,76.77,44.46
23.17,83.25,56.77
11.12,72.73,76.14
20.93,77.78,47.98
21.6,71.22,52.31
31.63,74.87,43.61
14.68,77.62,60.09
20.83,85.1,70.47
11.17,79.0,73.53
13.53,78.5,63.71
19.88,75.33,48.41
19.85,75.4,48.4
22.3,86.93,73.56
12.99,80.2,77.61
10.35,79.4,78.79
30.08,78.72,45.53
18.18,72.99,66.82
22.03,73.67,55.0
12.88,80.15,77.46
17.05,75.78,53.85
24.07,78.06,44.04
16.57,76.47,54.3
24.95,71.53,39.08
27.14,79.28,50.81
23.6,72.95,46.78
22.38,93.15,79.46
16.67,74.9,57.43
24.53,78.72,45.63
26.85,79.08,49.7
29.96,78.61,42.64
11.47,77.88,65.7
24.77,84.18,61.69
26.35,75.03,33.29
21.17,73.18,58.94
8.87,77.5,75.84
12.89,80.11,77.12
17.83,80.48,64.77
17.1,76.22,53.41
17.17,74.53,57.11
10.02,78.78,76.29
28.75,79.72,54.94
25.03,86.9,68.8
26.35,74.12,32.17
28.27,72.85,28.64
21.38,71.05,52.11
18.73,76.38,49.06
20.13,73.03,60.72
22.41,88.3,76.5
26.67,90.6,75.86
16.07,75.95,56.22
25.97,93.5,82.99
14.47,79.72,73.84
21.98,72.9,58.41
23.65,91.62,79.49
24.53,87.57,70.69
27.54,79.6,52.97
18.42,83.9,75.22
29.93,78.53,42.33
16.15,76.38,55.4
25.62,94.53,81.35
23.4,85.52,63.23
8.67,76.77,78.56
12.02,76.3,67.36
25.09,78.86,46.56
26.06,78.21,44.34
29.19,73.21,30.68
25.05,78.86,46.58
13.53,80.07,76.47
28.47,95.52,80.06
15.68,78.97,66.89
17.75,74.05,57.28
9.87,76.35,77.53
24.23,87.28,69.88
24.48,76.33,40.75
28.57,74.51,32.62
23.05,72.97,51.57
24.57,78.88,46.52
17.23,76.48,52.84
11.08,76.58,69.44
12.05,78.78,69.92
19.88,75.33,48.5
27.24,79.89,54.17
9.97,76.25,77.98
33.12,75.32,41.01
16.7,75.25,56.17
22.98,88.37,75.41
22.63,77.98,46.4
27.57,81.6,57.35
18.58,81.23,61.67
21.52,86.93,75.68
13.37,75.45,65.23
25.75,84.17,61.55
25.22,88.78,73.35
25.47,80.37,55.54
12.97,77.58,60.5
12.95,77.63,60.48
33.5,75.17,42.08
23.23,87.07,71.48
23.55,74.45,45.21
15.9,80.47,75.43
18.15,74.58,54.46
28.37,79.4,52.66
21.93,86.77,74.0
25.75,71.38,32.04
22.3,73.25,56.68
22.33,73.27,56.45
33.12,75.32,40.99
19.0,75.72,50.09
15.85,74.53,60.95
15.85,74.62,60.59
15.15,76.85,57.76
24.13,88.27,73.4
21.87,77.93,45.19
25.23,86.95,68.81
27.22,77.5,42.7
30.17,74.58,36.95
21.75,72.18,58.7
19.92,83.18,66.06
25.35,74.63,35.07
18.45,73.4,63.41
23.28,77.35,42.65
20.25,85.83,74.74
23.25,69.67,49.47
31.83,77.17,42.91
17.92,77.53,51.53
16.82,75.72,54.31
28.0,73.3,29.2
31.25,76.67,43.15
20.7,83.5,65.87
20.6,79.85,54.57
20.53,76.23,46.04
20.62,72.93,61.83
20.22,75.42,47.32
21.9,84.03,64.14
27.13,94.12,85.74
25.82,86.27,66.79
27.05,79.85,53.61
27.78,74.57,31.33
13.68,77.07,59.34
