Latitude,Longitude,PTrain_RH2
24.6,72.72,30.99
10.33,79.38,76.95
23.88,91.25,71.16
10.85,72.47,71.58
27.17,78.03,46.51
13.5,75.1,62.14
23.07,72.63,42.74
19.08,74.8,44.81
26.45,74.62,32.31
20.7,77.03,43.81
20.7,77.07,43.53
9.55,76.42,75.35
18.63,72.87,56.63
27.88,78.07,47.84
22.28,74.4,41.82
25.45,81.73,54.46
27.5,76.58,41.06
30.38,76.77,49.93
23.17,83.25,52.02
11.12,72.73,71.41
20.93,77.78,43.39
21.6,71.22,43.17
31.63,74.87,50.4
14.68,77.62,57.22
20.83,85.1,63.83
11.17,79.0,72.56
13.53,78.5,60.8
19.88,75.33,42.49
19.85,75.4,42.53
22.3,86.93,65.85
12.99,80.2,74.44
10.35,79.4,76.97
30.08,78.72,50.35
18.18,72.99,57.83
22.03,73.67,46.38
12.88,80.15,74.39
17.05,75.78,48.83
24.07,78.06,41.75
16.57,76.47,49.94
24.95,71.53,34.37
27.14,79.28,51.18
23.6,72.95,39.48
22.38,93.15,71.47
16.67,74.9,51.64
24.53,78.72,43.68
26.85,79.08,50.0
29.96,78.61,47.58
11.47,77.88,65.28
24.77,84.18,58.06
26.35,75.03,34.15
21.17,73.18,49.5
8.87,77.5,74.74
12.89,80.11,74.09
17.83,80.48,60.0
17.1,76.22,48.84
17.17,74.53,50.61
10.02,78.78,75.15
28.75,79.72,55.88
25.03,86.9,63.72
26.35,74.12,32.78
28.27,72.85,33.78
21.38,71.05,42.68
18.73,76.38,43.73
20.13,73.03,51.34
22.41,88.3,68.02
26.67,90.6,71.55
16.07,75.95,51.61
25.97,93.5,77.03
14.47,79.72,70.01
21.98,72.9,48.31
23.65,91.62,71.15
24.53,87.57,64.63
27.54,79.6,53.27
18.42,83.9,68.78
29.93,78.53,47.37
16.15,76.38,51.08
25.62,94.53,75.13
23.4,85.52,57.27
8.67,76.77,76.58
12.02,76.3,64.19
25.09,78.86,45.18
26.06,78.21,44.52
29.19,73.21,37.43
25.05,78.86,45.16
13.53,80.07,73.11
28.47,95.52,77.07
15.68,78.97,62.76
17.75,74.05,49.87
9.87,76.35,75.09
24.23,87.28,63.57
24.48,76.33,38.43
28.57,74.51,38.08
23.05,72.97,42.91
24.57,78.88,44.53
17.23,76.48,48.35
11.08,76.58,66.87
12.05,78.78,68.3
19.88,75.33,42.59
27.24,79.89,53.82
9.97,76.25,75.24
33.12,75.32,49.31
16.7,75.25,50.85
22.98,88.37,67.46
22.63,77.98,42.79
27.57,81.6,57.04
18.58,81.23,55.51
21.52,86.93,67.42
13.37,75.45,60.54
25.75,84.17,59.05
25.22,88.78,67.89
25.47,80.37,53.02
12.97,77.58,57.6
12.95,77.63,57.66
33.5,75.17,50.18
23.23,87.07,64.24
23.55,74.45,39.32
15.9,80.47,70.13
18.15,74.58,47.9
28.37,79.4,53.87
21.93,86.77,66.06
25.75,71.38,29.72
22.3,73.25,47.01
22.33,73.27,46.83
33.12,75.32,49.22
19.0,75.72,44.57
15.85,74.53,54.52
15.85,74.62,54.3
15.15,76.85,54.25
24.13,88.27,66.66
21.87,77.93,40.71
25.23,86.95,63.98
27.22,77.5,44.72
30.17,74.58,44.03
21.75,72.18,48.25
19.92,83.18,60.18
25.35,74.63,33.34
18.45,73.4,54.98
23.28,77.35,39.38
20.25,85.83,67.56
23.25,69.67,39.3
31.83,77.17,49.54
17.92,77.53,46.31
16.82,75.72,49.24
28.0,73.3,33.89
31.25,76.67,49.49
20.7,83.5,59.99
20.6,79.85,49.82
20.53,76.23,40.73
20.62,72.93,51.79
20.22,75.42,41.4
21.9,84.03,58.52
27.13,94.12,80.82
25.82,86.27,63.17
27.05,79.85,53.18
27.78,74.57,35.4
13.68,77.07,56.25
28.48,76.18,42.53
22.92,69.17,41.98
27.52,76.77,42.11
23.22,88.88,68.21
16.9,74.37,52.09
24.08,85.87,58.91
30.0,78.59,47.68
23.73,86.32,61.93
27.0,79.65,52.42
23.32,88.65,67.79
23.95,92.08,71.64
25.58,86.27,63.03
27.58,81.6,57.04
30.37,77.87,50.22
22.23,85.32,59.81
24.87,86.45,61.9
33.22,74.09,48.7
26.3,84.78,60.5
22.87,88.27,67.38
24.78,79.02,45.52
26.22,84.38,59.72
25.11,75.63,35.46
22.97,75.2,37.83
27.9,79.0,51.59
19.3,75.47,44.6
17.31,78.48,52.6
22.33,88.3,68.11
26.25,89.6,69.88
30.67,76.97,49.94
34.03,74.94,50.4
26.97,77.08,41.89
29.89,78.61,48.16
25.42,86.32,63.06
15.25,79.47,67.44
33.66,74.01,48.39
27.82,93.9,78.49
19.73,85.22,68.43
34.05,74.75,50.05
26.13,75.87,37.27
26.33,73.15,32.06
23.98,85.78,58.38
19.48,83.98,63.82
28.46,75.64,40.52
25.62,85.15,60.86
22.63,88.3,67.73
23.8,86.35,61.49
23.28,85.82,60.65
21.49,70.07,45.32
30.04,76.53,48.48
22.65,79.15,43.34
26.72,88.32,67.0
20.67,86.12,66.36
22.73,88.66,68.15
25.77,87.1,64.78
21.7,87.07,67.44
26.72,79.9,53.0
25.5,87.37,65.15
24.2,78.22,42.13
23.1,80.05,46.77
24.3,85.42,57.77
27.48,82.78,58.52
25.22,84.42,59.08
23.05,75.37,37.87
26.32,91.0,72.76
26.32,82.33,56.37
23.83,84.12,55.67
23.73,87.02,63.74
22.35,87.37,66.71
29.73,76.75,48.2
26.13,87.47,65.49
23.6,87.53,65.22
16.07,75.37,52.34
25.1,76.4,38.63
34.25,74.55,49.08
26.65,85.58,62.29
14.48,79.8,70.72
21.77,72.15,46.9
30.61,76.1,49.18
34.38,73.77,47.6
29.07,76.31,44.9
25.18,85.52,61.38
19.57,74.65,44.76
23.3,81.67,49.29
22.37,87.42,66.78
23.17,79.45,46.45
25.15,84.62,59.5
32.62,74.82,53.97
33.21,74.43,48.37
26.43,70.58,27.96
13.0,80.27,74.76
22.22,88.1,67.99
25.05,83.62,57.54
21.32,74.1,45.08
22.01,88.33,68.65
24.77,88.03,66.29
20.48,86.23,67.81
30.52,76.84,50.42
29.89,78.66,47.74
24.67,79.16,45.94
33.68,75.08,50.61
21.93,69.77,42.96
25.58,72.67,32.7
22.87,78.22,43.36
29.82,78.72,48.11
26.25,78.25,45.66
30.56,76.21,49.29
24.4,83.58,55.56
30.27,76.03,47.84
25.65,87.13,64.85
22.95,88.55,67.82
32.94,74.39,52.73
24.07,79.08,44.14
24.18,72.03,35.98
20.45,72.88,52.1
26.8,79.25,50.6
21.67,87.35,67.87
25.7,92.02,68.78
25.28,74.67,33.69
30.19,76.63,49.23
27.14,79.75,53.11
20.62,83.35,59.83
20.9,77.6,44.03
24.27,73.38,33.06
25.55,84.87,60.31
26.05,77.37,42.13
27.07,88.2,61.69
