Latitude,Longitude,PTrain_RH2
24.6,72.72,31.22
10.33,79.38,72.74
23.88,91.25,66.19
10.85,72.47,67.35
27.17,78.03,50.73
13.5,75.1,55.05
23.07,72.63,41.6
19.08,74.8,39.54
26.45,74.62,35.27
20.7,77.03,40.76
20.7,77.07,40.48
9.55,76.42,71.58
18.63,72.87,52.7
27.88,78.07,52.72
22.28,74.4,39.34
25.45,81.73,56.12
27.5,76.58,45.55
30.38,76.77,56.25
23.17,83.25,48.87
11.12,72.73,67.07
20.93,77.78,40.87
21.6,71.22,41.03
31.63,74.87,57.05
14.68,77.62,50.56
20.83,85.1,58.11
11.17,79.0,67.28
13.53,78.5,53.26
19.88,75.33,37.97
19.85,75.4,38.01
22.3,86.93,61.02
12.99,80.2,69.16
10.35,79.4,72.76
30.08,78.72,53.33
18.18,72.99,53.69
22.03,73.67,44.17
12.88,80.15,69.1
17.05,75.78,42.72
24.07,78.06,42.12
16.57,76.47,43.84
24.95,71.53,35.56
27.14,79.28,55.44
23.6,72.95,38.68
22.38,93.15,65.57
16.67,74.9,45.25
24.53,78.72,44.89
26.85,79.08,53.99
29.96,78.61,52.33
11.47,77.88,59.2
24.77,84.18,56.38
26.35,75.03,36.97
21.17,73.18,46.88
8.87,77.5,70.77
12.89,80.11,68.73
17.83,80.48,53.62
17.1,76.22,43.04
17.17,74.53,44.34
10.02,78.78,70.69
28.75,79.72,60.99
25.03,86.9,60.62
26.35,74.12,35.67
28.27,72.85,39.62
21.38,71.05,40.26
18.73,76.38,38.72
20.13,73.03,47.97
22.41,88.3,63.5
26.67,90.6,69.21
16.07,75.95,45.04
25.97,93.5,73.09
14.47,79.72,64.06
21.98,72.9,46.42
23.65,91.62,66.06
24.53,87.57,60.72
27.54,79.6,57.82
18.42,83.9,63.17
29.93,78.53,51.89
16.15,76.38,44.68
25.62,94.53,71.98
23.4,85.52,52.92
8.67,76.77,73.36
12.02,76.3,57.11
25.09,78.86,47.14
26.06,78.21,47.45
29.19,73.21,44.11
25.05,78.86,47.07
13.53,80.07,67.6
28.47,95.52,77.25
15.68,78.97,56.13
17.75,74.05,43.84
9.87,76.35,71.16
24.23,87.28,59.46
24.48,76.33,38.66
28.57,74.51,43.98
23.05,72.97,41.64
24.57,78.88,45.88
17.23,76.48,42.73
11.08,76.58,60.23
12.05,78.78,61.92
19.88,75.33,38.08
27.24,79.89,58.15
9.97,76.25,71.3
33.12,75.32,56.15
16.7,75.25,44.53
22.98,88.37,62.76
22.63,77.98,41.69
27.57,81.6,61.08
18.58,81.23,48.59
21.52,86.93,62.76
13.37,75.45,52.95
25.75,84.17,58.94
25.22,88.78,64.39
25.47,80.37,55.92
12.97,77.58,50.17
12.95,77.63,50.25
33.5,75.17,57.42
23.23,87.07,59.6
23.55,74.45,38.15
15.9,80.47,64.59
18.15,74.58,42.19
28.37,79.4,58.92
21.93,86.77,61.24
25.75,71.38,32.0
22.3,73.25,45.2
22.33,73.27,45.03
33.12,75.32,56.09
19.0,75.72,39.57
15.85,74.53,47.52
15.85,74.62,47.31
15.15,76.85,47.63
24.13,88.27,62.29
21.87,77.93,38.76
25.23,86.95,61.1
27.22,77.5,48.96
30.17,74.58,50.89
21.75,72.18,46.33
19.92,83.18,54.05
25.35,74.63,34.56
18.45,73.4,50.55
23.28,77.35,38.45
20.25,85.83,62.1
23.25,69.67,38.9
31.83,77.17,55.62
17.92,77.53,40.79
16.82,75.72,42.94
28.0,73.3,39.4
31.25,76.67,55.78
20.7,83.5,54.3
20.6,79.85,46.23
20.53,76.23,36.9
20.62,72.93,48.95
20.22,75.42,37.09
21.9,84.03,53.56
27.13,94.12,78.74
25.82,86.27,61.52
27.05,79.85,57.37
27.78,74.57,40.36
13.68,77.07,49.06
28.48,76.18,48.09
22.92,69.17,41.52
27.52,76.77,46.64
23.22,88.88,63.33
16.9,74.37,45.79
24.08,85.87,55.16
30.0,78.59,52.22
23.73,86.32,57.68
27.0,79.65,56.57
23.32,88.65,63.0
23.95,92.08,66.32
25.58,86.27,61.01
27.58,81.6,61.09
30.37,77.87,56.13
22.23,85.32,54.58
24.87,86.45,58.78
33.22,74.09,55.57
26.3,84.78,60.68
22.87,88.27,62.73
24.78,79.02,47.19
26.22,84.38,60.11
25.11,75.63,36.4
22.97,75.2,35.86
27.9,79.0,56.44
19.3,75.47,39.77
17.31,78.48,46.03
22.33,88.3,63.62
26.25,89.6,67.3
30.67,76.97,56.19
34.03,74.94,58.02
26.97,77.08,45.75
29.89,78.61,53.41
25.42,86.32,60.78
15.25,79.47,61.28
33.66,74.01,55.47
27.82,93.9,77.61
19.73,85.22,63.17
34.05,74.75,57.69
26.13,75.87,39.83
26.33,73.15,35.13
23.98,85.78,54.54
19.48,83.98,57.69
28.46,75.64,46.13
25.62,85.15,59.68
22.63,88.3,63.14
23.8,86.35,57.27
23.28,85.82,56.14
21.49,70.07,43.51
30.04,76.53,54.82
22.65,79.15,42.74
26.72,88.32,65.91
20.67,86.12,60.79
22.73,88.66,63.36
25.77,87.1,62.61
21.7,87.07,62.82
26.72,79.9,56.94
25.5,87.37,62.47
24.2,78.22,42.73
23.1,80.05,46.55
24.3,85.42,54.51
27.48,82.78,61.89
25.22,84.42,57.92
23.05,75.37,36.02
26.32,91.0,69.77
26.32,82.33,58.62
23.83,84.12,52.66
23.73,87.02,59.36
22.35,87.37,61.98
29.73,76.75,54.41
26.13,87.47,63.71
23.6,87.53,60.74
16.07,75.37,45.59
25.1,76.4,39.76
34.25,74.55,56.81
26.65,85.58,62.43
14.48,79.8,64.93
21.77,72.15,44.91
30.61,76.1,55.7
34.38,73.77,55.34
29.07,76.31,50.91
25.18,85.52,59.27
19.57,74.65,39.98
23.3,81.67,47.78
22.37,87.42,62.08
23.17,79.45,47.0
25.15,84.62,58.08
32.62,74.82,60.17
33.21,74.43,55.28
26.43,70.58,31.18
13.0,80.27,69.55
22.22,88.1,63.65
25.05,83.62,56.79
21.32,74.1,42.0
22.01,88.33,64.06
24.77,88.03,62.51
20.48,86.23,62.43
30.52,76.84,56.72
29.89,78.66,52.06
24.67,79.16,47.55
33.68,75.08,58.05
21.93,69.77,41.48
25.58,72.67,34.69
22.87,78.22,42.63
29.82,78.72,53.25
26.25,78.25,48.87
30.56,76.21,55.77
24.4,83.58,53.84
30.27,76.03,54.36
25.65,87.13,62.49
22.95,88.55,63.06
32.94,74.39,59.19
24.07,79.08,44.97
24.18,72.03,36.12
20.45,72.88,49.15
26.8,79.25,54.56
21.67,87.35,63.28
25.7,92.02,65.3
25.28,74.67,34.81
30.19,76.63,55.58
27.14,79.75,57.37
20.62,83.35,54.13
20.9,77.6,41.45
24.27,73.38,32.72
25.55,84.87,59.26
26.05,77.37,44.86
27.07,88.2,61.53
11.68,77.13,55.52
31.28,76.25,55.67
26.7,88.48,66.43
20.43,85.98,62.1
22.13,84.8,55.25
22.68,84.55,52.09
24.63,93.77,67.66
26.05,86.98,62.71
34.4,74.32,56.74
19.02,72.85,51.83
27.25,92.4,76.89
14.6,76.68,48.46
17.89,78.46,44.57
34.01,74.64,57.46
26.82,94.83,77.72
27.87,96.37,80.15
32.65,74.82,60.23
24.1,92.6,66.9
34.48,74.24,57.03
17.33,78.41,45.82
23.35,92.83,64.42
27.35,73.1,36.1
30.19,76.51,55.3
22.36,88.12,63.4
34.53,76.2,66.0
34.38,74.99,61.27
24.02,87.15,59.18
34.28,74.44,56.63
33.6,75.02,57.81
28.26,75.37,44.42
22.25,85.8,54.68
26.52,71.81,32.29
26.77,92.6,73.01
25.5,83.85,58.13
13.62,76.42,50.7
22.25,88.67,64.15
9.17,92.83,81.58
22.55,85.82,56.54
24.92,75.58,36.92
22.03,82.7,50.82
20.78,86.73,63.55
19.97,79.3,45.98
26.2,92.52,72.06
25.78,84.73,59.52
13.0,80.18,68.95
13.07,80.25,69.26
25.25,91.73,65.73
22.1,79.0,41.78
13.25,75.75,52.15
14.23,76.43,49.01
24.88,74.63,34.71
24.65,83.1,52.55
28.25,74.92,43.09
11.0,76.97,61.13
11.03,77.05,60.89
21.78,87.75,63.56
26.33,89.47,67.28
11.77,79.77,70.84
14.48,78.83,59.02
20.47,85.93,61.94
20.22,73.05,48.12
22.52,88.78,63.83
25.68,85.35,60.09
26.84,79.53,55.78
11.15,75.82,69.21
17.31,78.87,48.8
26.92,79.21,54.71
30.4,74.9,52.66
29.66,77.45,55.87
22.97,86.05,56.45
22.15,70.58,39.76
29.39,76.99,54.1
24.04,79.1,44.85
30.73,76.79,56.99
28.43,75.51,45.73
27.72,96.23,84.24
26.57,94.7,75.28
24.05,86.9,58.12
25.88,87.13,62.82
28.16,75.46,43.89
25.68,93.23,70.24
21.43,71.22,41.49
25.3,93.72,69.84
28.68,73.12,41.91
