Latitude,Longitude,PTrain_WSD
24.6,72.72,5.41
10.33,79.38,10.57
23.88,91.25,2.64
10.85,72.47,8.59
27.17,78.03,4.38
13.5,75.1,5.69
23.07,72.63,7.44
19.08,74.8,4.57
26.45,74.62,4.36
20.7,77.03,4.61
20.7,77.07,4.64
9.55,76.42,10.38
18.63,72.87,7.78
27.88,78.07,4.22
22.28,74.4,5.48
25.45,81.73,4.41
27.5,76.58,4.29
30.38,76.77,3.75
23.17,83.25,3.53
11.12,72.73,8.48
20.93,77.78,5.0
21.6,71.22,7.33
31.63,74.87,4.22
14.68,77.62,5.25
20.83,85.1,4.09
11.17,79.0,8.51
13.53,78.5,5.52
19.88,75.33,4.46
19.85,75.4,4.45
22.3,86.93,4.23
12.99,80.2,8.63
10.35,79.4,10.56
30.08,78.72,0.91
18.18,72.99,7.64
22.03,73.67,6.92
12.88,80.15,8.62
17.05,75.78,4.56
24.07,78.06,4.47
16.57,76.47,4.79
24.95,71.53,6.01
27.14,79.28,4.22
23.6,72.95,6.37
22.38,93.15,2.39
16.67,74.9,4.64
24.53,78.72,4.52
26.85,79.08,4.34
29.96,78.61,1.13
11.47,77.88,7.06
24.77,84.18,3.17
26.35,75.03,4.33
21.17,73.18,7.7
8.87,77.5,10.7
12.89,80.11,8.51
17.83,80.48,4.58
17.1,76.22,4.68
17.17,74.53,4.72
10.02,78.78,10.03
28.75,79.72,3.5
25.03,86.9,2.18
26.35,74.12,4.5
28.27,72.85,4.95
21.38,71.05,7.37
18.73,76.38,4.8
20.13,73.03,7.5
22.41,88.3,5.02
26.67,90.6,1.56
16.07,75.95,4.66
25.97,93.5,1.34
14.47,79.72,7.06
21.98,72.9,8.53
23.65,91.62,2.85
24.53,87.57,2.17
27.54,79.6,4.04
18.42,83.9,6.45
29.93,78.53,1.12
16.15,76.38,4.77
25.62,94.53,2.05
23.4,85.52,2.6
8.67,76.77,11.51
12.02,76.3,6.11
25.09,78.86,4.46
26.06,78.21,4.36
29.19,73.21,4.95
25.05,78.86,4.47
13.53,80.07,8.06
28.47,95.52,1.45
15.68,78.97,5.38
17.75,74.05,5.01
9.87,76.35,10.1
24.23,87.28,2.31
24.48,76.33,4.2
28.57,74.51,4.58
23.05,72.97,7.27
24.57,78.88,4.54
17.23,76.48,4.79
11.08,76.58,6.96
12.05,78.78,7.11
19.88,75.33,4.46
27.24,79.89,4.05
9.97,76.25,10.13
33.12,75.32,1.63
16.7,75.25,4.55
22.98,88.37,3.83
22.63,77.98,4.65
27.57,81.6,3.98
18.58,81.23,4.09
21.52,86.93,5.7
13.37,75.45,5.1
25.75,84.17,3.48
25.22,88.78,1.89
25.47,80.37,4.48
12.97,77.58,5.96
12.95,77.63,5.99
33.5,75.17,1.96
23.23,87.07,3.17
23.55,74.45,5.15
15.9,80.47,7.37
18.15,74.58,4.66
28.37,79.4,3.75
21.93,86.77,4.79
25.75,71.38,5.49
22.3,73.25,8.06
22.33,73.27,8.0
33.12,75.32,1.67
19.0,75.72,4.45
15.85,74.53,4.81
15.85,74.62,4.77
15.15,76.85,5.03
24.13,88.27,2.39
21.87,77.93,5.06
25.23,86.95,2.18
27.22,77.5,4.4
30.17,74.58,4.46
21.75,72.18,8.87
19.92,83.18,3.97
25.35,74.63,4.42
18.45,73.4,6.78
23.28,77.35,4.42
20.25,85.83,5.41
23.25,69.67,9.12
31.83,77.17,1.37
17.92,77.53,5.17
16.82,75.72,4.56
28.0,73.3,4.8
31.25,76.67,2.65
20.7,83.5,3.71
20.6,79.85,4.66
20.53,76.23,4.58
20.62,72.93,8.33
20.22,75.42,4.48
21.9,84.03,3.26
27.13,94.12,2.19
25.82,86.27,2.51
27.05,79.85,4.09
27.78,74.57,4.46
13.68,77.07,5.53
28.48,76.18,4.33
22.92,69.17,10.18
27.52,76.77,4.33
23.22,88.88,3.22
16.9,74.37,4.89
24.08,85.87,2.39
30.0,78.59,1.05
23.73,86.32,2.56
27.0,79.65,4.18
23.32,88.65,3.16
23.95,92.08,2.12
25.58,86.27,2.45
27.58,81.6,3.98
30.37,77.87,2.57
22.23,85.32,3.13
24.87,86.45,2.22
33.22,74.09,3.17
26.3,84.78,3.3
22.87,88.27,4.08
24.78,79.02,4.53
26.22,84.38,3.47
25.11,75.63,4.24
22.97,75.2,4.6
27.9,79.0,4.07
19.3,75.47,4.42
17.31,78.48,4.52
22.33,88.3,5.18
26.25,89.6,1.72
30.67,76.97,3.18
34.03,74.94,2.36
26.97,77.08,4.3
29.89,78.61,1.56
25.42,86.32,2.4
15.25,79.47,6.41
33.66,74.01,3.3
27.82,93.9,1.99
19.73,85.22,6.14
34.05,74.75,2.37
26.13,75.87,4.29
26.33,73.15,4.78
23.98,85.78,2.42
19.48,83.98,4.82
28.46,75.64,4.35
25.62,85.15,2.94
22.63,88.3,4.55
23.8,86.35,2.5
23.28,85.82,2.73
21.49,70.07,8.75
30.04,76.53,3.99
22.65,79.15,5.15
26.72,88.32,2.25
20.67,86.12,4.88
22.73,88.66,4.09
25.77,87.1,2.24
21.7,87.07,5.55
26.72,79.9,4.21
25.5,87.37,2.13
24.2,78.22,4.49
23.1,80.05,4.89
24.3,85.42,2.48
27.48,82.78,4.05
25.22,84.42,3.2
23.05,75.37,4.5
26.32,91.0,1.48
26.32,82.33,4.23
23.83,84.12,2.99
23.73,87.02,2.69
22.35,87.37,4.46
29.73,76.75,4.03
26.13,87.47,2.23
23.6,87.53,2.96
16.07,75.37,4.59
25.1,76.4,4.23
34.25,74.55,2.4
26.65,85.58,3.06
14.48,79.8,7.26
21.77,72.15,8.17
30.61,76.1,3.96
34.38,73.77,2.69
29.07,76.31,4.28
25.18,85.52,2.67
19.57,74.65,4.71
23.3,81.67,4.29
22.37,87.42,4.52
23.17,79.45,5.01
25.15,84.62,3.09
32.62,74.82,4.2
33.21,74.43,2.66
26.43,70.58,5.71
13.0,80.27,8.76
22.22,88.1,5.61
25.05,83.62,3.55
21.32,74.1,5.76
22.01,88.33,5.4
24.77,88.03,2.08
20.48,86.23,5.38
30.52,76.84,3.65
29.89,78.66,1.06
24.67,79.16,4.56
33.68,75.08,2.15
21.93,69.77,8.71
25.58,72.67,5.03
22.87,78.22,4.69
29.82,78.72,1.47
26.25,78.25,4.43
30.56,76.21,3.94
24.4,83.58,3.35
30.27,76.03,4.06
25.65,87.13,2.22
22.95,88.55,3.77
32.94,74.39,4.41
24.07,79.08,4.65
24.18,72.03,6.04
20.45,72.88,8.27
26.8,79.25,4.33
21.67,87.35,5.68
25.7,92.02,1.19
25.28,74.67,4.42
30.19,76.63,3.92
27.14,79.75,4.12
20.62,83.35,3.73
20.9,77.6,4.86
24.27,73.38,5.24
25.55,84.87,3.06
26.05,77.37,4.36
27.07,88.2,2.02
11.68,77.13,6.04
31.28,76.25,2.99
26.7,88.48,2.26
20.43,85.98,5.19
22.13,84.8,3.18
22.68,84.55,2.94
24.63,93.77,1.38
26.05,86.98,2.32
34.4,74.32,2.52
19.02,72.85,7.85
27.25,92.4,2.89
14.6,76.68,5.08
17.89,78.46,4.57
34.01,74.64,2.23
26.82,94.83,2.01
27.87,96.37,1.91
32.65,74.82,4.2
24.1,92.6,1.67
34.48,74.24,2.44
17.33,78.41,4.54
23.35,92.83,1.94
27.35,73.1,4.74
30.19,76.51,3.96
22.36,88.12,5.27
34.53,76.2,4.15
34.38,74.99,2.83
24.02,87.15,2.45
34.28,74.44,2.42
33.6,75.02,2.03
28.26,75.37,4.37
22.25,85.8,3.22
26.52,71.81,5.09
26.77,92.6,1.46
25.5,83.85,3.57
13.62,76.42,5.23
22.25,88.67,5.15
9.17,92.83,15.85
22.55,85.82,3.2
24.92,75.58,4.26
22.03,82.7,3.61
20.78,86.73,5.88
19.97,79.3,4.78
26.2,92.52,1.33
25.78,84.73,3.19
13.0,80.18,8.56
13.07,80.25,8.66
25.25,91.73,1.77
22.1,79.0,5.5
13.25,75.75,4.85
14.23,76.43,5.02
24.88,74.63,4.49
24.65,83.1,3.58
28.25,74.92,4.43
11.0,76.97,7.31
11.03,77.05,7.27
21.78,87.75,5.59
26.33,89.47,1.78
11.77,79.77,9.44
14.48,78.83,5.88
20.47,85.93,5.09
20.22,73.05,7.55
22.52,88.78,4.51
25.68,85.35,2.86
26.84,79.53,4.27
11.15,75.82,9.1
17.31,78.87,4.49
26.92,79.21,4.31
30.4,74.9,4.4
29.66,77.45,3.79
22.97,86.05,2.93
22.15,70.58,7.98
29.39,76.99,4.09
24.04,79.1,4.66
30.73,76.79,3.52
28.43,75.51,4.39
27.72,96.23,2.96
26.57,94.7,1.72
24.05,86.9,2.37
25.88,87.13,2.26
28.16,75.46,4.31
25.68,93.23,1.1
21.43,71.22,7.53
25.3,93.72,1.89
28.68,73.12,4.95
24.88,78.97,4.53
11.83,76.07,6.28
27.22,93.12,1.43
