Latitude,Longitude,PTrain_WSD
24.6,72.72,6.21
10.33,79.38,9.73
23.88,91.25,3.88
10.85,72.47,10.04
27.17,78.03,4.58
13.5,75.1,7.6
23.07,72.63,8.56
19.08,74.8,6.42
26.45,74.62,5.23
20.7,77.03,5.54
20.7,77.07,5.54
9.55,76.42,10.09
18.63,72.87,9.35
27.88,78.07,4.4
22.28,74.4,6.99
25.45,81.73,4.46
27.5,76.58,4.68
30.38,76.77,3.75
23.17,83.25,4.23
11.12,72.73,9.95
20.93,77.78,5.49
21.6,71.22,8.76
31.63,74.87,3.67
14.68,77.62,6.59
20.83,85.1,5.09
11.17,79.0,8.58
13.53,78.5,6.75
19.88,75.33,6.09
19.85,75.4,6.06
22.3,86.93,5.19
12.99,80.2,8.74
10.35,79.4,9.72
30.08,78.72,2.17
18.18,72.99,9.3
22.03,73.67,8.25
12.88,80.15,8.73
17.05,75.78,6.34
24.07,78.06,4.96
16.57,76.47,6.3
24.95,71.53,7.42
27.14,79.28,4.38
23.6,72.95,7.71
22.38,93.15,3.39
16.67,74.9,6.78
24.53,78.72,4.84
26.85,79.08,4.48
29.96,78.61,2.5
11.47,77.88,7.7
24.77,84.18,3.89
26.35,75.03,5.19
21.17,73.18,8.93
8.87,77.5,9.85
12.89,80.11,8.66
17.83,80.48,5.87
17.1,76.22,6.24
17.17,74.53,6.85
10.02,78.78,9.42
28.75,79.72,3.84
25.03,86.9,3.48
26.35,74.12,5.47
28.27,72.85,5.36
21.38,71.05,8.76
18.73,76.38,6.02
20.13,73.03,8.92
22.41,88.3,5.68
26.67,90.6,2.76
16.07,75.95,6.49
25.97,93.5,2.4
14.47,79.72,7.89
21.98,72.9,9.39
23.65,91.62,3.99
24.53,87.57,3.57
27.54,79.6,4.24
18.42,83.9,6.95
29.93,78.53,2.49
16.15,76.38,6.4
25.62,94.53,3.15
23.4,85.52,3.8
8.67,76.77,10.51
12.02,76.3,7.56
25.09,78.86,4.74
26.06,78.21,4.68
29.19,73.21,5.01
25.05,78.86,4.74
13.53,80.07,8.45
28.47,95.52,3.56
15.68,78.97,6.8
17.75,74.05,7.08
9.87,76.35,10.0
24.23,87.28,3.7
24.48,76.33,5.25
28.57,74.51,4.84
23.05,72.97,8.42
24.57,78.88,4.82
17.23,76.48,6.18
11.08,76.58,7.98
12.05,78.78,7.77
19.88,75.33,6.09
27.24,79.89,4.26
9.97,76.25,10.06
33.12,75.32,1.43
16.7,75.25,6.6
22.98,88.37,4.86
22.63,77.98,5.17
27.57,81.6,4.17
18.58,81.23,5.33
21.52,86.93,6.2
13.37,75.45,7.08
25.75,84.17,3.95
25.22,88.78,3.17
25.47,80.37,4.57
12.97,77.58,7.07
12.95,77.63,7.07
33.5,75.17,1.47
23.23,87.07,4.41
23.55,74.45,6.63
15.9,80.47,8.07
18.15,74.58,6.7
28.37,79.4,4.02
21.93,86.77,5.59
25.75,71.38,6.76
22.3,73.25,9.01
22.33,73.27,8.96
33.12,75.32,1.49
19.0,75.72,6.07
15.85,74.53,7.01
15.85,74.62,6.96
15.15,76.85,6.55
24.13,88.27,3.76
21.87,77.93,5.49
25.23,86.95,3.44
27.22,77.5,4.65
30.17,74.58,4.29
21.75,72.18,9.69
19.92,83.18,5.06
25.35,74.63,5.57
18.45,73.4,8.6
23.28,77.35,5.18
20.25,85.83,6.02
23.25,69.67,9.81
31.83,77.17,2.03
17.92,77.53,6.09
16.82,75.72,6.39
28.0,73.3,5.24
31.25,76.67,2.94
