Latitude,Longitude,PTrain_WSD
24.6,72.72,7.69
10.33,79.38,8.72
23.88,91.25,6.5
10.85,72.47,9.21
27.17,78.03,4.26
13.5,75.1,8.83
23.07,72.63,9.76
19.08,74.8,8.06
26.45,74.62,5.67
20.7,77.03,5.82
20.7,77.07,5.78
9.55,76.42,8.78
18.63,72.87,10.17
27.88,78.07,4.23
22.28,74.4,8.68
25.45,81.73,3.91
27.5,76.58,4.55
30.38,76.77,4.62
23.17,83.25,4.91
11.12,72.73,9.23
20.93,77.78,5.19
21.6,71.22,9.91
31.63,74.87,5.01
14.68,77.62,7.0
20.83,85.1,7.33
11.17,79.0,8.21
13.53,78.5,7.44
19.88,75.33,7.38
19.85,75.4,7.32
22.3,86.93,7.56
12.99,80.2,8.82
10.35,79.4,8.72
30.08,78.72,5.42
18.18,72.99,10.11
22.03,73.67,9.57
12.88,80.15,8.8
17.05,75.78,7.25
24.07,78.06,4.8
16.57,76.47,6.79
24.95,71.53,8.38
27.14,79.28,4.09
23.6,72.95,9.08
22.38,93.15,6.07
16.67,74.9,8.2
24.53,78.72,4.38
26.85,79.08,4.1
29.96,78.61,4.89
11.47,77.88,7.41
24.77,84.18,4.56
26.35,75.03,5.58
21.17,73.18,10.03
8.87,77.5,8.48
12.89,80.11,8.76
17.83,80.48,7.39
17.1,76.22,6.83
17.17,74.53,8.48
10.02,78.78,8.48
28.75,79.72,4.34
25.03,86.9,5.17
26.35,74.12,5.95
28.27,72.85,5.26
21.38,71.05,10.0
18.73,76.38,6.42
20.13,73.03,10.04
22.41,88.3,7.96
26.67,90.6,3.9
16.07,75.95,7.39
25.97,93.5,3.67
14.47,79.72,8.64
21.98,72.9,10.34
23.65,91.62,6.68
24.53,87.57,5.7
27.54,79.6,4.12
18.42,83.9,8.59
29.93,78.53,4.95
16.15,76.38,7.02
25.62,94.53,3.66
23.4,85.52,5.9
8.67,76.77,8.75
12.02,76.3,8.27
25.09,78.86,4.26
26.06,78.21,4.35
29.19,73.21,4.91
25.05,78.86,4.26
13.53,80.07,8.76
28.47,95.52,3.8
15.68,78.97,8.05
17.75,74.05,8.9
9.87,76.35,8.82
24.23,87.28,5.97
24.48,76.33,5.91
28.57,74.51,4.78
23.05,72.97,9.69
24.57,78.88,4.31
17.23,76.48,6.56
11.08,76.58,8.32
12.05,78.78,8.01
19.88,75.33,7.38
27.24,79.89,4.09
9.97,76.25,8.89
33.12,75.32,6.02
16.7,75.25,7.83
22.98,88.37,7.31
22.63,77.98,5.04
27.57,81.6,3.91
18.58,81.23,6.98
21.52,86.93,8.31
13.37,75.45,8.43
25.75,84.17,4.09
25.22,88.78,4.89
25.47,80.37,3.96
12.97,77.58,6.93
12.95,77.63,6.92
33.5,75.17,6.12
23.23,87.07,6.88
23.55,74.45,8.15
15.9,80.47,9.0
18.15,74.58,8.3
28.37,79.4,4.23
21.93,86.77,7.9
25.75,71.38,7.62
22.3,73.25,10.12
22.33,73.27,10.09
33.12,75.32,5.96
19.0,75.72,7.12
15.85,74.53,8.72
15.85,74.62,8.64
15.15,76.85,7.01
24.13,88.27,6.07
21.87,77.93,5.07
25.23,86.95,5.01
27.22,77.5,4.38
30.17,74.58,4.69
21.75,72.18,10.52
19.92,83.18,7.06
25.35,74.63,6.49
18.45,73.4,9.75
23.28,77.35,5.43
20.25,85.83,8.11
23.25,69.67,10.58
31.83,77.17,5.31
17.92,77.53,6.04
16.82,75.72,7.34
28.0,73.3,5.18
31.25,76.67,4.91
20.7,83.5,6.75
20.6,79.85,5.19
20.53,76.23,6.49
20.62,72.93,10.35
20.22,75.42,7.27
21.9,84.03,5.95
27.13,94.12,2.95
25.82,86.27,4.47
27.05,79.85,4.07
27.78,74.57,5.0
13.68,77.07,7.05
28.48,76.18,4.49
22.92,69.17,11.02
27.52,76.77,4.5
23.22,88.88,6.84
16.9,74.37,8.68
24.08,85.87,5.46
30.0,78.59,4.97
23.73,86.32,6.06
27.0,79.65,4.07
23.32,88.65,6.81
23.95,92.08,6.12
25.58,86.27,4.64
27.58,81.6,3.91
30.37,77.87,4.66
22.23,85.32,6.65
24.87,86.45,5.19
33.22,74.09,5.49
26.3,84.78,4.0
22.87,88.27,7.47
24.78,79.02,4.24
26.22,84.38,3.97
25.11,75.63,6.05
22.97,75.2,7.57
27.9,79.0,4.16
19.3,75.47,7.39
17.31,78.48,6.89
22.33,88.3,8.03
26.25,89.6,4.25
30.67,76.97,4.71
34.03,74.94,6.15
26.97,77.08,4.53
29.89,78.61,4.69
25.42,86.32,4.76
15.25,79.47,8.55
33.66,74.01,5.52
27.82,93.9,2.82
19.73,85.22,8.46
34.05,74.75,6.14
26.13,75.87,5.34
26.33,73.15,6.26
23.98,85.78,5.52
19.48,83.98,7.89
28.46,75.64,4.58
25.62,85.15,4.38
22.63,88.3,7.72
23.8,86.35,6.01
23.28,85.82,6.19
21.49,70.07,10.58
30.04,76.53,4.55
22.65,79.15,4.36
26.72,88.32,3.81
20.67,86.12,7.87
22.73,88.66,7.44
25.77,87.1,4.58
21.7,87.07,8.23
26.72,79.9,4.04
25.5,87.37,4.8
24.2,78.22,4.68
23.1,80.05,4.2
24.3,85.42,5.17
27.48,82.78,3.75
25.22,84.42,4.38
23.05,75.37,7.38
26.32,91.0,4.11
26.32,82.33,3.83
23.83,84.12,5.0
23.73,87.02,6.4
22.35,87.37,7.68
29.73,76.75,4.48
