Latitude,Longitude,PTrain_WSD
24.6,72.72,8.79
10.33,79.38,10.58
23.88,91.25,7.2
10.85,72.47,10.35
27.17,78.03,6.11
13.5,75.1,8.24
23.07,72.63,11.1
19.08,74.8,7.62
26.45,74.62,6.69
20.7,77.03,6.6
20.7,77.07,6.62
9.55,76.42,10.43
18.63,72.87,11.66
27.88,78.07,5.83
22.28,74.4,8.88
25.45,81.73,6.3
27.5,76.58,6.08
30.38,76.77,4.52
23.17,83.25,5.79
11.12,72.73,10.34
20.93,77.78,6.79
21.6,71.22,10.97
31.63,74.87,4.13
14.68,77.62,6.64
20.83,85.1,7.39
11.17,79.0,8.8
13.53,78.5,6.87
19.88,75.33,7.17
19.85,75.4,7.13
22.3,86.93,8.34
12.99,80.2,10.16
10.35,79.4,10.58
30.08,78.72,2.65
18.18,72.99,11.49
22.03,73.67,10.6
12.88,80.15,10.09
17.05,75.78,6.83
24.07,78.06,6.47
16.57,76.47,6.67
24.95,71.53,9.11
27.14,79.28,5.99
23.6,72.95,9.83
22.38,93.15,6.7
16.67,74.9,7.45
24.53,78.72,6.47
26.85,79.08,6.13
29.96,78.61,2.89
11.47,77.88,7.31
24.77,84.18,5.52
26.35,75.03,6.61
21.17,73.18,11.52
8.87,77.5,9.91
12.89,80.11,9.96
17.83,80.48,6.88
17.1,76.22,6.67
17.17,74.53,7.8
10.02,78.78,9.79
28.75,79.72,5.05
25.03,86.9,5.4
26.35,74.12,6.87
28.27,72.85,6.64
21.38,71.05,11.05
18.73,76.38,6.88
20.13,73.03,11.33
22.41,88.3,9.64
26.67,90.6,4.79
16.07,75.95,6.83
25.97,93.5,4.61
14.47,79.72,9.17
21.98,72.9,12.42
23.65,91.62,7.53
24.53,87.57,5.75
27.54,79.6,5.79
18.42,83.9,9.82
29.93,78.53,2.91
16.15,76.38,6.7
25.62,94.53,5.47
23.4,85.52,5.79
8.67,76.77,10.84
12.02,76.3,7.64
25.09,78.86,6.4
26.06,78.21,6.26
29.19,73.21,6.18
25.05,78.86,6.4
13.53,80.07,9.82
28.47,95.52,5.12
15.68,78.97,7.58
17.75,74.05,8.43
9.87,76.35,10.4
24.23,87.28,5.95
24.48,76.33,6.62
28.57,74.51,6.09
23.05,72.97,10.95
24.57,78.88,6.48
17.23,76.48,6.65
11.08,76.58,7.97
12.05,78.78,7.87
19.88,75.33,7.16
27.24,79.89,5.87
9.97,76.25,10.55
33.12,75.32,1.58
16.7,75.25,7.12
22.98,88.37,8.19
22.63,77.98,6.59
27.57,81.6,5.81
18.58,81.23,6.89
21.52,86.93,10.08
13.37,75.45,7.53
25.75,84.17,5.68
25.22,88.78,5.23
25.47,80.37,6.48
12.97,77.58,7.08
12.95,77.63,7.07
33.5,75.17,1.66
23.23,87.07,7.12
23.55,74.45,8.37
15.9,80.47,10.2
18.15,74.58,7.72
28.37,79.4,5.34
21.93,86.77,9.0
25.75,71.38,8.31
22.3,73.25,11.91
22.33,73.27,11.84
33.12,75.32,1.59
19.0,75.72,6.9
15.85,74.53,7.97
15.85,74.62,7.86
15.15,76.85,6.67
24.13,88.27,6.22
21.87,77.93,6.97
25.23,86.95,5.34
27.22,77.5,6.15
30.17,74.58,5.19
21.75,72.18,12.76
19.92,83.18,6.68
25.35,74.63,7.07
18.45,73.4,10.48
23.28,77.35,6.59
20.25,85.83,9.14
23.25,69.67,12.75
31.83,77.17,2.05
17.92,77.53,6.9
16.82,75.72,6.88
28.0,73.3,6.55
31.25,76.67,3.23
20.7,83.5,6.43
20.6,79.85,6.35
20.53,76.23,6.92
20.62,72.93,12.26
20.22,75.42,7.19
21.9,84.03,5.82
27.13,94.12,5.05
25.82,86.27,5.3
27.05,79.85,5.93
27.78,74.57,6.31
13.68,77.07,6.87
28.48,76.18,5.83
22.92,69.17,13.87
27.52,76.77,6.08
23.22,88.88,7.4
16.9,74.37,8.04
24.08,85.87,5.45
30.0,78.59,2.82
23.73,86.32,5.98
27.0,79.65,6.0
23.32,88.65,7.32
23.95,92.08,6.56
25.58,86.27,5.31
27.58,81.6,5.8
30.37,77.87,3.65
22.23,85.32,6.42
24.87,86.45,5.36
33.22,74.09,2.44
26.3,84.78,5.58
22.87,88.27,8.51
24.78,79.02,6.46
26.22,84.38,5.67
25.11,75.63,6.75
22.97,75.2,7.64
27.9,79.0,5.71
19.3,75.47,7.05
17.31,78.48,6.52
22.33,88.3,9.82
26.25,89.6,4.97
30.67,76.97,3.94
34.03,74.94,1.7
26.97,77.08,6.16
29.89,78.61,3.19
25.42,86.32,5.32
15.25,79.47,8.76
33.66,74.01,2.35
27.82,93.9,4.89
19.73,85.22,9.91
34.05,74.75,1.68
26.13,75.87,6.49
26.33,73.15,7.18
23.98,85.78,5.49
19.48,83.98,8.05
28.46,75.64,5.89
25.62,85.15,5.44
22.63,88.3,9.08
23.8,86.35,5.91
23.28,85.82,6.04
21.49,70.07,12.53
30.04,76.53,4.87
22.65,79.15,7.04
26.72,88.32,5.02
20.67,86.12,8.61
22.73,88.66,8.51
25.77,87.1,5.23
21.7,87.07,9.95
26.72,79.9,6.08
25.5,87.37,5.26
24.2,78.22,6.47
23.1,80.05,6.76
24.3,85.42,5.35
27.48,82.78,5.91
25.22,84.42,5.54
23.05,75.37,7.46
26.32,91.0,4.86
26.32,82.33,6.13
23.83,84.12,5.47
23.73,87.02,6.45
22.35,87.37,8.73
29.73,76.75,5.05
26.13,87.47,5.14
23.6,87.53,6.96
16.07,75.37,7.16
25.1,76.4,6.53
34.25,74.55,1.6
26.65,85.58,5.46
14.48,79.8,9.42
21.77,72.15,11.97
30.61,76.1,4.56
34.38,73.77,1.65
29.07,76.31,5.55
25.18,85.52,5.38
19.57,74.65,7.8
23.3,81.67,6.21
22.37,87.42,8.84
23.17,79.45,6.95
25.15,84.62,5.5
32.62,74.82,3.54
33.21,74.43,2.1
26.43,70.58,8.5
13.0,80.27,10.33
22.22,88.1,10.33
25.05,83.62,5.72
21.32,74.1,9.22
22.01,88.33,9.99
24.77,88.03,5.6
20.48,86.23,9.22
30.52,76.84,4.37
29.89,78.66,2.89
24.67,79.16,6.49
33.68,75.08,1.72
