Latitude,Longitude,PTrain_WSD
24.6,72.72,11.94
10.33,79.38,11.21
23.88,91.25,7.77
10.85,72.47,10.81
27.17,78.03,7.39
13.5,75.1,9.41
23.07,72.63,13.48
19.08,74.8,10.01
26.45,74.62,9.23
20.7,77.03,8.55
20.7,77.07,8.57
9.55,76.42,11.02
18.63,72.87,12.86
27.88,78.07,7.04
22.28,74.4,11.49
25.45,81.73,7.14
27.5,76.58,7.7
30.38,76.77,5.79
23.17,83.25,7.49
11.12,72.73,10.81
20.93,77.78,8.55
21.6,71.22,13.22
31.63,74.87,5.48
14.68,77.62,7.91
20.83,85.1,8.75
11.17,79.0,9.56
13.53,78.5,8.21
19.88,75.33,9.64
19.85,75.4,9.59
22.3,86.93,9.39
12.99,80.2,10.81
10.35,79.4,11.2
30.08,78.72,3.43
18.18,72.99,12.62
22.03,73.67,12.76
12.88,80.15,10.75
17.05,75.78,8.75
24.07,78.06,8.31
16.57,76.47,8.36
24.95,71.53,12.01
27.14,79.28,7.04
23.6,72.95,12.53
22.38,93.15,7.14
16.67,74.9,9.31
24.53,78.72,8.02
26.85,79.08,7.21
29.96,78.61,3.95
11.47,77.88,8.1
24.77,84.18,6.64
26.35,75.03,9.03
21.17,73.18,13.33
8.87,77.5,10.56
12.89,80.11,10.64
17.83,80.48,8.43
17.1,76.22,8.45
17.17,74.53,9.75
10.02,78.78,10.47
28.75,79.72,6.1
25.03,86.9,6.45
26.35,74.12,9.44
28.27,72.85,8.7
21.38,71.05,13.3
18.73,76.38,9.02
20.13,73.03,12.99
22.41,88.3,10.32
26.67,90.6,4.87
16.07,75.95,8.58
25.97,93.5,4.34
14.47,79.72,10.04
21.98,72.9,14.25
23.65,91.62,8.06
24.53,87.57,6.87
27.54,79.6,6.79
18.42,83.9,10.67
29.93,78.53,3.93
16.15,76.38,8.39
25.62,94.53,4.97
23.4,85.52,7.5
8.67,76.77,11.44
12.02,76.3,8.72
25.09,78.86,7.8
26.06,78.21,7.7
29.19,73.21,7.92
25.05,78.86,7.81
13.53,80.07,10.53
28.47,95.52,3.74
15.68,78.97,8.9
17.75,74.05,10.42
9.87,76.35,10.98
24.23,87.28,7.19
24.48,76.33,9.02
28.57,74.51,7.82
23.05,72.97,13.34
24.57,78.88,7.95
17.23,76.48,8.37
11.08,76.58,8.9
12.05,78.78,8.81
19.88,75.33,9.63
27.24,79.89,6.84
9.97,76.25,11.11
33.12,75.32,1.95
16.7,75.25,9.0
22.98,88.37,9.08
22.63,77.98,8.42
27.57,81.6,6.56
18.58,81.23,8.93
21.52,86.93,10.82
13.37,75.45,8.89
25.75,84.17,6.47
25.22,88.78,5.94
25.47,80.37,7.39
12.97,77.58,8.36
12.95,77.63,8.32
33.5,75.17,1.9
23.23,87.07,8.36
23.55,74.45,11.13
15.9,80.47,10.96
18.15,74.58,9.85
28.37,79.4,6.4
21.93,86.77,9.98
25.75,71.38,11.39
22.3,73.25,13.9
22.33,73.27,13.86
33.12,75.32,2.03
19.0,75.72,9.16
15.85,74.53,9.66
15.85,74.62,9.58
15.15,76.85,8.1
24.13,88.27,7.23
21.87,77.93,8.97
25.23,86.95,6.31
27.22,77.5,7.54
30.17,74.58,6.65
21.75,72.18,14.52
19.92,83.18,8.33
25.35,74.63,9.89
18.45,73.4,11.92
23.28,77.35,8.84
20.25,85.83,10.08
23.25,69.67,15.15
31.83,77.17,3.01
17.92,77.53,8.77
16.82,75.72,8.8
28.0,73.3,8.61
31.25,76.67,4.5
20.7,83.5,8.06
20.6,79.85,7.87
20.53,76.23,9.37
20.62,72.93,13.8
20.22,75.42,9.75
21.9,84.03,7.44
27.13,94.12,4.1
25.82,86.27,6.09
27.05,79.85,6.92
27.78,74.57,8.31
13.68,77.07,8.21
28.48,76.18,7.31
22.92,69.17,15.94
27.52,76.77,7.63
23.22,88.88,8.29
16.9,74.37,9.87
24.08,85.87,6.95
30.0,78.59,3.82
23.73,86.32,7.37
27.0,79.65,7.0
23.32,88.65,8.25
23.95,92.08,7.11
25.58,86.27,6.18
27.58,81.6,6.55
30.37,77.87,4.9
22.23,85.32,8.06
24.87,86.45,6.55
33.22,74.09,3.56
26.3,84.78,6.24
22.87,88.27,9.38
24.78,79.02,7.84
26.22,84.38,6.35
25.11,75.63,9.36
22.97,75.2,10.5
27.9,79.0,6.78
19.3,75.47,9.35
17.31,78.48,8.36
22.33,88.3,10.47
26.25,89.6,5.3
30.67,76.97,5.23
34.03,74.94,1.9
26.97,77.08,7.77
29.89,78.61,4.37
25.42,86.32,6.25
15.25,79.47,9.79
33.66,74.01,3.4
27.82,93.9,3.94
19.73,85.22,10.72
34.05,74.75,1.9
26.13,75.87,8.67
26.33,73.15,9.81
23.98,85.78,7.04
19.48,83.98,9.4
28.46,75.64,7.49
25.62,85.15,6.3
22.63,88.3,9.85
23.8,86.35,7.33
23.28,85.82,7.56
21.49,70.07,14.44
30.04,76.53,6.16
22.65,79.15,8.58
26.72,88.32,5.32
20.67,86.12,9.68
22.73,88.66,9.31
25.77,87.1,5.98
21.7,87.07,10.7
26.72,79.9,7.05
25.5,87.37,6.09
24.2,78.22,8.24
23.1,80.05,8.08
24.3,85.42,6.83
27.48,82.78,6.47
25.22,84.42,6.5
23.05,75.37,10.29
26.32,91.0,4.97
26.32,82.33,6.84
23.83,84.12,6.99
23.73,87.02,7.73
22.35,87.37,9.67
29.73,76.75,6.33
26.13,87.47,5.74
23.6,87.53,8.1
16.07,75.37,8.98
25.1,76.4,8.77
34.25,74.55,1.9
26.65,85.58,6.0
14.48,79.8,10.24
21.77,72.15,13.92
30.61,76.1,5.87
34.38,73.77,2.17
29.07,76.31,6.92
25.18,85.52,6.4
19.57,74.65,10.18
23.3,81.67,7.67
22.37,87.42,9.75
23.17,79.45,8.17
25.15,84.62,6.48
32.62,74.82,4.8
33.21,74.43,3.1
26.43,70.58,11.63
13.0,80.27,10.95
22.22,88.1,10.91
25.05,83.62,6.69
21.32,74.1,11.55
22.01,88.33,10.59
24.77,88.03,6.55
20.48,86.23,10.11
30.52,76.84,5.64
29.89,78.66,3.87
24.67,79.16,7.84
33.68,75.08,1.9
21.93,69.77,14.53
25.58,72.67,10.56
22.87,78.22,8.33
29.82,78.72,4.33
26.25,78.25,7.64
30.56,76.21,5.87
24.4,83.58,6.84
30.27,76.03,6.14
25.65,87.13,6.04
22.95,88.55,8.99
32.94,74.39,4.79
24.07,79.08,8.09
24.18,72.03,12.12
20.45,72.88,13.71
26.8,79.25,7.19
21.67,87.35,10.82
25.7,92.02,5.35
25.28,74.67,9.89
30.19,76.63,6.02
27.14,79.75,6.92
20.62,83.35,8.02
20.9,77.6,8.45
24.27,73.38,11.59
25.55,84.87,6.36
26.05,77.37,8.0
27.07,88.2,5.42
11.68,77.13,8.31
31.28,76.25,4.76
26.7,88.48,5.29
20.43,85.98,9.86
22.13,84.8,7.74
22.68,84.55,7.5
24.63,93.77,5.15
26.05,86.98,5.87
34.4,74.32,1.9
19.02,72.85,13.02
27.25,92.4,5.61
14.6,76.68,8.22
17.89,78.46,8.31
34.01,74.64,1.77
26.82,94.83,3.95
27.87,96.37,3.79
32.65,74.82,4.77
24.1,92.6,6.35
34.48,74.24,1.73
17.33,78.41,8.34
23.35,92.83,6.8
27.35,73.1,9.13
30.19,76.51,6.06
22.36,88.12,10.59
34.53,76.2,2.88
34.38,74.99,1.89
24.02,87.15,7.41
34.28,74.44,1.9
33.6,75.02,1.8
28.26,75.37,7.7
22.25,85.8,8.43
26.52,71.81,10.49
26.77,92.6,4.33
25.5,83.85,6.58
13.62,76.42,8.35
22.25,88.67,10.38
9.17,92.83,12.85
22.55,85.82,8.21
24.92,75.58,9.42
22.03,82.7,7.36
20.78,86.73,10.73
19.97,79.3,7.9
26.2,92.52,4.6
25.78,84.73,6.34
13.0,80.18,10.76
13.07,80.25,10.89
25.25,91.73,6.26
22.1,79.0,8.91
13.25,75.75,8.68
14.23,76.43,8.42
24.88,74.63,10.17
24.65,83.1,6.95
28.25,74.92,7.87
11.0,76.97,8.77
11.03,77.05,8.69
21.78,87.75,10.75
26.33,89.47,5.28
11.77,79.77,10.97
14.48,78.83,8.71
20.47,85.93,9.75
20.22,73.05,13.03
22.52,88.78,9.74
25.68,85.35,6.26
26.84,79.53,7.1
11.15,75.82,10.93
17.31,78.87,8.29
26.92,79.21,7.15
30.4,74.9,6.42
29.66,77.45,6.12
22.97,86.05,7.95
22.15,70.58,13.97
29.39,76.99,6.51
24.04,79.1,8.1
30.73,76.79,5.44
28.43,75.51,7.56
27.72,96.23,4.19
26.57,94.7,3.98
24.05,86.9,7.31
25.88,87.13,5.92
28.16,75.46,7.71
25.68,93.23,4.56
21.43,71.22,13.41
25.3,93.72,5.43
28.68,73.12,8.31
24.88,78.97,7.82
11.83,76.07,8.94
27.22,93.12,4.28
28.78,96.27,3.41
22.22,78.43,9.06
25.68,94.3,5.35
24.47,86.25,6.84
29.98,77.1,6.02
24.79,79.08,7.83
24.52,84.95,6.65
20.68,86.85,10.83
28.75,73.99,7.88
25.07,75.5,9.49
26.22,87.02,5.8
28.67,96.15,3.4
11.4,79.7,10.96
17.6,78.75,8.32
21.52,73.65,12.53
16.45,74.33,9.87
25.17,82.53,6.96
15.58,79.88,10.38
26.63,94.92,3.97
19.07,79.07,7.83
22.12,77.5,8.87
24.05,86.15,7.09
23.18,76.97,8.98
27.93,79.28,6.68
17.56,78.22,8.3
10.97,77.28,8.58
17.29,78.03,8.48
27.12,79.41,7.01
10.7,76.75,9.57
17.23,79.13,8.37
23.67,76.23,9.35
24.45,85.17,6.68
18.72,72.9,12.76
12.5,76.3,8.52
26.5,75.67,8.59
21.1,85.33,8.43
21.7,79.68,8.24
22.12,76.9,8.73
30.69,76.09,5.82
26.72,94.23,4.06
25.27,87.22,6.26
13.63,74.7,11.01
20.5,85.83,9.61
19.97,72.72,13.56
32.53,75.97,2.04
24.05,84.07,6.87
23.83,79.45,8.02
26.17,85.9,6.03
27.05,88.27,6.41
25.67,78.47,7.74
24.2,72.2,12.08
30.32,78.03,4.63
24.92,84.18,6.61
16.38,73.35,11.78
23.78,86.43,7.38
22.6,75.3,10.42
12.13,78.03,8.09
32.27,76.38,2.71
26.67,77.83,7.64
26.02,89.98,5.37
26.15,89.92,5.3
22.18,88.2,10.9
27.48,95.02,4.12
21.83,87.78,10.74
20.72,70.92,14.3
22.83,74.27,11.73
17.72,83.3,10.83
24.27,87.25,7.14
23.83,73.67,11.7
21.18,81.28,7.65
23.48,87.32,8.2
22.37,69.08,15.68
26.12,92.87,4.52
29.9,78.55,4.27
32.86,74.9,4.31
17.91,78.01,8.34
24.48,71.73,12.25
30.27,80.52,4.06
32.58,74.93,4.76
26.91,79.6,7.05
26.1,90.78,5.15
24.93,92.77,5.4
24.03,84.07,6.86
20.42,72.85,13.75
26.31,79.3,7.35
30.22,74.17,6.77
34.17,74.9,1.85
32.65,74.9,4.66
24.73,79.21,7.81
26.63,92.8,4.38
34.33,74.38,1.9
24.02,85.55,7.11
28.45,72.5,8.74
25.33,88.32,5.98
30.75,76.15,5.75
27.9,96.3,4.21
28.02,96.23,3.74
25.75,75.38,9.14
18.25,77.1,8.8
25.74,79.16,7.55
23.13,78.68,8.24
27.98,79.42,6.62
26.17,85.0,6.22
29.73,78.47,5.57
23.43,73.75,12.09
20.03,75.03,9.85
33.13,75.98,1.8
29.86,78.64,4.09
26.92,71.37,10.58
30.66,76.83,5.54
24.6,92.83,5.66
33.27,74.55,3.0
17.65,77.47,8.59
30.58,76.82,5.61
25.98,87.13,5.88
24.42,85.98,6.82
28.93,76.17,7.07
33.53,74.22,2.21
29.93,78.74,4.51
24.37,92.17,6.48
26.7,77.9,7.6
29.91,78.7,4.36
25.6,75.61,9.04
21.48,85.82,8.91
33.58,74.09,2.46
26.47,92.47,4.51
19.3,75.67,9.16
22.98,71.47,13.4
22.57,70.42,15.11
23.57,76.78,9.02
32.74,74.81,4.74
24.15,78.23,8.25
28.39,75.63,7.52
28.35,75.64,7.55
16.22,73.83,10.91
27.13,94.77,4.09
26.17,93.57,4.44
17.94,78.68,8.35
20.17,84.85,9.48
27.1,79.95,6.91
26.35,89.9,5.18
27.27,93.07,4.22
32.56,74.92,4.77
24.53,84.92,6.65
12.17,76.6,8.47
15.68,74.97,9.27
34.27,74.47,1.9
34.45,74.41,1.76
34.39,73.79,2.25
21.07,83.2,7.73
18.02,78.9,8.29
34.37,73.98,2.65
23.75,86.17,7.19
16.05,73.92,10.81
23.42,91.67,8.5
29.08,74.68,7.46
28.87,75.45,7.34
25.32,86.02,6.32
25.55,84.15,6.5
23.98,86.02,7.08
22.97,74.12,11.92
24.76,79.05,7.84
23.13,84.85,7.52
20.0,76.3,9.01
27.5,95.75,4.19
16.73,76.92,8.2
21.7,74.03,11.85
26.28,79.29,7.36
25.93,90.77,5.25
27.79,79.31,6.76
29.28,78.12,6.22
25.97,85.12,6.23
28.19,74.69,7.98
26.13,89.47,5.38
10.03,76.3,11.05
11.22,76.15,10.3
13.07,80.26,10.89
17.58,78.54,8.42
13.25,80.33,10.91
13.13,80.25,10.84
8.18,77.63,11.65
26.75,82.08,6.78
25.93,80.83,7.2
30.92,74.67,6.09
26.3,87.27,5.72
22.37,88.78,10.07
16.28,78.68,8.55
30.72,76.77,5.47
26.35,79.23,7.35
25.77,75.63,8.97
24.18,92.02,6.88
11.18,75.85,10.86
17.84,78.12,8.32
15.42,75.63,8.83
27.33,88.62,5.98
16.53,80.8,10.1
24.75,84.95,6.56
25.4,83.55,6.66
22.77,83.97,7.49
27.13,81.97,6.68
21.47,80.2,7.95
19.27,84.88,11.06
26.75,83.37,6.52
17.35,76.85,8.41
34.05,74.4,1.91
24.65,77.32,8.58
28.42,77.0,7.07
26.1,91.58,4.94
26.23,78.25,7.64
15.42,75.62,8.84
27.23,79.28,7.0
33.89,74.29,1.78
24.05,76.45,9.1
25.58,76.3,8.64
15.73,75.98,8.64
16.27,76.83,8.21
23.52,74.0,11.7
20.1,84.57,9.43
9.92,77.53,8.83
34.16,74.57,1.91
30.65,78.85,2.98
27.85,78.47,6.94
14.55,78.73,8.62
29.9,78.68,3.98
26.01,79.38,7.42
32.79,74.77,4.72
29.97,78.53,4.27
26.7,94.12,4.08
17.61,78.47,8.41
27.72,79.65,6.68
22.77,87.8,9.69
23.28,84.55,7.44
20.88,73.72,12.08
28.3,75.71,7.55
22.9,88.16,9.39
20.13,78.32,8.32
29.85,77.05,6.12
25.22,87.17,6.3
23.95,87.1,7.48
22.7,70.65,14.79
27.22,73.47,9.1
30.72,75.98,5.82
32.98,74.41,4.49
28.36,74.9,7.81
27.7,79.57,6.72
20.67,79.13,8.13
22.25,88.5,10.32
33.26,74.14,2.95
27.32,84.32,6.14
23.27,87.97,8.71
31.52,76.02,5.08
27.98,72.25,9.17
24.9,72.83,11.15
20.72,70.99,14.33
34.08,74.57,1.89
14.97,78.25,8.24
34.1,74.58,1.91
21.92,85.37,8.32
22.02,69.92,14.36
22.26,88.97,10.26
22.86,88.04,9.52
16.75,77.3,8.18
25.73,75.54,9.05
19.92,77.05,8.78
25.93,85.33,6.2
18.17,73.3,12.16
21.33,69.9,14.88
16.72,75.43,8.96
17.21,78.9,8.31
14.83,76.63,8.3
25.96,75.59,8.9
12.84,80.06,10.55
25.6,85.2,6.3
18.98,84.02,9.71
20.37,83.37,8.2
17.63,80.93,8.81
22.55,72.22,14.45
20.28,84.7,9.19
14.98,74.92,9.55
15.17,77.38,8.0
16.28,76.62,8.28
24.67,84.77,6.6
30.64,76.81,5.57
30.1,79.97,2.91
28.07,94.57,3.75
24.67,75.6,9.59
18.02,79.57,8.09
27.38,80.17,6.69
17.82,73.1,12.42
13.0,76.15,8.51
28.08,96.5,3.7
23.98,85.37,7.18
29.17,75.73,7.03
14.28,74.45,11.09
22.77,77.77,8.44
10.58,92.55,12.12
17.45,78.47,8.37
9.5,76.63,10.57
15.8,76.98,7.99
15.02,75.95,8.6
30.03,77.89,8.58
28.18,75.39,7.74
34.28,74.2,1.69
13.0,75.7,8.71
33.39,74.23,2.4
27.65,79.95,6.63
15.43,75.8,8.72
26.86,79.06,7.23
31.03,78.73,2.77
22.57,75.82,9.9
34.53,75.13,2.33
24.6,87.08,6.79
17.55,75.9,8.67
22.62,86.13,8.38
23.67,84.95,7.2
26.39,79.48,7.3
26.53,75.87,8.49
13.95,76.62,8.26
29.93,78.52,4.3
26.0,92.87,4.58
14.03,75.68,8.88
13.54,77.3,8.18
27.57,93.85,4.53
12.82,77.03,8.19
13.23,77.12,8.27
16.47,76.53,8.29
34.3,74.25,1.73
28.78,95.88,3.36
24.53,84.02,6.73
30.17,76.54,6.07
27.68,76.45,7.61
25.05,84.63,6.51
27.6,78.05,7.18
26.27,91.37,4.91
23.83,73.03,12.18
24.77,93.9,5.01
22.72,75.8,9.92
17.69,78.87,8.3
27.16,79.27,7.03
29.84,78.75,3.76
24.68,74.13,10.71
27.68,74.07,8.56
11.57,75.6,10.91
11.77,79.38,10.17
27.24,79.44,6.95
34.65,76.02,3.55
30.1,77.75,5.66
