Latitude,Longitude,PTrain_WSD
24.6,72.72,15.03
10.33,79.38,13.69
23.88,91.25,5.83
10.85,72.47,14.95
27.17,78.03,9.71
13.5,75.1,11.03
23.07,72.63,16.19
19.08,74.8,12.29
26.45,74.62,11.77
20.7,77.03,11.71
20.7,77.07,11.76
9.55,76.42,14.96
18.63,72.87,14.89
27.88,78.07,9.02
22.28,74.4,13.52
25.45,81.73,9.38
27.5,76.58,9.87
30.38,76.77,6.51
23.17,83.25,7.97
11.12,72.73,14.7
20.93,77.78,11.99
21.6,71.22,16.21
31.63,74.87,6.17
14.68,77.62,10.09
20.83,85.1,7.33
11.17,79.0,11.5
13.53,78.5,9.97
19.88,75.33,12.29
19.85,75.4,12.27
22.3,86.93,7.99
12.99,80.2,11.44
10.35,79.4,13.68
30.08,78.72,1.99
18.18,72.99,14.59
22.03,73.67,15.03
12.88,80.15,11.43
17.05,75.78,11.49
24.07,78.06,11.08
16.57,76.47,11.27
24.95,71.53,15.7
27.14,79.28,9.24
23.6,72.95,15.24
22.38,93.15,2.96
16.67,74.9,11.37
24.53,78.72,10.67
26.85,79.08,9.57
29.96,78.61,2.13
11.47,77.88,10.7
24.77,84.18,7.25
26.35,75.03,11.63
21.17,73.18,15.6
8.87,77.5,14.54
12.89,80.11,11.3
17.83,80.48,8.49
17.1,76.22,11.36
17.17,74.53,11.69
10.02,78.78,13.24
28.75,79.72,7.52
25.03,86.9,5.68
26.35,74.12,12.34
28.27,72.85,11.71
21.38,71.05,16.2
18.73,76.38,12.47
20.13,73.03,15.07
22.41,88.3,8.99
26.67,90.6,3.45
16.07,75.95,11.16
25.97,93.5,2.22
14.47,79.72,10.21
21.98,72.9,16.71
23.65,91.62,5.93
24.53,87.57,5.6
27.54,79.6,8.83
18.42,83.9,9.46
29.93,78.53,2.11
16.15,76.38,11.16
25.62,94.53,1.92
23.4,85.52,6.05
8.67,76.77,16.07
12.02,76.3,10.93
25.09,78.86,10.38
26.06,78.21,10.17
29.19,73.21,10.41
25.05,78.86,10.4
13.53,80.07,10.97
28.47,95.52,1.28
15.68,78.97,9.21
17.75,74.05,12.15
9.87,76.35,14.68
24.23,87.28,5.79
24.48,76.33,11.66
28.57,74.51,10.06
23.05,72.97,15.9
24.57,78.88,10.62
17.23,76.48,11.45
11.08,76.58,11.31
12.05,78.78,10.21
19.88,75.33,12.26
27.24,79.89,8.96
9.97,76.25,14.75
33.12,75.32,-0.45
16.7,75.25,11.3
22.98,88.37,7.59
22.63,77.98,11.5
