Latitude,Longitude,PTrain_WSD
24.6,72.72,14.99
10.33,79.38,12.21
23.88,91.25,4.43
10.85,72.47,14.7
27.17,78.03,8.42
13.5,75.1,10.9
23.07,72.63,15.73
19.08,74.8,12.3
26.45,74.62,10.09
20.7,77.03,9.96
20.7,77.07,10.09
9.55,76.42,14.02
18.63,72.87,15.75
27.88,78.07,8.02
22.28,74.4,12.89
25.45,81.73,8.04
27.5,76.58,8.3
30.38,76.77,6.5
23.17,83.25,6.54
11.12,72.73,14.37
20.93,77.78,10.34
21.6,71.22,16.57
31.63,74.87,6.82
14.68,77.62,8.04
20.83,85.1,5.27
11.17,79.0,9.11
13.53,78.5,8.67
19.88,75.33,11.91
19.85,75.4,11.86
22.3,86.93,6.48
12.99,80.2,9.62
10.35,79.4,12.17
30.08,78.72,-2.82
18.18,72.99,15.34
22.03,73.67,14.67
12.88,80.15,9.58
17.05,75.78,10.77
24.07,78.06,9.5
16.57,76.47,10.07
24.95,71.53,13.57
27.14,79.28,8.31
23.6,72.95,14.19
22.38,93.15,0.74
16.67,74.9,11.06
24.53,78.72,9.07
26.85,79.08,8.45
29.96,78.61,-0.92
11.47,77.88,8.46
24.77,84.18,5.38
26.35,75.03,9.83
21.17,73.18,15.94
8.87,77.5,13.68
12.89,80.11,9.41
17.83,80.48,6.01
17.1,76.22,10.14
17.17,74.53,11.73
10.02,78.78,11.57
28.75,79.72,7.68
25.03,86.9,3.63
26.35,74.12,10.38
28.27,72.85,9.55
21.38,71.05,16.94
18.73,76.38,11.93
20.13,73.03,15.71
22.41,88.3,8.25
26.67,90.6,2.87
16.07,75.95,10.38
25.97,93.5,2.02
14.47,79.72,8.22
21.98,72.9,17.26
23.65,91.62,4.74
24.53,87.57,3.52
27.54,79.6,8.23
18.42,83.9,8.19
29.93,78.53,-1.32
16.15,76.38,10.11
25.62,94.53,1.93
23.4,85.52,4.34
8.67,76.77,15.52
12.02,76.3,10.38
25.09,78.86,8.77
26.06,78.21,8.61
29.19,73.21,8.7
25.05,78.86,8.78
13.53,80.07,9.04
28.47,95.52,0.92
15.68,78.97,7.13
17.75,74.05,12.57
9.87,76.35,13.68
24.23,87.28,3.73
24.48,76.33,9.94
28.57,74.51,8.38
23.05,72.97,15.42
24.57,78.88,8.98
17.23,76.48,10.09
11.08,76.58,10.75
12.05,78.78,8.16
19.88,75.33,11.85
27.24,79.89,8.31
9.97,76.25,13.87
33.12,75.32,-2.79
16.7,75.25,10.75
22.98,88.37,6.15
22.63,77.98,9.8
27.57,81.6,8.07
18.58,81.23,8.16
21.52,86.93,8.92
13.37,75.45,10.83
25.75,84.17,6.09
25.22,88.78,2.99
