Latitude,Longitude,PTrain_WSD
24.6,72.72,10.99
10.33,79.38,10.82
23.88,91.25,4.91
10.85,72.47,13.08
27.17,78.03,6.37
13.5,75.1,11.98
23.07,72.63,13.08
19.08,74.8,11.44
26.45,74.62,8.25
20.7,77.03,9.26
20.7,77.07,9.27
9.55,76.42,11.73
18.63,72.87,13.74
27.88,78.07,6.08
22.28,74.4,11.51
25.45,81.73,6.1
27.5,76.58,6.64
30.38,76.77,5.31
23.17,83.25,6.66
11.12,72.73,13.01
20.93,77.78,9.02
21.6,71.22,13.7
31.63,74.87,5.16
14.68,77.62,10.23
20.83,85.1,7.25
11.17,79.0,10.35
13.53,78.5,10.49
19.88,75.33,10.81
19.85,75.4,10.76
22.3,86.93,6.99
12.99,80.2,10.43
10.35,79.4,10.81
30.08,78.72,4.9
18.18,72.99,13.64
22.03,73.67,12.67
12.88,80.15,10.42
17.05,75.78,10.94
24.07,78.06,7.84
16.57,76.47,10.58
24.95,71.53,11.54
27.14,79.28,6.17
23.6,72.95,12.16
22.38,93.15,4.26
16.67,74.9,11.59
24.53,78.72,7.45
26.85,79.08,6.3
29.96,78.61,5.1
11.47,77.88,10.39
24.77,84.18,5.49
26.35,75.03,8.08
21.17,73.18,13.4
8.87,77.5,11.24
12.89,80.11,10.39
17.83,80.48,8.94
17.1,76.22,10.56
17.17,74.53,11.85
10.02,78.78,10.76
28.75,79.72,5.61
25.03,86.9,4.87
26.35,74.12,8.51
28.27,72.85,7.41
21.38,71.05,13.85
18.73,76.38,10.5
20.13,73.03,13.47
22.41,88.3,7.17
26.67,90.6,3.08
16.07,75.95,11.02
25.97,93.5,2.37
14.47,79.72,10.26
21.98,72.9,13.83
23.65,91.62,4.97
24.53,87.57,5.08
27.54,79.6,6.0
18.42,83.9,8.9
29.93,78.53,5.11
16.15,76.38,10.75
25.62,94.53,2.9
23.4,85.52,6.02
8.67,76.77,11.71
12.02,76.3,11.45
25.09,78.86,7.12
26.06,78.21,6.83
29.19,73.21,6.63
25.05,78.86,7.13
13.53,80.07,10.36
28.47,95.52,2.99
15.68,78.97,9.99
17.75,74.05,12.23
9.87,76.35,11.75
24.23,87.28,5.36
24.48,76.33,8.52
28.57,74.51,6.64
23.05,72.97,12.91
24.57,78.88,7.36
17.23,76.48,10.39
11.08,76.58,11.38
12.05,78.78,10.31
19.88,75.33,10.79
27.24,79.89,6.08
9.97,76.25,11.85
33.12,75.32,4.1
16.7,75.25,11.3
22.98,88.37,6.4
22.63,77.98,8.35
27.57,81.6,5.6
18.58,81.23,9.29
21.52,86.93,7.87
13.37,75.45,11.84
25.75,84.17,5.17
25.22,88.78,4.19
25.47,80.37,6.64
12.97,77.58,11.31
12.95,77.63,11.26
33.5,75.17,4.09
23.23,87.07,6.24
23.55,74.45,10.84
15.9,80.47,10.37
18.15,74.58,11.65
28.37,79.4,5.75
21.93,86.77,7.4
25.75,71.38,10.67
22.3,73.25,13.43
22.33,73.27,13.39
33.12,75.32,4.13
19.0,75.72,10.65
15.85,74.53,12.1
15.85,74.62,12.03
15.15,76.85,10.6
24.13,88.27,5.22
21.87,77.93,9.09
25.23,86.95,4.74
27.22,77.5,6.48
30.17,74.58,5.75
21.75,72.18,14.25
19.92,83.18,7.72
25.35,74.63,9.14
18.45,73.4,13.08
23.28,77.35,8.61
20.25,85.83,7.84
23.25,69.67,14.79
31.83,77.17,4.5
17.92,77.53,10.31
16.82,75.72,11.07
28.0,73.3,7.4
31.25,76.67,4.91
20.7,83.5,7.34
20.6,79.85,8.18
20.53,76.23,10.18
20.62,72.93,13.88
20.22,75.42,10.75
21.9,84.03,6.62
27.13,94.12,2.2
25.82,86.27,4.6
27.05,79.85,6.15
27.78,74.57,7.18
13.68,77.07,11.07
28.48,76.18,6.23
22.92,69.17,15.55
27.52,76.77,6.56
23.22,88.88,5.8
16.9,74.37,12.0
24.08,85.87,5.5
30.0,78.59,5.07
23.73,86.32,5.74
27.0,79.65,6.18
23.32,88.65,5.82
23.95,92.08,4.28
25.58,86.27,4.71
27.58,81.6,5.6
30.37,77.87,5.12
22.23,85.32,6.59
24.87,86.45,5.03
33.22,74.09,4.48
26.3,84.78,4.83
22.87,88.27,6.61
24.78,79.02,7.21
26.22,84.38,4.97
25.11,75.63,8.67
22.97,75.2,10.36
27.9,79.0,5.93
19.3,75.47,10.75
17.31,78.48,9.84
22.33,88.3,7.26
26.25,89.6,3.54
30.67,76.97,5.14
34.03,74.94,3.99
26.97,77.08,6.76
29.89,78.61,5.17
25.42,86.32,4.77
15.25,79.47,10.21
33.66,74.01,4.31
27.82,93.9,2.24
19.73,85.22,8.43
34.05,74.75,3.98
26.13,75.87,7.76
26.33,73.15,8.92
23.98,85.78,5.59
19.48,83.98,8.1
28.46,75.64,6.39
25.62,85.15,4.94
22.63,88.3,6.89
23.8,86.35,5.69
23.28,85.82,6.02
21.49,70.07,14.83
30.04,76.53,5.47
22.65,79.15,8.43
26.72,88.32,3.69
20.67,86.12,7.49
22.73,88.66,6.48
25.77,87.1,4.42
21.7,87.07,7.76
26.72,79.9,6.26
25.5,87.37,4.49
24.2,78.22,7.73
23.1,80.05,7.73
24.3,85.42,5.48
27.48,82.78,5.24
25.22,84.42,5.26
23.05,75.37,10.15
26.32,91.0,3.11
26.32,82.33,5.65
23.83,84.12,5.94
23.73,87.02,5.82
22.35,87.37,7.04
29.73,76.75,5.56
26.13,87.47,4.15
23.6,87.53,5.96
16.07,75.37,11.43
25.1,76.4,8.1
34.25,74.55,3.86
26.65,85.58,4.5
14.48,79.8,10.31
21.77,72.15,13.88
30.61,76.1,5.32
34.38,73.77,3.88
29.07,76.31,5.92
25.18,85.52,5.03
19.57,74.65,11.42
23.3,81.67,7.09
22.37,87.42,7.08
23.17,79.45,7.9
25.15,84.62,5.23
32.62,74.82,4.94
33.21,74.43,4.36
26.43,70.58,10.69
13.0,80.27,10.46
22.22,88.1,7.58
25.05,83.62,5.54
21.32,74.1,11.94
22.01,88.33,7.33
24.77,88.03,4.78
20.48,86.23,7.73
30.52,76.84,5.25
29.89,78.66,5.11
24.67,79.16,7.23
33.68,75.08,4.09
21.93,69.77,14.82
25.58,72.67,9.9
22.87,78.22,8.16
29.82,78.72,5.18
26.25,78.25,6.71
30.56,76.21,5.33
24.4,83.58,5.82
30.27,76.03,5.46
25.65,87.13,4.47
22.95,88.55,6.3
32.94,74.39,4.84
24.07,79.08,7.63
24.18,72.03,11.83
20.45,72.88,13.88
26.8,79.25,6.29
21.67,87.35,7.75
25.7,92.02,3.16
25.28,74.67,9.17
30.19,76.63,5.41
27.14,79.75,6.12
20.62,83.35,7.37
20.9,77.6,8.97
24.27,73.38,11.01
25.55,84.87,5.03
26.05,77.37,7.09
27.07,88.2,3.93
11.68,77.13,11.33
31.28,76.25,4.98
26.7,88.48,3.65
20.43,85.98,7.67
22.13,84.8,6.56
22.68,84.55,6.39
24.63,93.77,2.83
26.05,86.98,4.32
34.4,74.32,3.84
19.02,72.85,13.77
27.25,92.4,3.77
14.6,76.68,10.87
17.89,78.46,9.67
34.01,74.64,3.91
26.82,94.83,2.13
27.87,96.37,2.61
32.65,74.82,4.93
24.1,92.6,3.7
34.48,74.24,3.75
17.33,78.41,9.84
23.35,92.83,3.86
27.35,73.1,8.03
30.19,76.51,5.42
22.36,88.12,7.38
34.53,76.2,4.23
34.38,74.99,3.85
24.02,87.15,5.56
34.28,74.44,3.85
33.6,75.02,4.03
28.26,75.37,6.59
22.25,85.8,6.66
26.52,71.81,9.55
26.77,92.6,2.47
25.5,83.85,5.33
13.62,76.42,11.24
22.25,88.67,7.11
9.17,92.83,6.98
22.55,85.82,6.52
24.92,75.58,8.8
22.03,82.7,6.87
20.78,86.73,7.92
19.97,79.3,8.48
26.2,92.52,2.66
25.78,84.73,5.0
13.0,80.18,10.41
13.07,80.25,10.45
25.25,91.73,3.84
22.1,79.0,8.92
13.25,75.75,11.83
14.23,76.43,11.22
24.88,74.63,9.54
24.65,83.1,5.97
28.25,74.92,6.74
11.0,76.97,11.05
11.03,77.05,10.99
21.78,87.75,7.59
26.33,89.47,3.54
11.77,79.77,10.63
14.48,78.83,10.0
20.47,85.93,7.62
20.22,73.05,13.47
22.52,88.78,6.71
25.68,85.35,4.87
26.84,79.53,6.25
11.15,75.82,11.99
17.31,78.87,9.57
26.92,79.21,6.25
30.4,74.9,5.59
29.66,77.45,5.49
22.97,86.05,6.24
22.15,70.58,14.16
29.39,76.99,5.66
24.04,79.1,7.65
30.73,76.79,5.18
28.43,75.51,6.45
27.72,96.23,2.45
26.57,94.7,2.17
24.05,86.9,5.52
25.88,87.13,4.36
28.16,75.46,6.63
25.68,93.23,2.52
21.43,71.22,13.87
25.3,93.72,3.16
28.68,73.12,7.0
24.88,78.97,7.15
11.83,76.07,11.61
27.22,93.12,2.56
28.78,96.27,3.05
22.22,78.43,9.01
25.68,94.3,3.22
24.47,86.25,5.29
29.98,77.1,5.42
24.79,79.08,7.2
24.52,84.95,5.42
20.68,86.85,7.94
28.75,73.99,6.67
25.07,75.5,8.8
26.22,87.02,4.24
28.67,96.15,2.89
11.4,79.7,10.64
17.6,78.75,9.65
21.52,73.65,12.62
16.45,74.33,12.09
25.17,82.53,5.86
15.58,79.88,10.32
26.63,94.92,2.2
19.07,79.07,8.73
22.12,77.5,8.99
24.05,86.15,5.53
23.18,76.97,8.81
27.93,79.28,5.9
17.56,78.22,9.82
10.97,77.28,10.82
17.29,78.03,10.12
27.12,79.41,6.16
10.7,76.75,11.18
17.23,79.13,9.5
23.67,76.23,9.07
24.45,85.17,5.41
18.72,72.9,13.66
12.5,76.3,11.44
26.5,75.67,7.62
21.1,85.33,6.97
21.7,79.68,8.24
22.12,76.9,8.98
30.69,76.09,5.3
26.72,94.23,2.16
25.27,87.22,4.67
13.63,74.7,12.51
20.5,85.83,7.56
19.97,72.72,13.94
32.53,75.97,4.1
24.05,84.07,5.82
23.83,79.45,7.59
26.17,85.9,4.56
27.05,88.27,4.8
25.67,78.47,6.92
24.2,72.2,11.75
30.32,78.03,5.09
24.92,84.18,5.43
16.38,73.35,13.28
23.78,86.43,5.69
22.6,75.3,10.4
12.13,78.03,10.43
32.27,76.38,4.38
26.67,77.83,6.64
26.02,89.98,3.55
26.15,89.92,3.5
22.18,88.2,7.54
27.48,95.02,2.23
21.83,87.78,7.58
20.72,70.92,14.73
22.83,74.27,11.51
17.72,83.3,9.23
24.27,87.25,5.33
23.83,73.67,11.28
21.18,81.28,7.6
23.48,87.32,6.07
22.37,69.08,15.59
26.12,92.87,2.57
29.9,78.55,5.16
32.86,74.9,4.8
17.91,78.01,9.81
24.48,71.73,11.87
30.27,80.52,4.24
32.58,74.93,4.93
26.91,79.6,6.22
26.1,90.78,3.28
24.93,92.77,3.15
24.03,84.07,5.82
20.42,72.85,13.92
26.31,79.3,6.46
30.22,74.17,5.81
34.17,74.9,3.97
32.65,74.9,4.9
24.73,79.21,7.19
26.63,92.8,2.48
34.33,74.38,3.84
24.02,85.55,5.67
28.45,72.5,7.4
25.33,88.32,4.28
30.75,76.15,5.27
27.9,96.3,2.51
28.02,96.23,2.59
25.75,75.38,8.32
18.25,77.1,10.31
25.74,79.16,6.7
23.13,78.68,7.97
27.98,79.42,5.87
26.17,85.0,4.8
29.73,78.47,5.34
23.43,73.75,11.74
20.03,75.03,10.97
33.13,75.98,3.94
29.86,78.64,5.16
26.92,71.37,9.52
30.66,76.83,5.21
24.6,92.83,3.3
33.27,74.55,4.34
17.65,77.47,10.26
30.58,76.82,5.24
25.98,87.13,4.31
24.42,85.98,5.35
28.93,76.17,6.01
33.53,74.22,4.07
29.93,78.74,5.16
24.37,92.17,3.93
26.7,77.9,6.6
29.91,78.7,5.15
25.6,75.61,8.26
21.48,85.82,7.03
33.58,74.09,4.05
26.47,92.47,2.6
19.3,75.67,10.56
22.98,71.47,13.32
22.57,70.42,14.83
23.57,76.78,8.75
32.74,74.81,4.92
24.15,78.23,7.75
28.39,75.63,6.44
28.35,75.64,6.46
16.22,73.83,12.69
27.13,94.77,2.17
26.17,93.57,2.48
17.94,78.68,9.64
20.17,84.85,7.8
27.1,79.95,6.12
26.35,89.9,3.41
27.27,93.07,2.52
32.56,74.92,4.93
24.53,84.92,5.42
12.17,76.6,11.3
15.68,74.97,11.77
34.27,74.47,3.85
34.45,74.41,3.79
34.39,73.79,3.91
21.07,83.2,7.16
18.02,78.9,9.5
34.37,73.98,3.68
23.75,86.17,5.65
16.05,73.92,12.64
23.42,91.67,5.22
29.08,74.68,6.29
28.87,75.45,6.21
25.32,86.02,4.88
25.55,84.15,5.23
23.98,86.02,5.57
22.97,74.12,11.64
24.76,79.05,7.22
23.13,84.85,6.25
20.0,76.3,10.07
27.5,95.75,2.32
16.73,76.92,10.28
21.7,74.03,11.89
26.28,79.29,6.47
25.93,90.77,3.35
27.79,79.31,5.94
29.28,78.12,5.55
25.97,85.12,4.83
28.19,74.69,6.85
26.13,89.47,3.62
10.03,76.3,11.81
11.22,76.15,11.64
13.07,80.26,10.45
17.58,78.54,9.83
13.25,80.33,10.43
