Latitude,Longitude,PTrain_WSD
24.6,72.72,8.24
10.33,79.38,11.17
23.88,91.25,3.87
10.85,72.47,11.73
27.17,78.03,6.81
13.5,75.1,8.51
23.07,72.63,9.69
19.08,74.8,7.45
26.45,74.62,6.77
20.7,77.03,6.61
20.7,77.07,6.63
9.55,76.42,12.31
18.63,72.87,9.25
27.88,78.07,6.61
22.28,74.4,7.81
25.45,81.73,6.5
27.5,76.58,6.54
30.38,76.77,5.59
23.17,83.25,4.54
11.12,72.73,11.45
20.93,77.78,6.74
21.6,71.22,9.65
31.63,74.87,5.73
14.68,77.62,6.61
20.83,85.1,4.31
11.17,79.0,9.12
13.53,78.5,7.36
19.88,75.33,7.19
19.85,75.4,7.18
22.3,86.93,4.92
12.99,80.2,8.61
10.35,79.4,11.14
30.08,78.72,-0.41
18.18,72.99,9.12
22.03,73.67,8.93
12.88,80.15,8.64
17.05,75.78,7.13
24.07,78.06,6.47
16.57,76.47,6.91
24.95,71.53,9.31
27.14,79.28,6.75
23.6,72.95,8.95
22.38,93.15,2.11
16.67,74.9,7.37
24.53,78.72,6.36
26.85,79.08,6.83
29.96,78.61,0.34
11.47,77.88,8.13
24.77,84.18,4.7
26.35,75.03,6.85
21.17,73.18,9.41
8.87,77.5,12.34
12.89,80.11,8.55
17.83,80.48,5.06
17.1,76.22,6.85
17.17,74.53,7.55
10.02,78.78,10.91
28.75,79.72,6.26
25.03,86.9,3.69
26.35,74.12,7.29
28.27,72.85,7.71
21.38,71.05,9.67
18.73,76.38,7.34
20.13,73.03,9.15
22.41,88.3,5.81
26.67,90.6,3.07
16.07,75.95,7.2
25.97,93.5,2.29
14.47,79.72,7.22
21.98,72.9,10.2
23.65,91.62,3.95
24.53,87.57,3.51
27.54,79.6,6.72
18.42,83.9,6.04
29.93,78.53,0.12
16.15,76.38,7.03
25.62,94.53,1.51
23.4,85.52,3.43
8.67,76.77,13.49
12.02,76.3,8.84
25.09,78.86,6.43
26.06,78.21,6.57
29.19,73.21,7.38
25.05,78.86,6.43
13.53,80.07,8.07
28.47,95.52,1.15
15.68,78.97,6.11
17.75,74.05,7.8
9.87,76.35,11.98
24.23,87.28,3.53
24.48,76.33,6.73
28.57,74.51,6.87
23.05,72.97,9.49
24.57,78.88,6.39
17.23,76.48,6.81
11.08,76.58,9.46
12.05,78.78,8.01
19.88,75.33,7.17
27.24,79.89,6.74
9.97,76.25,12.02
33.12,75.32,-0.81
16.7,75.25,7.22
22.98,88.37,4.79
22.63,77.98,6.59
27.57,81.6,6.63
18.58,81.23,6.13
21.52,86.93,6.11
13.37,75.45,8.54
25.75,84.17,5.33
25.22,88.78,3.32
25.47,80.37,6.86
12.97,77.58,8.62
12.95,77.63,8.56
33.5,75.17,-0.46
23.23,87.07,4.15
23.55,74.45,7.75
15.9,80.47,7.24
18.15,74.58,7.39
28.37,79.4,6.39
21.93,86.77,5.34
25.75,71.38,8.84
22.3,73.25,9.86
22.33,73.27,9.82
33.12,75.32,-0.7
19.0,75.72,7.01
15.85,74.53,7.95
15.85,74.62,7.9
15.15,76.85,6.93
24.13,88.27,3.66
21.87,77.93,6.93
25.23,86.95,3.74
