Latitude,Longitude,PTrain_WSD
24.6,72.72,5.09
10.33,79.38,9.41
23.88,91.25,3.77
10.85,72.47,9.2
27.17,78.03,4.88
13.5,75.1,4.0
23.07,72.63,7.46
19.08,74.8,4.46
26.45,74.62,4.42
20.7,77.03,5.54
20.7,77.07,5.48
9.55,76.42,10.35
18.63,72.87,7.83
27.88,78.07,4.56
22.28,74.4,5.23
25.45,81.73,4.75
27.5,76.58,4.84
30.38,76.77,4.25
23.17,83.25,3.49
11.12,72.73,8.93
20.93,77.78,5.42
21.6,71.22,7.61
31.63,74.87,5.21
14.68,77.62,5.07
20.83,85.1,4.24
11.17,79.0,7.86
13.53,78.5,4.18
19.88,75.33,4.67
19.85,75.4,4.68
22.3,86.93,4.63
12.99,80.2,7.17
10.35,79.4,9.42
30.08,78.72,1.98
18.18,72.99,7.68
22.03,73.67,7.07
12.88,80.15,7.16
17.05,75.78,4.62
24.07,78.06,4.84
16.57,76.47,4.9
24.95,71.53,6.99
27.14,79.28,4.32
23.6,72.95,6.39
22.38,93.15,3.87
16.67,74.9,4.28
24.53,78.72,4.63
26.85,79.08,4.56
29.96,78.61,1.79
11.47,77.88,6.68
24.77,84.18,4.08
26.35,75.03,4.65
21.17,73.18,7.83
8.87,77.5,10.28
12.89,80.11,7.04
17.83,80.48,4.66
17.1,76.22,4.98
17.17,74.53,4.24
10.02,78.78,9.23
28.75,79.72,3.48
25.03,86.9,3.07
26.35,74.12,5.01
28.27,72.85,6.31
21.38,71.05,7.31
18.73,76.38,5.02
20.13,73.03,7.48
22.41,88.3,5.57
26.67,90.6,2.33
16.07,75.95,4.48
25.97,93.5,2.53
14.47,79.72,5.96
21.98,72.9,8.51
23.65,91.62,3.85
24.53,87.57,2.87
27.54,79.6,4.02
18.42,83.9,5.92
29.93,78.53,1.8
16.15,76.38,4.71
25.62,94.53,2.8
23.4,85.52,2.28
8.67,76.77,11.64
12.02,76.3,4.43
25.09,78.86,4.64
26.06,78.21,4.8
29.19,73.21,6.29
25.05,78.86,4.65
13.53,80.07,6.77
28.47,95.52,1.77
15.68,78.97,4.68
17.75,74.05,4.35
9.87,76.35,9.97
24.23,87.28,2.75
24.48,76.33,4.79
28.57,74.51,5.48
23.05,72.97,7.19
24.57,78.88,4.65
17.23,76.48,5.13
11.08,76.58,5.13
12.05,78.78,5.79
19.88,75.33,4.68
27.24,79.89,3.94
9.97,76.25,9.86
33.12,75.32,3.35
16.7,75.25,4.41
22.98,88.37,4.5
22.63,77.98,5.24
27.57,81.6,3.76
18.58,81.23,4.4
21.52,86.93,5.93
13.37,75.45,3.76
25.75,84.17,4.35
25.22,88.78,3.02
25.47,80.37,4.27
12.97,77.58,4.8
12.95,77.63,4.8
33.5,75.17,3.82
23.23,87.07,3.53
23.55,74.45,5.21
15.9,80.47,6.31
18.15,74.58,4.44
28.37,79.4,3.75
21.93,86.77,5.02
25.75,71.38,6.09
22.3,73.25,7.95
22.33,73.27,7.88
33.12,75.32,3.42
19.0,75.72,4.77
15.85,74.53,3.91
15.85,74.62,3.92
15.15,76.85,4.84
24.13,88.27,3.31
21.87,77.93,5.04
25.23,86.95,3.11
27.22,77.5,5.04
30.17,74.58,5.37
21.75,72.18,8.87
19.92,83.18,3.95
25.35,74.63,4.43
18.45,73.4,6.71
23.28,77.35,4.69
20.25,85.83,5.44
23.25,69.67,9.07
31.83,77.17,2.66
17.92,77.53,5.07
16.82,75.72,4.52
28.0,73.3,5.93
