Latitude,Longitude,PTrain_WSD
24.6,72.72,4.61
10.33,79.38,9.32
23.88,91.25,3.39
10.85,72.47,8.4
27.17,78.03,2.91
13.5,75.1,6.09
23.07,72.63,6.85
19.08,74.8,4.83
26.45,74.62,3.9
20.7,77.03,4.1
20.7,77.07,4.13
9.55,76.42,9.3
18.63,72.87,7.42
27.88,78.07,2.74
22.28,74.4,5.33
25.45,81.73,2.7
27.5,76.58,3.1
30.38,76.77,2.25
23.17,83.25,3.24
11.12,72.73,8.32
20.93,77.78,4.22
21.6,71.22,6.77
31.63,74.87,2.22
14.68,77.62,5.15
20.83,85.1,4.33
11.17,79.0,7.72
13.53,78.5,5.71
19.88,75.33,4.64
19.85,75.4,4.63
22.3,86.93,4.65
12.99,80.2,8.08
10.35,79.4,9.31
30.08,78.72,2.81
18.18,72.99,7.37
22.03,73.67,6.55
12.88,80.15,8.07
17.05,75.78,4.87
24.07,78.06,3.69
16.57,76.47,4.86
24.95,71.53,5.72
27.14,79.28,2.75
23.6,72.95,6.03
22.38,93.15,2.55
16.67,74.9,5.12
24.53,78.72,3.57
26.85,79.08,2.83
29.96,78.61,2.32
11.47,77.88,6.46
24.77,84.18,2.31
26.35,75.03,3.78
21.17,73.18,7.16
8.87,77.5,9.29
12.89,80.11,7.97
17.83,80.48,4.65
17.1,76.22,4.75
17.17,74.53,5.14
10.02,78.78,8.85
28.75,79.72,2.38
25.03,86.9,2.13
26.35,74.12,3.98
28.27,72.85,3.66
21.38,71.05,6.71
18.73,76.38,4.82
20.13,73.03,7.05
22.41,88.3,5.42
26.67,90.6,1.02
16.07,75.95,5.03
25.97,93.5,0.79
14.47,79.72,6.92
21.98,72.9,7.68
23.65,91.62,3.6
24.53,87.57,2.47
27.54,79.6,2.64
18.42,83.9,6.41
29.93,78.53,2.45
16.15,76.38,4.97
25.62,94.53,2.08
23.4,85.52,2.82
8.67,76.77,9.98
12.02,76.3,6.37
25.09,78.86,3.34
26.06,78.21,3.16
29.19,73.21,3.25
25.05,78.86,3.35
13.53,80.07,7.66
28.47,95.52,2.92
15.68,78.97,5.54
17.75,74.05,5.25
9.87,76.35,9.14
24.23,87.28,2.68
24.48,76.33,3.83
28.57,74.51,3.18
23.05,72.97,6.72
24.57,78.88,3.51
17.23,76.48,4.71
11.08,76.58,6.94
12.05,78.78,6.78
19.88,75.33,4.64
27.24,79.89,2.68
9.97,76.25,9.2
33.12,75.32,1.49
16.7,75.25,5.0
22.98,88.37,4.38
22.63,77.98,3.86
27.57,81.6,2.44
18.58,81.23,4.41
21.52,86.93,5.9
13.37,75.45,5.68
25.75,84.17,2.14
25.22,88.78,1.81
25.47,80.37,2.99
12.97,77.58,6.09
12.95,77.63,6.08
33.5,75.17,1.44
23.23,87.07,3.66
23.55,74.45,5.04
15.9,80.47,7.21
18.15,74.58,5.0
28.37,79.4,2.48
21.93,86.77,5.13
25.75,71.38,5.12
22.3,73.25,7.33
22.33,73.27,7.29
33.12,75.32,1.44
19.0,75.72,4.63
15.85,74.53,5.3
15.85,74.62,5.27
15.15,76.85,5.11
24.13,88.27,2.84
21.87,77.93,4.6
25.23,86.95,2.02
27.22,77.5,2.98
30.17,74.58,2.63
21.75,72.18,7.89
