Latitude,Longitude,PTrain_WSD
24.6,72.72,4.74
10.33,79.38,11.46
23.88,91.25,3.92
10.85,72.47,8.53
27.17,78.03,3.75
13.5,75.1,6.49
23.07,72.63,7.02
19.08,74.8,4.49
26.45,74.62,4.45
20.7,77.03,4.26
20.7,77.07,4.27
9.55,76.42,11.04
18.63,72.87,6.47
27.88,78.07,3.67
22.28,74.4,5.36
25.45,81.73,3.41
27.5,76.58,3.85
30.38,76.77,3.51
23.17,83.25,3.19
11.12,72.73,8.41
20.93,77.78,4.38
21.6,71.22,6.47
31.63,74.87,3.7
14.68,77.62,5.68
20.83,85.1,4.75
11.17,79.0,9.55
13.53,78.5,6.75
19.88,75.33,4.4
19.85,75.4,4.4
22.3,86.93,5.05
12.99,80.2,9.25
10.35,79.4,11.44
30.08,78.72,4.26
18.18,72.99,6.4
22.03,73.67,6.48
12.88,80.15,9.28
17.05,75.78,4.74
24.07,78.06,4.02
16.57,76.47,4.89
24.95,71.53,6.64
27.14,79.28,3.76
23.6,72.95,6.42
22.38,93.15,2.27
16.67,74.9,4.87
24.53,78.72,4.0
26.85,79.08,3.77
29.96,78.61,3.7
11.47,77.88,7.99
24.77,84.18,2.83
26.35,75.03,4.4
21.17,73.18,6.75
8.87,77.5,11.78
12.89,80.11,9.19
17.83,80.48,5.04
17.1,76.22,4.72
17.17,74.53,4.79
10.02,78.78,11.07
28.75,79.72,3.71
25.03,86.9,2.74
26.35,74.12,4.73
28.27,72.85,4.7
21.38,71.05,6.3
18.73,76.38,4.63
20.13,73.03,6.39
22.41,88.3,5.71
26.67,90.6,1.3
16.07,75.95,5.03
25.97,93.5,0.96
14.47,79.72,7.6
21.98,72.9,7.37
23.65,91.62,4.04
24.53,87.57,3.05
27.54,79.6,3.76
18.42,83.9,6.73
29.93,78.53,3.79
16.15,76.38,5.02
25.62,94.53,1.07
23.4,85.52,2.88
8.67,76.77,12.23
12.02,76.3,7.58
25.09,78.86,3.92
26.06,78.21,3.83
29.19,73.21,4.33
25.05,78.86,3.93
13.53,80.07,8.65
28.47,95.52,2.18
15.68,78.97,5.96
17.75,74.05,4.78
9.87,76.35,10.71
24.23,87.28,3.2
24.48,76.33,4.28
28.57,74.51,4.11
23.05,72.97,6.88
24.57,78.88,4.0
17.23,76.48,4.71
11.08,76.58,8.54
12.05,78.78,8.29
19.88,75.33,4.4
27.24,79.89,3.82
9.97,76.25,10.67
33.12,75.32,3.68
16.7,75.25,4.82
22.98,88.37,4.85
22.63,77.98,4.14
27.57,81.6,3.37
18.58,81.23,4.51
21.52,86.93,6.11
13.37,75.45,6.41
25.75,84.17,2.68
25.22,88.78,2.42
25.47,80.37,4.03
12.97,77.58,7.17
12.95,77.63,7.16
33.5,75.17,3.72
23.23,87.07,4.13
23.55,74.45,5.44
15.9,80.47,7.52
18.15,74.58,4.63
28.37,79.4,3.68
21.93,86.77,5.44
25.75,71.38,6.1
22.3,73.25,7.17
22.33,73.27,7.14
33.12,75.32,3.63
19.0,75.72,4.43
15.85,74.53,5.14
15.85,74.62,5.13
15.15,76.85,5.4
24.13,88.27,3.48
21.87,77.93,4.52
25.23,86.95,2.63
27.22,77.5,3.79
30.17,74.58,3.8
21.75,72.18,7.45
19.92,83.18,4.46
25.35,74.63,4.69
18.45,73.4,5.9
23.28,77.35,4.14
20.25,85.83,5.91
23.25,69.67,7.92
31.83,77.17,3.39
17.92,77.53,4.93
16.82,75.72,4.82
28.0,73.3,4.57
31.25,76.67,3.37
20.7,83.5,4.21
20.6,79.85,4.07
20.53,76.23,4.39
20.62,72.93,6.96
20.22,75.42,4.39
21.9,84.03,3.58
27.13,94.12,0.58
25.82,86.27,2.41
27.05,79.85,3.82
27.78,74.57,4.25
13.68,77.07,6.41
28.48,76.18,3.79
22.92,69.17,8.44
27.52,76.77,3.83
23.22,88.88,4.34
16.9,74.37,4.91
24.08,85.87,2.74
30.0,78.59,3.78
23.73,86.32,3.33
27.0,79.65,3.8
23.32,88.65,4.3
23.95,92.08,3.27
25.58,86.27,2.51
27.58,81.6,3.37
30.37,77.87,3.39
22.23,85.32,3.67
24.87,86.45,2.69
33.22,74.09,3.37
26.3,84.78,2.46
22.87,88.27,5.04
24.78,79.02,3.97
26.22,84.38,2.56
25.11,75.63,4.38
22.97,75.2,4.62
27.9,79.0,3.68
19.3,75.47,4.42
17.31,78.48,4.79
22.33,88.3,5.82
26.25,89.6,1.78
30.67,76.97,3.43
34.03,74.94,3.6
26.97,77.08,3.85
29.89,78.61,3.51
25.42,86.32,2.58
15.25,79.47,6.89
33.66,74.01,3.21
27.82,93.9,0.32
19.73,85.22,6.48
34.05,74.75,3.58
26.13,75.87,4.24
26.33,73.15,5.13
23.98,85.78,2.74
19.48,83.98,5.29
28.46,75.64,3.87
25.62,85.15,2.57
22.63,88.3,5.38
23.8,86.35,3.23
23.28,85.82,3.39
21.49,70.07,7.27
30.04,76.53,3.56
22.65,79.15,4.59
26.72,88.32,1.61
20.67,86.12,5.43
22.73,88.66,5.05
25.77,87.1,2.36
21.7,87.07,6.03
26.72,79.9,3.86
25.5,87.37,2.47
24.2,78.22,4.01
23.1,80.05,4.21
24.3,85.42,2.64
27.48,82.78,2.95
25.22,84.42,2.73
23.05,75.37,4.57
26.32,91.0,1.53
26.32,82.33,3.14
23.83,84.12,2.91
23.73,87.02,3.67
22.35,87.37,5.27
29.73,76.75,3.57
26.13,87.47,2.09
23.6,87.53,4.03
16.07,75.37,5.03
25.1,76.4,4.22
34.25,74.55,3.37
26.65,85.58,2.24
14.48,79.8,7.76
21.77,72.15,7.1
30.61,76.1,3.57
34.38,73.77,3.2
29.07,76.31,3.69
25.18,85.52,2.69
19.57,74.65,4.58
23.3,81.67,3.62
22.37,87.42,5.32
23.17,79.45,4.45
25.15,84.62,2.73
32.62,74.82,3.82
33.21,74.43,3.34
26.43,70.58,6.45
13.0,80.27,9.35
22.22,88.1,6.09
25.05,83.62,2.9
21.32,74.1,5.51
22.01,88.33,5.97
24.77,88.03,2.93
20.48,86.23,5.9
30.52,76.84,3.5
29.89,78.66,3.86
24.67,79.16,4.0
33.68,75.08,3.75
21.93,69.77,7.32
25.58,72.67,5.61
22.87,78.22,4.12
29.82,78.72,3.54
26.25,78.25,3.82
30.56,76.21,3.56
24.4,83.58,2.92
30.27,76.03,3.59
25.65,87.13,2.43
22.95,88.55,4.81
32.94,74.39,3.68
24.07,79.08,4.14
24.18,72.03,6.39
20.45,72.88,6.9
26.8,79.25,3.79
21.67,87.35,6.13
25.7,92.02,0.94
25.28,74.67,4.71
30.19,76.63,3.55
27.14,79.75,3.81
20.62,83.35,4.21
20.9,77.6,4.3
24.27,73.38,5.26
25.55,84.87,2.62
26.05,77.37,3.92
27.07,88.2,1.43
11.68,77.13,7.93
31.28,76.25,3.41
26.7,88.48,1.61
20.43,85.98,5.77
22.13,84.8,3.75
22.68,84.55,3.19
24.63,93.77,1.13
26.05,86.98,2.2
34.4,74.32,3.34
19.02,72.85,6.52
27.25,92.4,2.02
14.6,76.68,5.71
17.89,78.46,4.62
34.01,74.64,3.65
26.82,94.83,0.43
27.87,96.37,0.88
32.65,74.82,3.82
24.1,92.6,2.65
34.48,74.24,3.44
17.33,78.41,4.78
23.35,92.83,2.46
27.35,73.1,4.77
30.19,76.51,3.56
22.36,88.12,5.87
34.53,76.2,5.25
34.38,74.99,4.27
24.02,87.15,3.37
34.28,74.44,3.35
33.6,75.02,3.84
28.26,75.37,3.96
22.25,85.8,3.69
26.52,71.81,5.58
26.77,92.6,0.81
25.5,83.85,2.79
13.62,76.42,6.31
22.25,88.67,5.81
9.17,92.83,17.77
22.55,85.82,3.9
24.92,75.58,4.47
22.03,82.7,3.5
20.78,86.73,6.28
19.97,79.3,4.19
26.2,92.52,1.22
25.78,84.73,2.58
13.0,80.18,9.2
13.07,80.25,9.25
25.25,91.73,1.17
22.1,79.0,4.98
13.25,75.75,6.5
14.23,76.43,5.97
24.88,74.63,4.8
24.65,83.1,2.96
28.25,74.92,4.06
11.0,76.97,8.62
11.03,77.05,8.57
21.78,87.75,6.07
26.33,89.47,1.74
11.77,79.77,10.18
14.48,78.83,6.57
20.47,85.93,5.7
20.22,73.05,6.46
22.52,88.78,5.36
25.68,85.35,2.54
26.84,79.53,3.81
11.15,75.82,9.44
17.31,78.87,4.83
26.92,79.21,3.77
30.4,74.9,3.74
29.66,77.45,3.53
22.97,86.05,3.64
22.15,70.58,6.89
29.39,76.99,3.59
24.04,79.1,4.16
30.73,76.79,3.49
28.43,75.51,3.91
27.72,96.23,0.65
26.57,94.7,0.42
24.05,86.9,3.18
25.88,87.13,2.29
28.16,75.46,3.94
25.68,93.23,0.99
21.43,71.22,6.49
25.3,93.72,1.08
28.68,73.12,4.5
24.88,78.97,3.95
11.83,76.07,7.78
27.22,93.12,0.52
28.78,96.27,2.76
22.22,78.43,4.74
25.68,94.3,1.3
24.47,86.25,2.61
29.98,77.1,3.53
24.79,79.08,3.98
24.52,84.95,2.8
20.68,86.85,6.38
28.75,73.99,4.22
25.07,75.5,4.42
26.22,87.02,2.14
28.67,96.15,1.85
11.4,79.7,10.47
17.6,78.75,4.7
21.52,73.65,5.92
16.45,74.33,5.06
25.17,82.53,3.16
15.58,79.88,7.19
26.63,94.92,0.44
19.07,79.07,4.29
22.12,77.5,4.29
24.05,86.15,2.84
23.18,76.97,4.16
27.93,79.28,3.7
17.56,78.22,4.7
10.97,77.28,8.59
17.29,78.03,4.86
27.12,79.41,3.77
10.7,76.75,9.26
17.23,79.13,4.96
23.67,76.23,4.3
24.45,85.17,2.78
18.72,72.9,6.3
12.5,76.3,7.12
26.5,75.67,4.23
21.1,85.33,4.46
21.7,79.68,4.28
22.12,76.9,4.21
30.69,76.09,3.57
26.72,94.23,0.6
25.27,87.22,2.65
13.63,74.7,7.45
20.5,85.83,5.58
19.97,72.72,6.81
32.53,75.97,3.81
24.05,84.07,2.93
23.83,79.45,4.2
26.17,85.9,2.32
27.05,88.27,2.71
25.67,78.47,3.85
24.2,72.2,6.28
30.32,78.03,3.38
24.92,84.18,2.8
16.38,73.35,6.33
23.78,86.43,3.16
22.6,75.3,4.52
12.13,78.03,7.56
32.27,76.38,3.41
26.67,77.83,3.81
26.02,89.98,1.88
26.15,89.92,1.79
22.18,88.2,6.09
27.48,95.02,0.52
21.83,87.78,6.07
20.72,70.92,7.12
22.83,74.27,5.45
17.72,83.3,6.84
24.27,87.25,3.13
23.83,73.67,5.65
21.18,81.28,3.79
23.48,87.32,4.07
22.37,69.08,8.15
26.12,92.87,1.18
29.9,78.55,3.55
32.86,74.9,3.75
17.91,78.01,4.65
24.48,71.73,6.61
30.27,80.52,6.59
32.58,74.93,3.79
26.91,79.6,3.81
26.1,90.78,1.7
24.93,92.77,2.15
24.03,84.07,2.94
20.42,72.85,6.94
26.31,79.3,3.83
30.22,74.17,3.89
34.17,74.9,3.64
32.65,74.9,3.78
24.73,79.21,4.0
26.63,92.8,0.98
34.33,74.38,3.35
24.02,85.55,2.63
28.45,72.5,4.8
25.33,88.32,2.41
30.75,76.15,3.56
27.9,96.3,0.68
28.02,96.23,0.84
25.75,75.38,4.43
18.25,77.1,4.87
25.74,79.16,3.87
23.13,78.68,4.15
27.98,79.42,3.71
26.17,85.0,2.45
29.73,78.47,3.5
23.43,73.75,6.13
20.03,75.03,4.46
33.13,75.98,4.04
29.86,78.64,3.67
26.92,71.37,5.75
30.66,76.83,3.5
24.6,92.83,2.39
33.27,74.55,3.36
17.65,77.47,4.87
30.58,76.82,3.51
25.98,87.13,2.24
24.42,85.98,2.64
28.93,76.17,3.74
33.53,74.22,3.4
29.93,78.74,3.46
24.37,92.17,3.0
26.7,77.9,3.8
29.91,78.7,3.5
25.6,75.61,4.42
21.48,85.82,3.98
33.58,74.09,3.18
26.47,92.47,1.11
19.3,75.67,4.4
22.98,71.47,6.94
22.57,70.42,7.87
23.57,76.78,4.17
32.74,74.81,3.85
24.15,78.23,4.02
28.39,75.63,3.88
28.35,75.64,3.89
16.22,73.83,5.93
27.13,94.77,0.55
26.17,93.57,0.57
17.94,78.68,4.63
20.17,84.85,5.24
27.1,79.95,3.84
26.35,89.9,1.62
27.27,93.07,0.47
32.56,74.92,3.78
24.53,84.92,2.83
12.17,76.6,7.43
15.68,74.97,5.2
34.27,74.47,3.36
34.45,74.41,3.43
34.39,73.79,3.19
21.07,83.2,3.9
18.02,78.9,4.59
34.37,73.98,4.91
23.75,86.17,3.12
16.05,73.92,5.9
23.42,91.67,4.39
29.08,74.68,4.0
28.87,75.45,3.87
25.32,86.02,2.64
25.55,84.15,2.73
23.98,86.02,2.94
22.97,74.12,5.67
24.76,79.05,3.98
23.13,84.85,2.95
20.0,76.3,4.37
27.5,95.75,0.58
16.73,76.92,4.87
21.7,74.03,4.61
26.28,79.29,3.83
25.93,90.77,1.77
27.79,79.31,3.72
29.28,78.12,3.56
25.97,85.12,2.49
28.19,74.69,4.12
26.13,89.47,1.86
10.03,76.3,10.6
11.22,76.15,9.1
13.07,80.26,9.25
17.58,78.54,4.74
13.25,80.33,9.15
13.13,80.25,9.17
8.18,77.63,13.13
26.75,82.08,3.21
25.93,80.83,3.73
30.92,74.67,3.74
26.3,87.27,2.05
22.37,88.78,5.59
16.28,78.68,5.26
30.72,76.77,3.49
26.35,79.23,3.82
25.77,75.63,4.36
24.18,92.02,3.29
11.18,75.85,9.38
17.84,78.12,4.65
15.42,75.63,5.3
27.33,88.62,2.27
16.53,80.8,6.76
24.75,84.95,2.76
25.4,83.55,2.87
22.77,83.97,3.12
27.13,81.97,3.24
21.47,80.2,4.03
19.27,84.88,6.76
26.75,83.37,2.78
17.35,76.85,4.81
34.05,74.4,4.12
24.65,77.32,4.04
28.42,77.0,3.68
26.1,91.58,1.52
26.23,78.25,3.81
15.42,75.62,5.3
27.23,79.28,3.75
33.89,74.29,3.57
24.05,76.45,4.24
25.58,76.3,4.23
15.73,75.98,5.19
16.27,76.83,5.01
23.52,74.0,5.9
20.1,84.57,5.37
9.92,77.53,9.74
34.16,74.57,3.36
30.65,78.85,4.46
27.85,78.47,3.67
14.55,78.73,6.45
29.9,78.68,3.71
26.01,79.38,3.86
32.79,74.77,3.86
29.97,78.53,3.51
26.7,94.12,0.63
17.61,78.47,4.73
27.72,79.65,3.75
22.77,87.8,5.25
23.28,84.55,2.91
20.88,73.72,5.56
28.3,75.71,3.88
22.9,88.16,5.04
20.13,78.32,4.46
29.85,77.05,3.53
25.22,87.17,2.66
23.95,87.1,3.4
22.7,70.65,7.68
27.22,73.47,4.69
30.72,75.98,3.57
32.98,74.41,3.59
28.36,74.9,4.05
27.7,79.57,3.75
20.67,79.13,4.26
22.25,88.5,5.76
33.26,74.14,3.31
27.32,84.32,2.39
23.27,87.97,4.53
31.52,76.02,3.54
27.98,72.25,5.03
24.9,72.83,5.58
20.72,70.99,7.17
34.08,74.57,3.57
14.97,78.25,5.84
34.1,74.58,3.55
21.92,85.37,3.52
22.02,69.92,7.05
22.26,88.97,5.74
22.86,88.04,5.11
16.75,77.3,4.88
25.73,75.54,4.39
19.92,77.05,4.47
25.93,85.33,2.47
18.17,73.3,6.16
21.33,69.9,7.47
16.72,75.43,4.83
17.21,78.9,4.9
14.83,76.63,5.62
25.96,75.59,4.35
12.84,80.06,9.15
25.6,85.2,2.58
18.98,84.02,5.4
20.37,83.37,4.4
17.63,80.93,5.54
22.55,72.22,7.58
20.28,84.7,4.97
14.98,74.92,5.69
15.17,77.38,5.44
16.28,76.62,4.99
24.67,84.77,2.8
30.64,76.81,3.51
30.1,79.97,4.74
28.07,94.57,0.53
24.67,75.6,4.43
18.02,79.57,4.63
27.38,80.17,3.85
17.82,73.1,6.34
13.0,76.15,6.75
28.08,96.5,1.7
23.98,85.37,2.63
29.17,75.73,3.76
14.28,74.45,7.06
22.77,77.77,4.11
10.58,92.55,15.73
17.45,78.47,4.76
9.5,76.63,10.88
15.8,76.98,5.09
15.02,75.95,5.48
30.03,77.89,4.16
28.18,75.39,3.96
34.28,74.2,3.65
13.0,75.7,6.66
33.39,74.23,3.36
27.65,79.95,3.8
15.43,75.8,5.3
26.86,79.06,3.78
31.03,78.73,5.01
22.57,75.82,4.35
34.53,75.13,4.74
24.6,87.08,2.82
17.55,75.9,4.61
22.62,86.13,4.03
23.67,84.95,2.83
26.39,79.48,3.85
26.53,75.87,4.15
13.95,76.62,6.1
29.93,78.52,3.52
26.0,92.87,1.26
14.03,75.68,6.08
13.54,77.3,6.55
27.57,93.85,1.34
12.82,77.03,6.94
13.23,77.12,6.78
16.47,76.53,4.9
34.3,74.25,3.45
28.78,95.88,1.28
24.53,84.02,2.88
30.17,76.54,3.56
27.68,76.45,3.82
25.05,84.63,2.76
27.6,78.05,3.7
26.27,91.37,1.5
23.83,73.03,6.07
24.77,93.9,1.04
22.72,75.8,4.37
17.69,78.87,4.68
27.16,79.27,3.75
29.84,78.75,4.1
24.68,74.13,4.98
27.68,74.07,4.41
11.57,75.6,9.04
11.77,79.38,9.57
27.24,79.44,3.76
34.65,76.02,5.75
30.1,77.75,3.49
20.13,85.15,5.71
24.28,85.17,2.65
27.33,82.7,2.97
