Station name,Index No.,Latitude,Longitude,Absolute elevation,Elevation of wind instrument,Distance from Coast
ABU,42540,24 36,72 43,1195,1214,253.94
ADIRAMAPATINAM,43348,10 20,79 23,6,17,2.56
AGARTALA (A),42724,23 53 ,91 15 ,16,18,124.39
AGATTI (A),43312,10 51,72 28,4,7,0
AGRA,42261,27 10,78 02,169,181,751.48
AGUMBE,43257,13 30,75 06 ,659,662,41.49
AHMEDABAD,42647,23 04 ,72 38,55,68,84.28
AHMEDNAGAR,43009,19 05,74 48,657,668,182.31
AJMER,42343,26 27,74 37,486,493,496.08
AKOLA,42933,20 42,77 02,282,295,426.5
AKOLA (A),42934,20 42,77 04 ,309,319,430.66
ALAPPUZHA (ALLEPPEY),43352,09 33,76 25,4,15,11.09
ALIBAG,43058,18 38,72 52,7,30,0
ALIGARH,42262,27 53,78 04,187,201,811.54
ALIRAJPUR (JHABUA),42753,22 17,74 24 ,293,304,153.08
ALLAHABAD,42475,25 27,81 44,98,104,702.7
ALWAR,42255,27 30,76 35,271,282,689.76
AMBALA,42103,30 23,76 46,272,278,980.44
AMBIKAPUR,42693,23 10,83 15,611,629,427.8
AMINI DIVI,43311,11 07,72 44,4,16,0
AMRAVATI,42937,20 56,77 47,370,380,504.43
AMRELI,42834,21 36,71 13,113,,77.91
AMRITSAR (RAJASANSI),42071,31 38,74 52,234,241,1057.05
ANANTAPUR,43237,14 41,77 37,350,365,264.21
ANGUL,42969,20 50,85 06,139,146,134.21
ARIYALUR,43324,11 10,79 00,75,83.8,86.22
AROGYAVARAM,43271,13 32,78 30,701,712,185.49
AURANGABAD,43013,19 53,75 20,581,592,255.85
AURANGABAD (CHIKALTHANA)(A),43014,19 51,75 24,579,586,261.5
BADARWAH,9213,33 07,75 19,1689,,1230.06
BAGALKOTE,16205,16 42 ,75 15,524,,194.71
BAGATI,42714,22 59,88 22,12,25,89.7
BAGRATAWA,12614,22 38,77 59,331,,522.46
BAHRAICH,42273,27 34,81 36,124,135,870.93
BAILALDILA,43093,18 35,81 14,1144,1050.9,202.5
BALASORE,42895,21 31 ,86 56,20,29,12.17
BALEHONNUR,43259,13 22,75 27,885,890,78.83
BALLIA,42484,25 45,84 10,64,75,555.14
BALURGHAT,42506,25 13,88 47,26,35,334.71
BANDA,42473,25 28,80 22,121,132,828.86
BANGALORE,43295,12 58,77 35,921,938,261.94
BANGALORE (A),43296,12 57,77 38,897,912,263.72
BANIHAL,42045,33 30,75 10,1630,,1267.66
BANKURA,42707,23 14,87 04,100,112,148.46
BANSWARA,42655,23 33,74 27,220,224,212.74
BAPATLA,43220,15 54,80 28,6,,7.37
BARAMATI,43069,18 09,74 35,551,564,157.22
BHARATPUR,42258,27 13,77 30,176,,719.91
BAREILLY,42189,28 22,79 24,173,186,941.21
BARIPADA,42894,21 56,86 46,54,63,54.96
BARMER,42435,25 45,71 23,194,203,322.71
BARODA,42747,22 18,73 15,34,52,34.94
BARODA (A),42748,22 20,73 16,38,48,37.5
BATOTE,9212,33 07,75 19,1585,1587.2,1228.98
BEED (BIR),43011,19 00,75 43,519,522,279
