Station name,Latitude,Longitude,Absolute elevation,Distance from Coast
ABU,24.6,72.72,1195.0,253.94
ADIRAMAPATINAM,10.33,79.38,6.0,2.56
AGARTALA (A),23.88,91.25,16.0,124.39
AGATTI (A),10.85,72.47,4.0,0.0
AGRA,27.17,78.03,169.0,751.48
AGUMBE,13.5,75.1,659.0,41.49
AHMEDABAD,23.07,72.63,55.0,84.28
AHMEDNAGAR,19.08,74.8,657.0,182.31
AJMER,26.45,74.62,486.0,496.08
AKOLA,20.7,77.03,282.0,426.5
AKOLA (A),20.7,77.07,309.0,430.66
ALAPPUZHA (ALLEPPEY),9.55,76.42,4.0,11.09
ALIBAG,18.63,72.87,7.0,0.0
ALIGARH,27.88,78.07,187.0,811.54
ALIRAJPUR (JHABUA),22.28,74.4,293.0,153.08
ALLAHABAD,25.45,81.73,98.0,702.7
ALWAR,27.5,76.58,271.0,689.76
AMBALA,30.38,76.77,272.0,980.44
AMBIKAPUR,23.17,83.25,611.0,427.8
AMINI DIVI,11.12,72.73,4.0,0.0
AMRAVATI,20.93,77.78,370.0,504.43
AMRELI,21.6,71.22,113.0,77.91
AMRITSAR (RAJASANSI),31.63,74.87,234.0,1057.05
ANANTAPUR,14.68,77.62,350.0,264.21
ANGUL,20.83,85.1,139.0,134.21
ARIYALUR,11.17,79.0,75.0,86.22
AROGYAVARAM,13.53,78.5,701.0,185.49
AURANGABAD,19.88,75.33,581.0,255.85
AURANGABAD (CHIKALTHANA)(A),19.85,75.4,579.0,261.5
BADARWAH,33.12,75.32,1689.0,1230.06
BAGALKOTE,16.7,75.25,524.0,194.71
BAGATI,22.98,88.37,12.0,89.7
BAGRATAWA,22.63,77.98,331.0,522.46
BAHRAICH,27.57,81.6,124.0,870.93
BAILALDILA,18.58,81.23,1144.0,202.5
BALASORE,21.52,86.93,20.0,12.17
BALEHONNUR,13.37,75.45,885.0,78.83
BALLIA,25.75,84.17,64.0,555.14
BALURGHAT,25.22,88.78,26.0,334.71
BANDA,25.47,80.37,121.0,828.86
BANGALORE,12.97,77.58,921.0,261.94
BANGALORE (A),12.95,77.63,897.0,263.72
BANIHAL,33.5,75.17,1630.0,1267.66
BANKURA,23.23,87.07,100.0,148.46
BANSWARA,23.55,74.45,220.0,212.74
BAPATLA,15.9,80.47,6.0,7.37
BARAMATI,18.15,74.58,551.0,157.22
BHARATPUR,27.22,77.5,176.0,719.91
BAREILLY,28.37,79.4,173.0,941.21
BARIPADA,21.93,86.77,54.0,54.96
BARMER,25.75,71.38,194.0,322.71
BARODA,22.3,73.25,34.0,34.94
